algorithm,model_seed,test_seed,episode_hours,decision_count,episode_wall_time_s,total_cost_eur,vented_t,stored_t
ppo_hourly,1,9000031,720,720,1.434408274013549,6538949.326490765,60930.09672265518,46405.9252597245
ppo_hourly,1,9000032,720,720,1.0565937422215939,4377530.507182099,33304.905556688864,45253.35240958531
ppo_hourly,1,9000033,720,720,1.2003403771668673,4917272.9787051715,39507.53357369231,45635.01450550061
ppo_hourly,1,9000034,720,720,1.1369899148121476,5305131.483683349,45315.123751374806,49738.74374440407
ppo_hourly,1,9000035,720,720,1.2269937084056437,5146935.900147844,43386.23376211569,48556.345659006816
ppo_hourly,1,9000036,720,720,1.5324623780325055,4823089.436358184,39370.79948944881,59421.244824403875
ppo_hourly,1,9000037,720,720,1.044425399042666,5578474.251974498,48441.784944543826,40609.206591187976
ppo_hourly,1,9000038,720,720,1.360945553984493,5387804.976252989,45941.792207127924,46534.35015931124
ppo_hourly,1,9000039,720,720,1.4723420152440667,5070806.486309217,41385.53913533969,53993.48273375758
ppo_hourly,1,9000040,720,720,1.2552888803184032,5944935.739134695,54160.45588682612,39151.35722256547
ppo_hourly,1,9000041,720,720,1.3851210358552635,5144086.906439554,42629.889952789534,47144.5667675126
ppo_hourly,1,9000042,720,720,1.2047729450277984,4799297.190913549,39391.310342245015,55637.064341421676
ppo_hourly,1,9000043,720,720,1.024515355937183,6146528.786545645,57083.20937632497,25852.025858861918
ppo_hourly,1,9000044,720,720,1.0622838782146573,6242030.066116548,58005.46840926495,38679.16853823482
ppo_hourly,1,9000045,720,720,1.4071324849501252,4298735.471136905,31082.250748486334,53590.25831899048
ppo_hourly,1,9000046,720,720,1.1552986958995461,5794290.6981915515,51031.42748921051,62048.79149991019
ppo_hourly,1,9000047,720,720,1.404269472695887,5628170.621303233,48814.76382333863,55371.80103810617
ppo_hourly,1,9000048,720,720,1.2786825741641223,5631977.738703515,48760.94478919488,42228.56574638596
ppo_hourly,1,9000049,720,720,1.2334994981065392,5626853.244862769,50381.55900446702,43687.518753857534
ppo_hourly,1,9000050,720,720,1.4093277682550251,5907411.118371788,52237.2823428764,43511.383215097456
ppo_hourly,1,9000051,720,720,1.6815119772218168,5151599.112218146,41765.168308479704,57304.675098306565
ppo_hourly,1,9000052,720,720,1.1415479923598468,6413429.849189127,60116.61477452496,39893.19790540385
ppo_hourly,1,9000053,720,720,1.5337536442093551,5106119.816162675,43756.84578118693,50510.48023916557
ppo_hourly,1,9000054,720,720,1.58002712065354,5973363.652612601,52979.05889240735,55023.71014113851
ppo_hourly,1,9000055,720,720,1.381183573976159,5955797.620168489,53758.43275191793,41393.9836673138
ppo_hourly,1,9000056,720,720,1.331815502140671,5936662.2665723,54096.16177764554,52637.546236454575
ppo_hourly,1,9000057,720,720,1.0712188859470189,5482435.873654088,48056.04833971936,54013.47538376833
ppo_hourly,1,9000058,720,720,1.3857731628231704,4765652.545955272,37939.40220952525,49304.89598474477
ppo_hourly,1,9000059,720,720,1.2170012760907412,5227773.64181912,43833.20058203067,45477.22680237829
ppo_hourly,1,9000060,720,720,1.1489072181284428,5669342.684528922,49419.50958685566,38305.90815263321
