seed,decisions,simulated_hours,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,operating_cost_eur,vented_t,stored_t,captured_t,storage_rate,loss_rate,cost_per_stored_t_eur,unit_total_cost_eur_per_t
9000041,720,720.0,5352693.071047306,413489.8013226981,5766182.872370005,1667789.248631168,51229.92029673541,40689.90806941569,125444.62651394652,0.32436549256967906,0.4083867258438514,141.71039321428498,141.71039321428498
9000042,720,720.0,5529981.627494182,452518.97950486396,5982500.606999046,1645962.777522966,54206.7228684509,25479.8499475495,122590.33961068436,0.20784549605186675,0.44217776898732497,234.79340024819916,234.79340024819916
9000043,720,720.0,4790898.102083684,458193.4950000001,5249091.597083684,1735969.1792605724,43914.03022278897,36508.87624527475,122999.51700733569,0.29682129762426107,0.3570260379166362,143.77576460636914,143.77576460636914
9000044,720,720.0,5779497.763904129,476591.8125000001,6256089.576404129,1703710.1212040698,56904.743190000736,30231.28342453604,129859.10158151455,0.23280065129327418,0.43820373386982625,206.9409190655339,206.9409190655339
9000045,720,720.0,5367383.115007339,414320.3784684999,5781703.493475839,1711090.486693378,50882.66258478075,37775.727377728246,125440.6630420947,0.3011441940884167,0.40563132680274355,153.05339949283427,153.05339949283427
9000046,720,720.0,5470146.835337086,445041.1725000001,5915188.007837086,1751522.3545059045,52045.820666639884,42526.99008221402,132406.07380064274,0.32118609714418994,0.3930772899814452,139.09256207414933,139.09256207414933
9000047,720,720.0,6275795.433495196,403752.7785787022,6679548.212073898,1631532.3657414562,63100.19807915548,38042.5967384005,128277.74695956499,0.2965642727603571,0.4919029182750269,175.580764320736,175.580764320736
9000048,720,720.0,5891559.819093242,405736.3959839899,6297296.215077233,1664366.5200079044,57911.62118836664,34824.76731388538,131010.22127700872,0.2658171780372136,0.4420389540898339,180.82809163713682,180.82809163713682
9000049,720,720.0,4782403.743519417,449378.42795411544,5231782.171473533,1715646.0549342942,43951.70145674047,41686.395073582375,124881.76991963951,0.3338068887108764,0.3519464969548643,125.50334856824867,125.50334856824867
9000050,720,720.0,5514830.404627013,416925.1809934336,5931755.585620446,1731634.607796273,52501.51222280221,40850.36415324245,132171.66508378548,0.3090705116512441,0.39722214431906233,145.20692063768593,145.20692063768593
9000051,720,720.0,5701458.175842129,450691.86599734204,6152150.041839471,1729436.5081904903,55283.91917061224,37178.04803204444,128981.17360926494,0.2882439893489532,0.42862006619732834,165.47802715561667,165.47802715561667
9000052,720,720.0,6355236.94989561,429984.80570166407,6785221.755597274,1643089.3445690796,64276.65513785247,34504.9301644068,130292.35070980627,0.264826983137774,0.49332639090235386,196.64499314351602,196.64499314351602
9000053,720,720.0,4828567.361905404,362632.6888577085,5191200.0507631125,1677247.5403668024,43924.406379953885,46624.31142051368,119353.23535741051,0.39064137039012264,0.36802024049385496,111.34105561243952,111.34105561243952
9000054,720,720.0,6933757.034591118,412307.11875841126,7346064.153349529,1587904.608800706,71976.99430686032,34970.88424947431,132093.2010707144,0.2647440138175855,0.5448955262150726,210.06229356239277,210.06229356239277
9000055,720,720.0,6196475.222007913,379490.2584142409,6575965.480422153,1590828.8841769136,62314.20745306551,33056.8860064934,124998.78160566899,0.26445766576171326,0.49851851876162134,198.92876416521597,198.92876416521597
9000056,720,720.0,5455333.491439643,436202.7707341474,5891536.2621737905,1684120.7965176976,52592.69332070119,41322.91696324353,126854.31280836991,0.32575098196044167,0.41459129103595677,142.57309733033304,142.57309733033304
9000057,720,720.0,4983796.502754566,401363.71873290645,5385160.221487473,1701533.789442802,46045.330400558436,51263.48814330746,122972.65226763315,0.41686901272763877,0.3744355314086182,105.0486499559534,105.0486499559534
9000058,720,720.0,5214187.090798809,407439.2107494572,5621626.301548267,1688034.8916527822,49169.892623693544,35546.935130038364,126103.88537882672,0.2818861212979471,0.38991576251582605,158.14658228573415,158.14658228573415
9000059,720,720.0,5282836.249382389,439817.1497889113,5722653.3991713,1700024.0049556475,50282.867427695724,34349.14674811274,125978.9416694392,0.2726578449773196,0.39913708403452697,166.60249062768125,166.60249062768125
9000060,720,720.0,4777381.708530115,455924.5700673302,5233306.278597445,1752765.792583389,43506.75607517566,39891.672027333785,126857.6135473692,0.3144602118219578,0.34295739024705874,131.18794005454527,131.18794005454527
