model_seed,mean_total_cost_eur,mean_vented_t,mean_stored_t,mean_delta_vs_greedy_eur,wins_vs_greedy,win_rate_vs_greedy,selected_at_simulator_steps,validation_mean_total_cost_eur,training_simulator_calls,gradient_updates,training_elapsed_seconds
0,2093415.4921599808,2828.4690360501927,103499.9078017563,-160796.07147658558,20,0.6666666666666666,2851600,2097711.4579418693,9505312,2351330,9900.053199202754
1,1956900.46085918,1316.8555582347481,112289.502949477,-297311.10277738643,23,0.7666666666666667,9505312,1937931.7265040283,9505312,2351330,10309.830049783923
2,2441790.5185588514,7363.6102478371185,97604.72615280486,187578.9549222854,9,0.3,2851600,2422313.600592826,9505312,2351330,12122.8178033391
