time_limit_seconds_per_replan,role,seed_count,optimal_replans,integer_feasible_replans,optimal_replan_rate,all_replans_optimal_seed_count,relative_gap_mean,relative_gap_median,relative_gap_p95,relative_gap_maximum,total_cost_mean,operating_cost_mean,terminal_cleanup_operating_cost_mean,stored_t_mean,vented_t_mean,captured_t_mean,wall_clock_seconds_mean,solver_solve_wall_seconds_mean
300,superseded archived non-single-factor baseline,30,297,603,0.33,0,0.1264070049363881,0.10213965035081102,0.3955792653180058,0.515595546619747,2213972.1178254345,1688198.1781993958,226005.51814118127,103676.77144680274,6572.174245325485,126282.56570334815,6566.731264165432,6304.749939767023
600,formal primary result,30,329,571,0.3655555555555556,0,0.1028244483496303,0.08359458092448903,0.3580080163998896,0.5138867711762203,2089728.4612077808,1716673.632507502,223280.764778077,105909.61385948276,4663.185358753486,126282.56570334815,12312.734374695505,12050.878320892543
1200,time-budget ablation,30,332,568,0.3688888888888889,0,0.0997863832574741,0.08168703754796244,0.34109940713556586,0.4670532468531751,2096009.3241958371,1712365.8267315004,219940.1692558129,105554.13203860956,4795.54371830421,126282.56570334815,24230.915266860604,23972.409433846096
