method,display_name,model_seeds,test_seeds,mean_total_cost_eur,total_cost_ci95_low_eur,total_cost_ci95_high_eur,mean_delta_cost_vs_greedy_eur,delta_cost_ci95_low_eur,delta_cost_ci95_high_eur,mean_vented_t,mean_stored_t,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy,training_data_source,cumulative_simulator_calls,cumulative_roots
p1,One-shot original / P1,3,30,1993324.2028236375,1901656.8018870505,2097463.0208960255,-260887.36081292873,-379175.2312093104,-155060.68414315084,2449.388321541592,108475.9366585931,24,0,6,Greedy roll-in only,5639992,2159
p2,Iterative Q P2,3,30,1950708.749369543,1882350.2039748316,2026008.4975292666,-303502.81426702347,-437888.951572217,-182111.42101852666,1971.275373938573,109540.7165091378,26,0,4,Greedy plus policy-induced roots,6400212,2447
p3,Iterative Q P3,3,30,1927327.6666398118,1846543.6845026847,2015599.2967942283,-326883.8969967546,-445393.25412459474,-210767.901738901,1740.8711162234415,109772.47849775638,27,0,3,Greedy plus policy-induced roots,7607197,2879
p4,Iterative Q P4,3,30,1881692.086092781,1826109.2016416036,1957640.5742861405,-372519.47754378535,-498846.25745210354,-257067.77532899828,1113.0262533439552,110246.0049028621,28,0,2,Greedy plus policy-induced roots,9526297,3599
one_shot_matched,One-shot matched,3,30,1885220.6115395052,1832512.9808771054,1950335.850613301,-368990.95209706126,-518112.9116920858,-237731.07421197247,1068.9614438619662,111038.1614003747,27,0,3,Greedy roll-in only,9511567,3611
