horizon_h,run_status,solver_status,solver_is_valid,solver_validation_error,warm_start_wall_seconds,solver_wall_seconds,total_wall_seconds,total_variables,total_constraints,presolved_rows,presolved_columns,presolved_nonzeros,branch_and_bound_nodes,simplex_iterations,incumbent_objective,augmented_objective,best_bound,relative_gap,termination_reason,warm_start_accepted,replay_is_executable,replay_is_exact,replay_mismatches,replay_total_cost_with_cleanup,replay_minus_solver_augmented_objective,stored_t,vented_t
12,completed,Optimal,True,,0.03303640001104213,0.30209429998649284,0.5730101999943145,2407,4305,483,395,2946,0,1357,172375.8188044822,172375.8188044822,172375.8188044822,0.0,Integer optimal solution,True,True,True,,172375.8188044822,0.0,2563.923583382276,0.0
24,completed,Optimal,True,,0.039596399990841746,1.249547799990978,1.6494832999887876,4711,8362,1379,1124,9551,51,12998,216147.69873352742,216147.69873352742,216147.69873352742,0.0,Integer optimal solution,True,True,True,,216147.698735674,2.146582119166851e-06,2563.923583382276,0.0
48,completed,Optimal,True,,0.06571270001586527,53.6604129000043,54.44985020000604,9319,16486,4688,3380,20586,5571,1950028,260315.0032586241,260315.0032586241,260315.0032586241,0.0,Integer optimal solution,True,True,True,,260315.00325938276,7.586495485156775e-07,2563.923583382276,0.0
72,completed,Optimal,True,,0.0745697999955155,143.13245790000656,144.3048460999853,13927,24610,10492,7026,45069,3697,2456790,308868.5538847386,308868.5538847386,308868.5538847386,0.0,Integer optimal solution,True,True,True,,308868.55388341146,-1.3271346688270569e-06,6273.96924548273,0.0
96,completed,Integer Feasible,True,,0.11145180001039989,301.0106556999963,302.7450206000067,18535,32734,16884,11447,78575,2868,2047974,381595.8277372829,381595.8277372829,344325.24796,0.09767030210545843,"Time limit exceeded, integer feasible",True,True,True,,381595.82773804304,7.601338438689709e-07,10063.923583382275,0.0
168,completed,Integer Feasible,True,,0.15320939998491667,302.0274123000272,306.04164340000716,32359,57106,36485,23995,332714,0,214952,524006.6931765771,524006.6931765771,483706.00351,0.07690873073065266,"Time limit exceeded, integer feasible",True,True,True,,524006.69317673444,1.573353074491024e-07,14630.133629044372,0.0
