controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,1,9000051,4320,8928,1817,70,80.15233359998092,12539535.057414267,298668.8873334792,12838203.944747746,2139700.6574579575,760551.7674630184,705424.3193978482,33962.187793051635,5660.364632175272,0.9275165078518461,16.880118479735174
iterative_q_direct,1,9000052,4320,8928,2238,71,67.7058277358301,12321824.781321032,223347.70738941059,12545172.488710443,2090862.0814517406,796671.7311598957,755220.6769916125,28435.45248220884,4739.24208036814,0.9479697188352179,15.746978332525481
iterative_q_direct,1,9000053,4320,8928,1952,70,82.5537331928499,13720072.166656483,244297.7009694995,13964369.867625982,2327394.9779376634,786569.9028400438,718062.7139107656,49566.53955765761,8261.089926276269,0.9129038770973548,17.753501395369007
iterative_q_direct,1,9000054,4320,8928,1868,69,83.91722887801006,11844016.243706524,283972.42342921015,12127988.667135734,2021331.4445226223,765397.6971079829,720794.2083539643,24184.879541767452,4030.8132569612417,0.941725081062367,15.845342510123476
iterative_q_direct,1,9000055,4320,8928,1930,72,77.8497733338736,13977169.854398852,173697.15105993778,14150867.00545879,2358477.834243132,794291.7806990704,733405.1377215148,49055.137349579345,8175.856224929891,0.9233447399846336,17.815703686376256
