controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
greedy,,9000056,8760,8928,,,280.11488990997896,25420064.810970634,229733.95530135182,25649798.766271986,2108202.638323725,1553165.4781309646,1457765.3829020504,81743.58866708739,6718.651123322251,0.938576992231558,16.51453056833212
greedy,,9000057,8760,8928,,,220.59240778815,29135882.00772521,195744.0202996592,29331626.028024867,2410818.5776458797,1598955.6506583076,1457451.9200259314,127517.14790350225,10480.861471520733,0.9115024043511666,18.34423988929819
greedy,,9000058,8760,8928,,,257.7682230370119,27685779.482544653,165408.7710634469,27851188.2536081,2289138.760570529,1599025.7521571955,1476306.7222876025,108546.59174584148,8921.637677740397,0.9232538752399475,17.417598319498566
greedy,,9000059,8760,8928,,,246.38195221172646,31230238.005573507,187288.86004074186,31417526.86561425,2582262.4821052807,1605845.1208933052,1434249.1467481104,158536.01269322072,13030.357207661978,0.893142886625493,19.564481316938707
greedy,,9000060,8760,8928,,,237.47257329709828,27895242.688479252,258068.20502999102,28153310.893509243,2313970.758370623,1569635.3788395326,1436221.7375662073,114625.0960311381,9421.240769682585,0.9150034185824983,17.936210710492286
