#{"t_start": 1785272198.682423, "env_id": "None"}
r,l,t
-10.200169,720,8.9789
-8.570861,720,17.000508
-8.000316,720,25.371587
-6.811312,720,33.864089
-8.233472,720,42.515289
-8.052555,720,49.497631
-8.513166,720,57.778112
-7.657472,720,66.107585
-8.969153,720,74.552713
-6.932158,720,82.742584
-7.494748,720,89.512798
-8.509673,720,97.854172
-8.168539,720,105.867084
-8.582732,720,113.922668
-8.622069,720,121.988629
-7.784606,720,128.750829
-7.942036,720,137.115759
-8.360391,720,145.321449
-7.407503,720,153.356201
-7.902154,720,161.479172
-9.294838,720,169.530094
-7.239656,720,176.283987
-8.572009,720,184.392942
-7.419832,720,192.574101
-9.344876,720,200.699294
-8.172767,720,208.788583
-8.344571,720,215.43489
-7.705738,720,223.520843
-8.178163,720,231.560125
-8.894974,720,239.699548
-8.70491,720,247.852748
-8.044884,720,254.578186
-9.233994,720,262.76939
-7.564262,720,270.963564
-8.523443,720,279.032831
-9.429206,720,287.169231
-8.208044,720,295.26908
-7.242092,720,302.141426
-7.652089,720,310.314963
-6.812203,720,318.617537
-7.980759,720,326.865037
-7.898197,720,335.01529
-7.420228,720,341.736599
-7.479772,720,349.856633
-7.749966,720,358.231937
-7.935192,720,366.320024
-8.882117,720,374.47153
-7.720252,720,381.100468
-8.033687,720,389.233842
-9.28048,720,397.251424
-8.435454,720,405.335986
-6.876865,720,413.655994
-7.58707,720,421.816739
-5.608088,720,428.780816
-7.084033,720,437.063537
-7.60927,720,445.160604
-8.797058,720,453.265756
-8.914078,720,461.377134
-7.948172,720,468.021551
-8.26837,720,476.074612
-8.193092,720,484.115276
-8.295754,720,492.161106
-8.69964,720,500.214021
-8.474572,720,506.982139
-8.369219,720,515.290376
-7.353212,720,523.480224
-8.277186,720,531.603446
-7.215943,720,539.739744
-7.272135,720,548.185424
-6.912191,720,555.230221
-6.844396,720,563.719443
-7.288258,720,572.148376
-7.132145,720,580.237106
-7.290892,720,588.644426
-7.8972,720,595.302575
-8.57847,720,603.414953
-7.199955,720,611.501969
-7.662405,720,619.594154
-8.459822,720,627.653875
-7.350702,720,634.27424
-8.090273,720,642.335669
-7.373872,720,650.430321
-7.747049,720,658.461193
-6.669737,720,666.941828
-7.838015,720,675.144135
-7.308286,720,681.918158
-7.502784,720,689.991932
-7.151216,720,698.188705
-8.343361,720,706.230045
-6.99898,720,714.581652
-8.611472,720,721.32758
-7.975831,720,729.840035
-8.413026,720,738.018948
-7.221768,720,746.612673
-7.505578,720,755.05289
-6.30834,720,762.02518
-6.897467,720,770.460468
-5.855064,720,778.947165
-7.231137,720,787.28204
-7.279876,720,795.397443
-9.888611,720,803.765603
-6.237301,720,810.571505
-8.494055,720,818.638888
-6.902685,720,826.864067
-7.992096,720,835.040267
-7.253472,720,843.416295
-6.430145,720,850.237453
-7.334096,720,858.483181
-6.879266,720,866.609135
-7.914035,720,874.750071
-7.968825,720,882.845283
-7.596955,720,889.877977
-7.705571,720,898.009665
-8.247515,720,906.459342
