#{"t_start": 1785272199.3441253, "env_id": "None"}
r,l,t
-8.631907,720,8.385321
-7.791502,720,16.333186
-7.778096,720,24.806743
-6.087442,720,33.219339
-6.59771,720,41.866752
-6.776926,720,48.846671
-7.807409,720,57.065708
-7.922687,720,65.45
-7.646471,720,73.948579
-7.57089,720,82.084974
-7.734471,720,88.871805
-6.860367,720,97.190052
-7.01478,720,105.214766
-8.77633,720,113.264166
-8.120255,720,121.324182
-8.675971,720,128.033126
-6.730729,720,136.461513
-8.383922,720,144.671339
-8.455936,720,152.699492
-8.360079,720,160.814811
-8.344109,720,168.859182
-7.469915,720,175.713749
-8.845736,720,183.734026
-7.881708,720,191.905164
-8.40233,720,200.034687
-8.079611,720,208.132513
-8.977517,720,214.787571
-7.902856,720,222.859007
-7.89293,720,230.903471
-8.337186,720,239.044424
-7.88974,720,247.192933
-7.702489,720,253.906639
-7.782101,720,262.097668
-7.817698,720,270.287392
-8.506495,720,278.374729
-7.591082,720,286.524971
-7.939333,720,294.603752
-7.220437,720,301.437437
-5.318912,720,309.658123
-6.029605,720,317.937912
-7.535475,720,326.216395
-7.535706,720,334.344497
-8.233249,720,341.05689
-7.38132,720,349.208101
-7.670865,720,357.565217
-8.89142,720,365.66484
-8.409753,720,373.819543
-8.355208,720,380.43789
-8.436223,720,388.566927
-8.053287,720,396.592707
-7.892396,720,404.680743
-9.042617,720,413.009682
-7.717211,720,421.171202
-7.104479,720,428.092994
-7.06628,720,436.370956
-7.302509,720,444.511748
-9.114615,720,452.604026
-8.613287,720,460.719865
-8.132451,720,467.364431
-8.291632,720,475.410375
-7.88316,720,483.457574
-7.978306,720,491.49595
-7.665105,720,499.544564
-6.772846,720,506.300047
-8.117201,720,514.631691
-8.675891,720,522.813275
-7.163153,720,530.932668
-7.063464,720,539.076633
-7.034967,720,547.521181
-7.114709,720,554.587589
-7.55503,720,563.0625
-7.341808,720,571.460093
-8.022665,720,579.569825
-7.602632,720,587.933268
-8.055059,720,594.652958
-7.193296,720,602.750159
-7.227115,720,610.831073
-7.925699,720,618.938162
-7.746311,720,626.985576
-6.773088,720,633.611394
-7.84756,720,641.673093
-7.25349,720,649.769034
-9.348936,720,657.802121
-5.905006,720,666.283244
-7.385709,720,674.490589
-7.820724,720,681.256612
-5.710985,720,689.33366
-7.731095,720,697.553756
-8.056501,720,705.603284
-7.551649,720,713.911484
-7.476729,720,720.663739
-8.170767,720,729.18064
-6.593578,720,737.356243
-7.307324,720,745.95382
-7.3795,720,754.430062
-7.737384,720,761.361785
-6.69067,720,769.8068
-7.110545,720,778.286407
-6.743949,720,786.618199
-7.094505,720,794.738716
-6.981483,720,803.098046
-7.104199,720,809.908786
-8.149189,720,817.982465
-7.73179,720,826.188447
-8.619164,720,834.383705
-7.714056,720,842.758887
-8.465998,720,849.584501
-6.189571,720,857.824689
-7.2444,720,865.942933
-7.136846,720,874.089741
-7.209394,720,882.182276
-7.893291,720,889.195958
-6.634055,720,897.347612
-7.41716,720,905.795943
-5.899671,720,914.205004
-8.000199,720,922.681293
-5.894516,720,931.027125
-6.917561,720,937.772202
-6.591978,720,946.065927
-6.548659,720,954.405089
-6.773055,720,962.729889
-6.427139,720,971.038665
-6.993938,720,978.206031
-7.691255,720,986.485293
-6.860883,720,994.912196
-5.407503,720,1003.547452
-6.261138,720,1011.885104
-7.926342,720,1018.875014
-6.503804,720,1027.412571
-5.785826,720,1035.907175
-6.44169,720,1044.267579
-6.955823,720,1052.797143
-6.391651,720,1061.353442
-5.775901,720,1068.220043
-6.833071,720,1076.952087
-7.393985,720,1085.468149
-6.505466,720,1094.08467
-6.78809,720,1102.574497
-7.31293,720,1109.777178
-6.947985,720,1118.164602
