seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_operating_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,211,3.4123222748815167,-2.7436054199905,134043.80710806392,108220.10578331583,10179.789173875512,0.8073487922949738,1667482.4258711692,261739.8602092912,1929222.2860804603,2481865.5597812105,2743605.419990502,25.352085919079563,0,1.6807432882487774
9000032,215,3.3488372093023258,-1.8954837293655744,118765.80374023803,101363.9941415889,1355.1645854795847,0.8534779452449968,1596314.667598058,190755.89492914916,1787070.5625272072,1704727.8344364248,1895483.729365574,18.69977347891297,0,0.7387241758406162
9000033,224,3.2142857142857144,-1.9418362090443044,127077.96740974124,112635.01450550061,0.0,0.8863457356248721,1712988.8784472633,228847.33059704176,1941836.2090443051,1712988.8784472633,1941836.2090443051,17.240075988532627,0,1.3254996282048523
9000034,194,3.711340206185567,-1.846400980362928,123422.09958543938,109122.38932898371,0.0,0.884139790973523,1671030.4711694825,175370.5091934454,1846400.9803629278,1671030.4711694825,1846400.9803629278,16.920459602441184,0,1.192146464716643
9000035,185,3.891891891891892,-1.8186364126138705,116933.45658342756,110893.41233149038,0.0,0.948346312266688,1653222.3913833527,165414.02123051698,1818636.4126138696,1653222.3913833527,1818636.4126138696,16.39985977866272,0,1.3723329971544445
9000036,211,3.4123222748815167,-2.536008407811429,124518.99931170137,101244.2388585443,9109.422791761102,0.8130826574112222,1608313.7854320116,198940.7990385291,1807254.5844705408,2337067.6087729,2536008.407811429,25.04842187963575,0,1.4458515937440097
9000037,214,3.364485981308411,-2.0546339671500227,121647.55872136065,107594.59471904169,1865.544951850029,0.8844780433735796,1709188.1463348153,196202.22466720582,1905390.3710020212,1858431.7424828177,2054633.9671500237,19.096070509073652,0,0.6899550617672503
9000038,155,4.645161290322581,-2.709675195645756,128369.72617542402,100107.19434814698,11002.896286787281,0.7798349138125075,1643664.897182749,185778.59552002524,1829443.4927027742,2523896.600125732,2709675.195645757,27.067736872359106,0,1.307196592912078
9000039,212,3.3962264150943398,-1.9283325918482077,125712.08383662622,111670.0679293083,127.55286635369825,0.88830018977677,1728499.4878510232,189628.87468888867,1918128.3625399119,1738703.717159319,1928332.5918482076,17.268124105278783,0,1.601428385823965
9000040,213,3.380281690140845,-2.419076767470339,128417.59580770151,108980.70446516748,7110.293645483758,0.8486430833696674,1605014.436330726,245238.8395009117,1850253.2758316377,2173837.927969427,2419076.7674703384,22.19729427647007,0,1.3564323051832616
9000041,208,3.4615384615384617,-2.5058030439124197,125444.62651394652,102632.29168467814,8292.96963077374,0.8181481705258042,1648814.28262086,193551.1908296618,1842365.473450522,2312251.8530827593,2505803.043912421,24.41534728281342,0,1.4202560670673847
9000042,185,3.891891891891892,-1.8388369071498167,122590.33961068436,112742.43081593922,0.0,0.9196681498230646,1677648.4855657283,161188.42158408873,1838836.907149817,1677648.4855657283,1838836.907149817,16.310069721237973,0,1.310829230118543
