method,cumulative_simulator_calls,mean_total_cost_eur,ci95_low_eur,ci95_high_eur
p1,5639992,1993324.2028236375,1901656.8018870505,2097463.0208960255
p2,6400212,1950708.749369543,1882350.2039748316,2026008.4975292666
p3,7607197,1927327.6666398118,1846543.6845026847,2015599.2967942283
p4,9526297,1881692.086092781,1826109.2016416036,1957640.5742861405
one_shot_matched,9511567,1885220.6115395052,1832512.9808771054,1950335.850613301
