algorithm,model_seed,test_episodes,mean_total_cost_eur,median_total_cost_eur,mean_unit_cost_eur_per_t,mean_vented_t,mean_stored_t,mean_delta_vs_greedy_eur,paired_bootstrap_95pct_ci_low_eur,paired_bootstrap_95pct_ci_high_eur,wins,ties,losses,win_rate
Event-Residual PPO,0,30,2212818.4352367325,2195075.1255042683,21.690148160174896,5458.253812929713,103003.34418448819,-41393.12839983388,-190686.45722135028,96351.78458939875,18,0,12,0.6
Event-Residual PPO,1,30,2330441.677191274,2220622.2526579285,23.122478542632365,7220.886426519583,101425.32890647548,76230.11355470744,-56600.86920771483,204050.8824579355,12,0,18,0.4
Event-Residual PPO,2,30,2176289.7223174768,2121250.6760910335,21.229783934707054,5210.52483463683,103041.38832232657,-77921.84131908957,-214676.91196802628,52904.781049880825,17,0,13,0.5666666666666667
