controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
fixed_assignment,,9000031,2160,8928,,,11.9369523874484,8529034.41837187,271588.7275857953,8800623.145957664,2933541.0486525544,372430.0660718813,298321.3284833624,56240.81940209965,18746.93980069988,0.8010130106568372,23.630270345195733
fixed_assignment,,9000032,2160,8928,,,6.7567779696546495,9681553.02430263,283821.53264028113,9965374.55694291,3321791.51898097,399245.3761569624,302034.8330318313,69687.30316358208,23229.10105452736,0.7565142918852165,24.960525912327775
fixed_assignment,,9000033,2160,8928,,,10.194025124888867,8960407.268437436,275261.9401752363,9235669.208612673,3078556.4028708907,392631.14943336044,311038.677879545,61018.696407499054,20339.56546916635,0.7921905287658189,23.5225076307406
fixed_assignment,,9000034,2160,8928,,,9.299581314437091,8782710.47927807,286051.6961434531,9068762.175421525,3022920.7251405083,386115.2785168188,306527.7677858772,58986.41988055512,19662.139960185043,0.7938762976780914,23.4871881015879
fixed_assignment,,9000035,2160,8928,,,10.217829721979797,8356795.705958329,251413.5994462113,8608209.30540454,2869403.101801513,374399.2913007368,301532.77355497197,53781.24437549948,17927.081458499826,0.8053775222367217,22.992055555174606
fixed_assignment,,9000036,2160,8928,,,11.75385665986687,9752911.681222724,251556.9258815531,10004468.607104277,3334822.8690347592,396325.8342308667,302235.71572118223,71793.97445020243,23931.324816734144,0.7625940315188353,25.24303929497692
fixed_assignment,,9000037,2160,8928,,,5.360438444186002,8107074.001343947,280392.4722966997,8387466.473640647,2795822.157880216,385282.2620700704,321868.52301145054,49102.57462931353,16367.524876437843,0.83540965857627,21.769666811484917
fixed_assignment,,9000038,2160,8928,,,11.764441410079598,8747768.339025278,265057.6866933211,9012826.0257186,3004275.3419061997,393886.8201610175,320660.4756434941,57631.52057946303,19210.50685982101,0.8140929303306237,22.881765939856113
fixed_assignment,,9000039,2160,8928,,,11.376203278079629,8767714.122941028,239902.78009563562,9007616.903036663,3002538.967678888,386774.6349545641,308380.88125479163,59090.34742312381,19696.782474374602,0.7973141291724529,23.289057991341192
fixed_assignment,,9000040,2160,8928,,,10.822804702911526,7981138.79132499,319894.59070113045,8301033.38202612,2767011.12734204,387992.79601956235,311280.4036684059,47909.65649818102,15969.885499393675,0.8022839775940359,21.394813169695006
fixed_assignment,,9000041,2160,8928,,,11.651867602020502,9429863.080040498,289525.5808951993,9719388.660935696,3239796.2203118987,393672.31944489584,307945.9406886636,66569.2096753997,22189.736558466568,0.7822392519821761,24.689032428392935
fixed_assignment,,9000042,2160,8928,,,10.129976857919246,10055206.67311306,268746.6081109492,10323953.281224009,3441317.760408003,411684.1250348045,318559.2508917622,74620.20716290786,24873.40238763595,0.7737953239387859,25.07736551743695
fixed_assignment,,9000043,2160,8928,,,7.970955113414675,8838676.992666207,272951.85270440555,9111628.845370613,3037209.615123538,388251.17855546664,307689.31290465477,59791.90181076383,19930.633936921276,0.792500653956669,23.468386829555755
fixed_assignment,,9000044,2160,8928,,,5.225514144171029,8656524.879526392,258665.20266589642,8915190.082192289,2971730.0273974296,390195.6022661407,312356.5101289383,56284.998259798325,18761.66608659944,0.8005126360083611,22.848002464444757
