algorithm,algorithm_display_name,mean_episode_vessel_fuel_eur,mean_episode_conditioning_eur,mean_episode_reconditioning_eur,mean_episode_loading_eur,mean_episode_unloading_eur,mean_episode_vent_penalty_eur,mean_terminal_cleanup_operating_cost_eur,mean_total_cost_eur,episode_records,model_instance_count
iterative_action_q_g60_p4,Iterative Action-Q,564922.5120000053,960712.2761154006,45559.5108974777,3750.094914120541,3384.550838125661,75956.97275357439,210432.5571412565,1864718.4746599607,90,3
rolling_milp,Rolling MILP (600 s/replan),518163.91000000533,924957.261163675,43422.94168238794,3610.526904989923,3238.2279783667836,373054.82870027894,223280.764778077,2089728.4612077808,30,1
ppo_high_level,High-level PPO,674030.5293333408,934638.055269948,44036.556556448115,3648.3154267410723,3297.875045835463,304277.8504537396,223314.89394449332,2187244.076030546,90,3
greedy,Greedy,503371.08800000505,898962.8045508272,42223.51198182082,3509.0587735184167,3129.1179018034313,583741.8577852814,219274.1246433097,2254211.563636566,30,1
fixed_assignment,Fixed-Assignment,472415.4820000063,834409.5516765106,39187.27326411642,3257.0782052334384,2901.565396449609,969639.6363492763,265131.2570975244,2586941.8439891175,30,1
ppo_hourly,Hourly PPO,801155.6226666765,459694.4616572212,18074.00405563593,1794.3955808294995,1302.3681181648847,3980540.542454172,397070.8010921918,5659632.195624893,90,3
