algorithm,algorithm_display_name,method_class,test_seed,model_instance_count,mean_total_cost_eur,fixed_assignment_total_cost_eur,delta_total_cost_vs_fixed_assignment_eur
ppo_high_level,High-level PPO,reinforcement_learning,9000032,3,1856990.9763663104,2246922.083572707,-389931.1072063967
ppo_high_level,High-level PPO,reinforcement_learning,9000033,3,1977178.623723182,2808943.3452227814,-831764.7214995994
ppo_high_level,High-level PPO,reinforcement_learning,9000034,3,1999438.273840256,2204230.046881304,-204791.7730410481
ppo_high_level,High-level PPO,reinforcement_learning,9000035,3,1858796.5354664105,1835118.653119177,23677.882347233284
ppo_high_level,High-level PPO,reinforcement_learning,9000036,3,2131430.752750947,2856437.4452236663,-725006.692472719
ppo_high_level,High-level PPO,reinforcement_learning,9000037,3,2493221.10136236,2528976.512061367,-35755.410699006636
ppo_high_level,High-level PPO,reinforcement_learning,9000038,3,2470266.6012660717,2943299.018402233,-473032.4171361613
ppo_high_level,High-level PPO,reinforcement_learning,9000039,3,1952070.8414092502,2643753.485066,-691682.6436567499
ppo_high_level,High-level PPO,reinforcement_learning,9000040,3,2355521.2937394595,2654718.876257158,-299197.5825176984
ppo_high_level,High-level PPO,reinforcement_learning,9000041,3,2275393.8269247077,2951265.1991328495,-675871.3722081416
ppo_high_level,High-level PPO,reinforcement_learning,9000042,3,2029918.4453789429,2060234.8639605404,-30316.418581597583
ppo_high_level,High-level PPO,reinforcement_learning,9000043,3,2118005.522833065,2612647.8813048154,-494642.35847175005
ppo_high_level,High-level PPO,reinforcement_learning,9000044,3,2253471.4974858803,2845721.5142642595,-592250.0167783793
ppo_high_level,High-level PPO,reinforcement_learning,9000045,3,2045817.0525390795,2371019.10575172,-325202.0532126403
ppo_high_level,High-level PPO,reinforcement_learning,9000046,3,2226940.654911261,2639068.1340305978,-412127.47911933664
ppo_high_level,High-level PPO,reinforcement_learning,9000047,3,2201852.2750341273,2563481.4476033296,-361629.17256920226
ppo_high_level,High-level PPO,reinforcement_learning,9000048,3,2612764.8156739073,3102200.0320528345,-489435.21637892723
ppo_high_level,High-level PPO,reinforcement_learning,9000049,3,1870019.2529239696,2054674.3352626045,-184655.08233863497
ppo_high_level,High-level PPO,reinforcement_learning,9000050,3,2058598.477741708,2925726.437843871,-867127.9601021627
ppo_high_level,High-level PPO,reinforcement_learning,9000051,3,2212077.978793238,2771903.761121032,-559825.7823277941
ppo_high_level,High-level PPO,reinforcement_learning,9000052,3,2228840.0749141607,2555690.1288931454,-326850.0539789849
ppo_high_level,High-level PPO,reinforcement_learning,9000053,3,1888100.8219917167,2004306.9844839287,-116206.16249221198
ppo_high_level,High-level PPO,reinforcement_learning,9000054,3,2579950.070370414,3099605.200420402,-519655.130049988
ppo_high_level,High-level PPO,reinforcement_learning,9000055,3,2485691.3239893457,3042067.940885448,-556376.616896102
ppo_high_level,High-level PPO,reinforcement_learning,9000056,3,2430175.257156842,2918646.810220665,-488471.5530638229
ppo_high_level,High-level PPO,reinforcement_learning,9000057,3,1984350.0864784517,2128115.441468709,-143765.35499025742
ppo_high_level,High-level PPO,reinforcement_learning,9000058,3,1953313.073284796,2052759.8787102632,-99446.80542546728
ppo_high_level,High-level PPO,reinforcement_learning,9000059,3,2041691.3884749692,2368517.4439496975,-326826.0554747284
ppo_high_level,High-level PPO,reinforcement_learning,9000060,3,2353684.3756461875,2730085.5891911555,-376401.2135449682
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000031,3,2244390.4958148226,3088117.723315256,-843727.2275004335
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000032,3,1722053.8516649054,2246922.083572707,-524868.2319078016
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000033,3,1793769.6090456247,2808943.3452227814,-1015173.7361771567
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000034,3,1756897.204823863,2204230.046881304,-447332.8420574412
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000035,3,1724261.252612122,1835118.653119177,-110857.40050705506
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000036,3,2175677.0855898717,2856437.4452236663,-680760.3596337946
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000037,3,1816803.829593889,2528976.512061367,-712172.6824674777
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000038,3,1865269.7641325784,2943299.018402233,-1078029.2542696544
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000039,3,1917052.8225369947,2643753.485066,-726700.6625290051
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000040,3,1785094.8380573685,2654718.876257158,-869624.0381997895
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000041,3,1938406.508269967,2951265.1991328495,-1012858.6908628825
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000042,3,1700041.767149429,2060234.8639605404,-360193.09681111126
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000043,3,1776220.8254208844,2612647.8813048154,-836427.055883931
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000044,3,1842429.5322303367,2845721.5142642595,-1003291.9820339229
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000045,3,1771512.6263121073,2371019.10575172,-599506.4794396125
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000046,3,1817528.91481472,2639068.1340305978,-821539.2192158777
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000047,3,1919259.4873333648,2563481.4476033296,-644221.9602699646
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000048,3,1942164.3674628776,3102200.0320528345,-1160035.6645899569
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000049,3,1698969.9051775327,2054674.3352626045,-355704.43008507177
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000050,3,1849483.5507106655,2925726.437843871,-1076242.8871332053
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000051,3,1879625.9862359166,2771903.761121032,-892277.7748851151
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000052,3,1845030.507141884,2555690.1288931454,-710659.6217512615
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000053,3,1722184.3298805377,2004306.9844839287,-282122.65460339095
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000054,3,2491329.591655862,3099605.200420402,-608275.60876454
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000055,3,2010871.223856436,3042067.940885448,-1031196.7170290117
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000056,3,1956562.693867302,2918646.810220665,-962084.1163533629
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000057,3,1944322.5136050056,2128115.441468709,-183792.92786370366
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000058,3,1839208.1405847908,2052759.8787102632,-213551.73812547233
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000059,3,1824378.3076910167,2368517.4439496975,-544139.1362586807
iterative_action_q_g60_p4,Iterative Action-Q,reinforcement_learning,9000060,3,1879961.0495107565,2730085.5891911555,-850124.5396803991
rolling_milp,Rolling MILP (600 s/replan),optimization,9000031,1,2047400.10499098,3088117.723315256,-1040717.6183242763
rolling_milp,Rolling MILP (600 s/replan),optimization,9000032,1,2119138.625970045,2246922.083572707,-127783.45760266203
rolling_milp,Rolling MILP (600 s/replan),optimization,9000033,1,2563985.1772702606,2808943.3452227814,-244958.16795252077
rolling_milp,Rolling MILP (600 s/replan),optimization,9000034,1,1935952.9860899067,2204230.046881304,-268277.06079139747
rolling_milp,Rolling MILP (600 s/replan),optimization,9000035,1,2030261.0445873856,1835118.653119177,195142.39146820852
rolling_milp,Rolling MILP (600 s/replan),optimization,9000036,1,1923094.823839663,2856437.4452236663,-933342.6213840032
rolling_milp,Rolling MILP (600 s/replan),optimization,9000037,1,1821431.6603343585,2528976.512061367,-707544.8517270084
rolling_milp,Rolling MILP (600 s/replan),optimization,9000038,1,1810656.9559609732,2943299.018402233,-1132642.0624412596
rolling_milp,Rolling MILP (600 s/replan),optimization,9000039,1,2437563.728051424,2643753.485066,-206189.75701457588
rolling_milp,Rolling MILP (600 s/replan),optimization,9000040,1,2617199.479188901,2654718.876257158,-37519.39706825698
rolling_milp,Rolling MILP (600 s/replan),optimization,9000041,1,2050671.2118801554,2951265.1991328495,-900593.9872526941
rolling_milp,Rolling MILP (600 s/replan),optimization,9000042,1,1704683.0519553637,2060234.8639605404,-355551.8120051767
rolling_milp,Rolling MILP (600 s/replan),optimization,9000043,1,1848406.8849600037,2612647.8813048154,-764240.9963448117
rolling_milp,Rolling MILP (600 s/replan),optimization,9000044,1,1749991.6922290896,2845721.5142642595,-1095729.82203517
rolling_milp,Rolling MILP (600 s/replan),optimization,9000045,1,2356014.76438643,2371019.10575172,-15004.341365289874
rolling_milp,Rolling MILP (600 s/replan),optimization,9000046,1,1951286.679850844,2639068.1340305978,-687781.4541797538
rolling_milp,Rolling MILP (600 s/replan),optimization,9000047,1,1849746.8683753524,2563481.4476033296,-713734.5792279772
rolling_milp,Rolling MILP (600 s/replan),optimization,9000048,1,2238322.68021427,3102200.0320528345,-863877.3518385645
rolling_milp,Rolling MILP (600 s/replan),optimization,9000049,1,1874198.1505790306,2054674.3352626045,-180476.1846835739
rolling_milp,Rolling MILP (600 s/replan),optimization,9000050,1,2309098.2174299285,2925726.437843871,-616628.2204139424
rolling_milp,Rolling MILP (600 s/replan),optimization,9000051,1,2062598.9039833313,2771903.761121032,-709304.8571377005
rolling_milp,Rolling MILP (600 s/replan),optimization,9000052,1,1773739.6461533632,2555690.1288931454,-781950.4827397822
rolling_milp,Rolling MILP (600 s/replan),optimization,9000053,1,1901437.4781864525,2004306.9844839287,-102869.50629747612
rolling_milp,Rolling MILP (600 s/replan),optimization,9000054,1,2743967.0885134107,3099605.200420402,-355638.11190699134
rolling_milp,Rolling MILP (600 s/replan),optimization,9000055,1,2023126.2839932581,3042067.940885448,-1018941.6568921898
rolling_milp,Rolling MILP (600 s/replan),optimization,9000056,1,1928589.6410331812,2918646.810220665,-990057.1691874836
rolling_milp,Rolling MILP (600 s/replan),optimization,9000057,1,2600976.848755597,2128115.441468709,472861.407286888
rolling_milp,Rolling MILP (600 s/replan),optimization,9000058,1,2359117.3438523225,2052759.8787102632,306357.4651420594
rolling_milp,Rolling MILP (600 s/replan),optimization,9000059,1,1834132.930825844,2368517.4439496975,-534384.5131238536
rolling_milp,Rolling MILP (600 s/replan),optimization,9000060,1,2225062.8827922978,2730085.5891911555,-505022.70639885776
