algorithm,algorithm_display_name,mean_vessel_fuel_eur_per_captured_t,mean_conditioning_eur_per_captured_t,mean_reconditioning_eur_per_captured_t,mean_loading_eur_per_captured_t,mean_unloading_eur_per_captured_t,mean_vent_penalty_eur_per_captured_t,mean_terminal_cleanup_eur_per_captured_t,mean_unit_total_cost_eur_per_captured_t,episode_records,model_instance_count
iterative_action_q_g60_p4,Iterative Action-Q,4.475601808733421,7.60930689337037,0.36084010664054844,0.0297025694271267,0.02680794470025287,0.5962576361531184,1.6641608125767653,14.762677771601602,90,3
rolling_milp,Rolling MILP (600 s/replan),4.10450760226421,7.323865570733158,0.34377707718867245,0.02858836272974806,0.025643507762104938,2.9573967592195776,1.7678276911025896,16.55160657100006,30,1
ppo_high_level,High-level PPO,5.342912397353991,7.402715870610321,0.34884330689868553,0.028896151144549916,0.02612673603640634,2.383105848099946,1.7688051356660393,17.301405445809937,90,3
greedy,Greedy,3.9898471693216133,7.119875120594524,0.33444483419050697,0.027792095659353956,0.0247857346808926,4.6142630791713675,1.734735350130759,17.845743383749017,30,1
fixed_assignment,Fixed-Assignment,3.7456302277968114,6.610142287489381,0.31047896501859396,0.025802377663121913,0.022996463175554583,7.6208550847854175,2.10279392952106,20.438699335449943,30,1
ppo_hourly,Hourly PPO,6.351375291372916,3.6440195127104653,0.14324746111939912,0.014224257752619823,0.010320262117066938,31.46950296994225,3.145938474811445,44.77862822982617,90,3
