controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_receding,0,9000036,720,8928,450,11,5.742795688100159,1561197.5291098978,203253.32063138904,1764450.8497412868,1764450.8497412866,122364.081108585,108789.53504613882,0.0,0.0,0.8890642912571686,14.41967964582291
iterative_q_receding,0,9000037,720,8928,449,10,3.275102124083787,1576776.934733045,188386.11075260176,1765163.045485647,1765163.045485647,120299.47887454001,113536.54094713574,225.09777964920366,225.09777964920366,0.9437824835928232,14.673073083936885
iterative_q_receding,0,9000038,720,8928,414,12,3.894489266909659,2158875.707033561,253166.82782031994,2412042.534853881,2412042.534853881,133790.67117978266,106384.74811619836,7591.816541887224,7591.816541887223,0.7951581913603132,18.028480712326147
iterative_q_receding,0,9000039,720,8928,418,10,4.16664215689525,1624309.8397145625,266803.2439746247,1891113.0836891872,1891113.0836891872,127801.99857145117,109738.53595843476,420.5202613675219,420.5202613675219,0.8586605623157173,14.797210566561752
iterative_q_receding,0,9000040,720,8928,390,11,3.7103875260800123,1551172.0709627836,229236.2842956428,1780408.3552584264,1780408.3552584264,124349.39446956229,105837.86266804695,0.0,0.0,0.8511329156005941,14.317788702173592
