controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_receding,0,9000046,8760,8928,4494,133,279.4103004280478,23405678.141755786,281240.20496741036,23686918.346723195,1946870.0011005367,1585781.4742947912,1539680.1250394054,37941.117761592606,3118.4480351993925,0.9709283088479216,14.937063353736646
iterative_q_receding,0,9000047,8760,8928,4520,138,325.7079828721471,23981345.093766928,200577.76445267923,24181922.85821961,1987555.30341531,1594467.8944917,1536226.7682642862,45615.95243686455,3749.256364673799,0.9634730016022176,15.166139714546311
iterative_q_receding,0,9000048,8760,8928,4715,134,305.31115268496796,23668731.932878323,227166.42734488368,23895898.360223208,1964046.440566291,1582400.7805992449,1519640.2450462368,42519.421027521945,3494.7469337689267,0.9603384071074326,15.101040553818475
iterative_q_receding,0,9000049,8760,8928,4448,140,318.36773742409423,24045021.074400704,262288.8891203464,24307309.963521052,1997861.0928921413,1589194.9178221277,1518460.3231036654,47684.650651271615,3919.2863548990363,0.9554902964229216,15.295360997524705
iterative_q_receding,0,9000050,8760,8928,4342,137,335.3923401492648,24646099.673600845,218276.31040577352,24864375.984006617,2043647.3411512289,1591981.4895955909,1519333.1340737909,55630.64398204931,4572.381697154738,0.9543660802612379,15.618508221677178
