controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,2,9000031,4320,8928,2215,70,79.06888312287629,11261337.137009539,237130.77269897572,11498467.909708515,1916411.3182847523,762057.2272253358,730468.2985659052,17511.546546654678,2918.5910911091128,0.9585478261593995,15.08871971672606
iterative_q_direct,2,9000032,4320,8928,2244,69,64.68635658500716,11452288.87848238,199735.684409231,11652024.562891612,1942004.0938152687,785045.5141203033,747301.4057847963,17715.964468640464,2952.660744773411,0.9519211209329668,14.842482828461856
iterative_q_direct,2,9000033,4320,8928,2013,68,73.0613236981444,12286669.527313352,171284.21756462238,12457953.744877974,2076325.624146329,781746.9207998742,739617.8268077214,27352.095238125774,4558.682539687629,0.9461090375014886,15.936044534887507
iterative_q_direct,2,9000034,4320,8928,2101,68,69.087494996842,12955144.488202248,120978.54682748242,13076123.03502973,2179353.8391716215,781213.8042785354,733393.553129826,37353.47681807711,6225.579469679518,0.9387872425105541,16.738212975007215
iterative_q_direct,2,9000035,4320,8928,2083,70,70.49214912904426,12670060.44004323,166355.8203834365,12836416.260426667,2139402.710071111,770620.6998461707,723944.8233887426,34681.40405849731,5780.234009749552,0.939430803679754,16.657243002931324
