epoch,train_mse,train_mae,train_rmse,validation_mse,validation_mae,validation_rmse
1,1.1450577525791361,0.7869911639496888,1.0700737136193637,1.199605873262072,0.8072352452404135,1.095265206816172
2,0.9752725917113398,0.7224237633507271,0.9875589054387287,1.2312807706191713,0.8131038245869101,1.1096309163948035
3,0.8832936435875309,0.6846128278144209,0.9398370303342655,1.4113195744722395,0.8751449491385772,1.187989719851245
4,0.7463991333358568,0.6299328948278526,0.8639439410840595,1.623590550505544,0.9335627517818781,1.2742019268960254
5,0.5999133011726905,0.5664464477705374,0.7745407033672862,1.7052463408919298,0.9468711173637145,1.3058508111158524
6,0.490119154493162,0.5121089368801489,0.7000851051787647,1.7394801861185027,0.9665581494878877,1.3188935461660667
7,0.41421399182155116,0.46981746131705016,0.6435945865384133,1.776596503274596,0.9738910416639068,1.332890281784137
8,0.35631888365267655,0.43650636315373526,0.5969245209008226,1.7999339750450816,0.9775977470653449,1.3416161802263276
9,0.3749974804695021,0.44089520019430073,0.612370378504302,1.7505410529429484,0.9698282758586906,1.323080138518808
10,0.2999133905179817,0.3998484153944327,0.5476434885196588,1.799144779651098,0.971711932639542,1.341322026826928
11,0.2654713807856989,0.37816656480497646,0.5152391491198033,1.8414540042098302,0.9880412007227142,1.35700184384909
12,0.24432649673964965,0.3632592754288083,0.49429393759143925,1.838909734359683,0.9881079309411485,1.3560640598289164
13,0.23020558856775464,0.3527139186804045,0.4797974453535102,1.8404865457109767,0.9908583376524525,1.3566453278992916
14,0.20702903529609468,0.33547446790222096,0.45500443436970445,1.840580544983143,0.991097323881362,1.356679971468269
15,0.19434216784553565,0.3252960065066902,0.4408425658276837,1.8605604228728132,0.9983776824420769,1.364023615218158
16,0.182099326808625,0.314818366463306,0.4267309770905143,1.8672540934779507,1.0025387280442477,1.3664750614182282
17,0.17893329611120978,0.3108091913145423,0.42300507811515664,1.850107240848021,0.9944734419364115,1.360186472822025
18,0.16534298558791086,0.2995452859314882,0.4066238871339347,1.8695720652447796,0.9997143928988161,1.3673229557221585
19,0.155301306798298,0.29028940807881204,0.3940828679329996,1.835678075575064,0.994124918861276,1.3548719775591582
20,0.1491532751659315,0.2844336019660063,0.38620367057542515,1.8570167721970297,0.9960497701897432,1.362724026425391
21,0.14559678522540817,0.2808059541823182,0.38157146804420294,1.8342537219716075,0.9873234071040264,1.3543462341556562
22,0.13642210828611784,0.27157977707770314,0.36935363581007,1.838338168323318,0.9900242916817077,1.3558532989683352
23,0.13284778505260275,0.2678816968497243,0.36448290090565666,1.8503551310773318,0.991617379290279,1.360277593389427
24,0.12775830159876558,0.26256213545587875,0.35743293300808976,1.871475947974209,1.0028466096570536,1.368018986700919
25,0.12332080799311505,0.25793204403885567,0.35117062518541475,1.8548175303249081,0.9980455663275951,1.3619168588151438
26,0.12307505432914469,0.2576704744508362,0.35082054433733595,1.8662483751556538,0.9993545597341078,1.3661070145327758
27,0.11487305908317283,0.2485382827755963,0.33892928330725985,1.855496339106671,0.9934038540790424,1.362166046819062
28,0.14063992589167465,0.2680604827735868,0.3750199006608511,1.8227682710296946,0.9886945721091431,1.3500993559844752
29,0.10775789138686699,0.24019404867599245,0.32826497130651483,1.8673361752412911,0.9975173051959969,1.3665050952123416
30,0.10595611574196236,0.23845837706787018,0.32550901023160994,1.8835635741221564,1.0026395799939505,1.3724298066284324
