method,display_name,model_seeds,test_seeds,mean_total_cost_eur,total_cost_ci95_low_eur,total_cost_ci95_high_eur,mean_delta_cost_vs_greedy_eur,delta_cost_ci95_low_eur,delta_cost_ci95_high_eur,mean_vented_t,mean_stored_t,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy,representation_dimension,parameter_count,mean_delta_cost_vs_state_only_eur,delta_cost_vs_state_only_ci95_low_eur,delta_cost_vs_state_only_ci95_high_eur
state_only,State-only,3,30,1872743.9726756217,1817829.5352073696,1935193.7936768432,-381467.59096094436,-536933.4864307992,-244770.0141892421,1049.0937769870195,110678.3241267193,27,0,3,93,4319166,0.0,0.0,0.0
structured_summary_168,168 h structured summary,3,30,1864718.4746599607,1815480.5202564574,1923165.9169783758,-389493.0889766058,-534428.6412597531,-262967.724071733,949.4621594196798,111120.75828653098,26,0,4,100,4323532,-8025.498015661349,-56668.67544393557,43383.726545952755
full_sequence_168,Full 168 h sequence,3,30,2061266.7244009343,1957780.0245933451,2183987.24927142,-192944.83923563245,-358281.6146155225,-31435.529063290352,3412.688405802812,106071.21749402255,20,0,10,1773,4388515,188522.75172531194,87884.85424638902,296846.6598352561
