model_seed,episodes,mean_total_cost_eur,sd_total_cost_eur,mean_delta_vs_greedy_eur,mean_vented_t,mean_stored_t,mean_unit_cost_eur_per_t,mean_override_events,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy
0,30,1887069.4699551878,191262.68115310828,-367142.0936813785,1194.254782408436,110776.3572494414,17.094888590904016,11.2,25,0,5
1,30,1847696.1831019574,129984.57116609863,-406515.3805346089,735.3031333621356,111743.0448105782,16.58402915704389,11.166666666666666,29,0,1
2,30,1859389.7709227367,139104.48661381708,-394821.79271382996,918.8285624884676,110842.8727995733,16.827796546965704,11.0,27,0,3
