controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,0,9000056,2160,8928,1183,35,24.173706306610256,5382848.27000985,219706.12538230635,5602554.395392156,1867518.1317973854,380720.2034525248,358388.2733517377,5796.916232898206,1932.3054109660684,0.9413429340017364,14.71567398994308
iterative_q_direct,0,9000057,2160,8928,1011,32,18.985626135021448,5813970.830425795,183406.64828484418,5997377.478710639,1999125.82623688,395531.9613194659,369260.5799993845,9296.728418599057,3098.9094728663526,0.9335796246845844,15.162813793109978
iterative_q_direct,0,9000058,2160,8928,1255,36,24.172937171999365,5092534.086622885,168408.45403613776,5260942.540659023,1753647.513553008,388711.882821524,369109.57075201004,2528.618165205209,842.8727217350697,0.9495711015386831,13.534298212011622
iterative_q_direct,0,9000059,2160,8928,1019,32,22.68045130185783,5644435.350384816,257771.96351097847,5902207.313895794,1967402.4379652645,402637.8378960648,377998.14495059114,6916.669110272847,2305.556370090949,0.9388043282910882,14.658849115465806
iterative_q_direct,0,9000060,2160,8928,1141,33,21.046189535874873,5993468.670944795,214552.9788513139,6208021.649796109,2069340.549932036,391470.3359329281,359077.76039460086,12946.27763089166,4315.425876963887,0.9172540737700311,15.858217289955144
