controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,1,9000046,2160,8928,1179,33,19.19849783880636,4949536.752165723,237340.7615582066,5186877.513723929,1728959.17124131,381721.6934856551,368334.9002430878,286.4134699017172,95.47115663390572,0.9649304887015272,13.588113021192099
iterative_q_direct,1,9000047,2160,8928,1224,35,22.504616784863174,5148699.642939512,241681.91960466726,5390381.562544179,1796793.854181393,377318.0752541105,363544.37129235186,3117.1423596623445,1039.0474532207816,0.9634957748777804,14.286041183990314
iterative_q_direct,1,9000048,2160,8928,1070,35,19.718951313756406,6891195.259796294,243368.46378074167,7134563.723577036,2378187.907859012,392705.3888261524,349812.922730879,24567.56566378791,8189.188554595969,0.8907769862199125,18.16772554332187
iterative_q_direct,1,9000049,2160,8928,1239,35,22.148704258725047,5661540.934110038,282244.2836411709,5943785.217751209,1981261.739250403,391117.69548405823,357338.3670490817,11490.927392092552,3830.309130697517,0.9136338528657716,15.196922272706207
iterative_q_direct,1,9000050,2160,8928,1183,36,22.452085892204195,6176895.487965059,262780.16859490646,6439675.656559965,2146558.552186655,390501.10058907396,352893.47522722825,15631.110197558317,5210.370065852772,0.9036939324751856,16.490800273918982
