gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e4_low_s1,9000031,545,12,490,4.89908256880734,1,3,545493.9600000074,498583.1400000054,46910.820000001986,995601.992187096,970806.9448776268,24795.0473094692,46536.71740564014,44989.57306175243,1547.1443438877104,3886.2852700142066,3789.498976008898,96.78629400530872,3657.3477700142134,3531.742500000005,125.6052700142086,1595176.3026327721,1521700.8994153936,73475.40321737854,0.0,177136.87552824378,-177136.87552824378,0.0,0.0,0.0,1595176.3026327721,1698837.7749436374,-103661.4723108653,188801.28672407306,221085.85629553438,-32284.569571461325,1783977.5893568452,1919923.6312391718,-135946.0418823266,1783977.5893568452,1742786.755710928,41190.83364591724,0.0,177136.87552824378,-177136.87552824378,0.0,2214.210944103048,-2214.210944103048,113504.18879424427,109730.66600427422,3773.522789970055,15.717284166408753,17.496691682928336,-1.7794075165195835
e4_low_s1,9000032,444,8,396,4.826576576576577,0,0,532209.4800000052,458729.7000000049,73479.78000000032,883684.5247830099,900648.3329311532,-16963.808148143347,41910.95667971071,40506.84709066963,1404.1095890410797,3449.4207313301044,3515.638153800952,-66.2174224708474,3205.1250000000055,2976.1875000000036,228.93750000000182,1464459.507194056,1406376.7056756287,58082.80151842721,0.0,333955.486427715,-333955.486427715,0.0,0.0,0.0,1464459.507194056,1740332.1921033438,-275872.68490928784,200963.39915482324,140577.40022671808,60385.99892810517,1665422.9063488792,1880909.5923300618,-215486.6859811826,1665422.9063488792,1546954.1059023468,118468.80044653243,0.0,333955.486427715,-333955.486427715,0.0,4174.443580346436,-4174.443580346436,102221.84556026985,98797.1880260236,3424.6575342462456,16.292240638200454,19.03808832934215,-2.7458476911416945
e4_low_s1,9000033,469,12,398,4.816631130063966,2,2,538851.7200000032,481977.54000000743,56874.1799999958,954338.7955723742,935509.4595007749,18829.33607159939,40866.021699771,42803.380622268975,-1937.3589224979733,3725.2163343793795,3651.7169119259725,73.49942245340708,3038.403834379381,3205.1250000000045,-166.72116562062365,1540820.157440907,1467147.222034977,73672.93540593004,0.0,17272.706487606665,-17272.706487606665,0.0,0.0,0.0,1540820.157440907,1484419.9285225838,56400.22891832329,217895.96937190348,200938.83386390042,16957.135508003063,1758716.1268128105,1685358.7623864843,73357.36442632624,1758716.1268128105,1668086.0558988776,90630.07091393298,0.0,17272.706487606665,-17272.706487606665,0.0,215.90883109508331,-215.90883109508331,99673.22365797812,104398.4893226072,-4725.265664629085,17.64482036667867,16.143516762761475,1.5013036039171936
e4_low_s1,9000034,521,11,452,4.81957773512476,0,7,481147.2600000055,468277.9200000053,12869.3400000002,974878.1915245353,890700.5702966674,84177.6212278679,45138.244914119874,41499.04786034444,3639.1970537754314,3805.3908946657884,3476.8075330314327,328.5833616343557,3434.062500000006,3205.125000000004,228.93750000000182,1508403.1498333265,1407159.4706900483,101243.67914327816,0.0,247370.60830194908,-247370.60830194908,0.0,0.0,0.0,1508403.1498333265,1654530.0789919973,-146126.92915867083,119791.80516016891,210758.63827929535,-90966.83311912644,1628194.9549934953,1865288.7172712926,-237093.76227779733,1628194.9549934953,1617918.1089693436,10276.846024151659,0.0,247370.60830194908,-247370.60830194908,0.0,3092.132603774364,-3092.132603774364,110093.28027834112,101217.18990327914,8876.090375061976,14.789231012801546,18.42857640143656,-3.6393453886350127
e4_low_s1,9000035,438,9,381,4.700913242009133,2,4,547984.8000000027,408497.76000000205,139487.04000000068,890161.4959446723,762450.0000000006,127711.49594467168,44822.22185669777,33939.198161456334,10883.023695241434,3474.703281804494,2976.187500000001,498.51578180449314,3391.7600666798294,2591.5725000000034,800.187566679826,1489834.981149857,1210454.7181614588,279380.2629883981,0.0,676939.0855623375,-676939.0855623375,0.0,0.0,0.0,1489834.981149857,1887393.8037237963,-397558.82257393934,164138.32951346962,247989.61493577258,-83851.28542230296,1653973.3106633266,2135383.4186595688,-481410.1079962421,1653973.3106633266,1458444.3330972313,195528.9775660953,0.0,676939.0855623375,-676939.0855623375,0.0,8461.738569529227,-8461.738569529227,109322.49233340911,82778.53210111293,26543.960232296187,15.129304824290672,25.796343139441333,-10.667038315150661
e4_low_s1,9000036,448,10,414,4.727678571428571,0,3,563344.980000005,507301.080000006,56043.899999998976,931209.8812155618,859382.2757073988,71827.60550816299,44270.95189459247,40373.715634779765,3897.2362598127074,3634.933711522388,3354.5580519141135,280.3756596082744,3205.1250000000045,2976.1875000000027,228.93750000000182,1545665.8718216817,1413387.8168940987,132278.05492758309,0.0,819114.0851345547,-819114.0851345547,0.0,0.0,0.0,1545665.8718216817,2232501.9020286533,-686836.0302069716,218834.63435300434,184853.80133707737,33980.83301592697,1764500.5061746861,2417355.7033657306,-652855.1971910445,1764500.5061746861,1598241.618231176,166258.8879435102,0.0,819114.0851345547,-819114.0851345547,0.0,10238.926064181935,-10238.926064181935,107977.93145022553,98472.47715799946,9505.454292226073,16.34130680664193,24.5485416141921,-8.207234807550169
e4_low_s1,9000037,485,10,423,4.674226804123712,1,4,541342.5600000066,484883.52000000636,56459.04000000021,1020240.0833832882,979415.9965029766,40824.0868803116,46900.57834466578,45868.920821108455,1031.6575235573255,3982.4588932576635,3823.104001694805,159.35489156285848,3421.316722391615,3434.0625000000045,-12.745777608389744,1615886.9973436098,1517425.6038257862,98461.39351782366,0.0,333880.75652155926,-333880.75652155926,0.0,0.0,0.0,1615886.9973436098,1851306.3603473455,-235419.36300373566,153490.40706986343,123527.38500846877,29963.02206139466,1769377.4044134733,1974833.7453558142,-205456.3409423409,1769377.4044134733,1640952.988834255,128424.41557921842,0.0,333880.75652155926,-333880.75652155926,0.0,4173.509456519491,-4173.509456519491,114391.65449918465,111875.41663684955,2516.237862335096,15.46771407547117,17.652079471276295,-2.1843653958051252
e4_low_s1,9000038,550,11,468,4.9,1,2,523491.5400000068,454163.16000000504,69328.38000000175,948790.5460498396,821100.0000000002,127690.54604983935,45440.549828386196,37331.21479216434,8109.335036221855,3703.559004881251,3205.125000000003,498.4340048812478,3418.824772406466,2976.1875000000036,442.6372724064622,1524845.01965552,1318775.6872921695,206069.33236335055,0.0,863557.038267534,-863557.038267534,0.0,0.0,0.0,1524845.01965552,2182332.7255597035,-657487.7059041834,158191.8469198544,230758.90700506791,-72567.06008521351,1683036.8665753745,2413091.6325647715,-730054.765989397,1683036.8665753745,1549534.5942972375,133502.27227813704,0.0,863557.038267534,-863557.038267534,0.0,10794.46297834418,-10794.46297834418,110830.60933752722,91051.74339552286,19778.865942004355,15.18566826110103,26.502420959502754,-11.316752698401723
e4_low_s1,9000039,462,12,428,4.792207792207792,0,4,530964.0600000039,500243.7000000053,30720.35999999859,935760.1158237451,807676.8904989692,128083.2253247759,42581.90666632271,36938.269255555264,5643.637410767449,3652.6953370229967,3152.728527171491,499.9668098515058,3423.612689381098,2747.250000000003,676.3626893810947,1516382.3905164755,1350758.8382817013,165623.55223477422,0.0,650113.4487469646,-650113.4487469646,0.0,0.0,0.0,1516382.3905164755,2000872.287028666,-484489.89651219035,256448.90594967065,318163.5993202384,-61714.69337056775,1772831.2964661461,2319035.886348904,-546204.589882758,1772831.2964661461,1668922.4376019398,103908.85886420636,0.0,650113.4487469646,-650113.4487469646,0.0,8126.418109337055,-8126.418109337055,103858.30894225044,90093.3396476958,13764.969294554641,17.069710786952196,25.740369881029437,-8.67065909407724
e4_low_s1,9000040,478,11,438,4.7301255230125525,0,4,538021.4400000066,398534.40000000474,139487.04000000184,926763.627189881,815488.9089922621,111274.71819761896,44309.95192111613,38256.99600826247,6052.955912853664,3617.5779693057757,3183.222371737695,434.3555975680806,3388.6404693057743,2844.930000000004,543.7104693057704,1516101.237549615,1258308.457372267,257792.78017734806,0.0,745594.2765695087,-745594.2765695087,0.0,0.0,0.0,1516101.237549615,2003902.7339417757,-487801.49639216065,179858.92588282647,227119.7732255129,-47260.84734268644,1695960.1634324417,2231022.5071672886,-535062.3437348469,1695960.1634324417,1485428.2305977799,210531.9328346618,0.0,745594.2765695087,-745594.2765695087,0.0,9319.928457118855,-9319.928457118855,108073.05346613689,93309.74636161573,14763.307104521155,15.692719961538295,23.909855016871536,-8.217135055333241
