horizon_hours,storage_target_rate,elapsed_hours,captured_t,stored_t,vented_t,in_transit_t,in_transit_growth_t,emitter_inventory_t,vessel_inventory_t,terminal_inventory_t,loss_rate,storage_rate,annual_storage_gap_t,vessel_fuel,conditioning,reconditioning,loading,unloading,operating_cost,vent_penalty,storage_shortfall_penalty,total_cost,net,cost_per_stored_t,total_cost_per_stored_t,vessel_sailing_hours,vessel_waiting_hours,vessel_loading_hours,vessel_unloading_hours,loaded_t,unloaded_t,throttle_hours,well_switch_count,berth_wait_vessel_hours,pressure_risk_hours,min_pressure_margin_fraction,longest_venting_streak_hours,total_reward,controller,seed,wall_clock_seconds,controller_decision_calls,simulator_step_calls,simulator_simulated_hours,simulator_hour_steps,episode_operating_cost,episode_total_cost,terminal_cleanup_operating_cost,terminal_cleanup_included,evaluation_role,online_comparable,run_status,error_type,error_message,solver_replan_count,solver_status_counts,solver_failure_count,solver_timeout_count,solver_solve_wall_seconds,solver_time_limit_seconds_per_replan,solver_threads,solver_executable,warm_start_mode,shifted_warm_start,fallback_used,executed_action_count
720.0,0.9,720.0,134043.80710806392,117762.28605284878,2474.100065360168,26489.75382318695,13807.42098985493,10689.753823186951,15800.0,0.0,0.018457399254301912,0.878535820441975,2877.140344408748,547569.660000005,1035435.293689694,48282.53728166799,4041.7726777337543,3559.4776777337543,1849472.0997621664,197928.00522881348,0.0,2047400.10499098,-1836816.7465556483,15.705130749008807,17.385872622005298,1319.0000000000123,529.7284866720797,165.51075666395394,145.76075666395394,132408.60533116295,116608.60533116291,232,20,34,0,0.6480479736355471,31,-1836.8167465556407,rolling_milp,9000031,12056.770169401076,720,41730,41730.0,41730.0,1638888.7413268348,1836816.7465556483,210583.35843533167,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 19, ""Optimal"": 11}",0,19,11718.38677206682,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,118765.80374023803,92181.08126023502,6193.493365992055,26523.81864784454,20391.229114010934,6306.923670675589,16100.0,4116.89497716895,0.05214879343163735,0.7761584425585286,14708.142105979205,516019.0200000058,868808.1638129952,37794.243316696324,3391.3515601523895,2899.8990601523915,1623659.156690681,495479.4692793641,0.0,2119138.625970045,-1924392.1470293663,17.61380029929301,22.988867097225047,1243.0000000000139,659.3730294715348,138.87598526422565,118.75098526422572,111100.7882113805,95000.78821138044,386,21,21,0,0.8993216316902817,133,-1924.3921470293587,rolling_milp,9000032,14682.04816771578,720,41730,41730.0,41730.0,1428912.6777500021,1924392.1470293663,194746.47894067873,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 24, ""Optimal"": 6}",0,24,14518.799598436803,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,127077.96740974124,99724.82966443239,10661.737317657966,24559.83487458921,16691.400427650766,8723.605762132405,11794.0381752789,4042.1909371779075,0.08389918043999722,0.7847531062791292,14645.341004334725,530133.780000008,902631.6662022595,40887.180162417295,3523.3800013841455,3163.3669860837563,1711046.191857623,852938.9854126377,0.0,2563985.1772702606,-2333278.35876479,17.157674749760744,25.71059971621817,1277.000000000019,609.1774370406074,144.28255533923613,129.54000762013746,115426.04427138875,103632.00609610982,337,25,23,0,0.7806379037870727,122,-2333.2783587647828,rolling_milp,9000033,12887.431050932966,720,41730,41730.0,41730.0,1480339.3733521525,2333278.35876479,230706.81850547047,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 20, ""Optimal"": 10}",0,20,12654.033449299168,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,123422.0995854394,104726.69614121088,3275.0584930897367,22486.112015815197,15420.344951138795,9944.9863028194,12193.787756275597,347.3379567202031,0.02653543007362766,0.8485246685397168,6353.193485684576,508546.50000000285,916455.4202540746,42937.94541789649,3577.340371260317,3205.125000000005,1673948.3066427277,262004.67944717887,0.0,1935952.9860899067,-1736727.0104904133,15.983969401513606,18.485763968716398,1225.0000000000068,657.2577653046483,146.4922346953447,131.25000000000023,117193.78775627555,105000.0,299,15,31,0,0.8115020510007411,63,-1736.727010490411,rolling_milp,9000034,12248.784445904195,720,41730,41730.0,41730.0,1474722.3310432343,1736727.0104904133,199225.9755994933,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 19, ""Optimal"": 11}",0,19,12000.274803039618,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,116933.45658342756,103642.9856378551,6117.872482783793,19088.454012068287,7172.598462788565,10457.797765699608,3188.0724809248577,5442.583765443823,0.05231926483263517,0.8863415883366946,1597.1252872297046,459144.84000000596,846030.7268008332,42493.624111520636,3302.440912480233,3205.1250000000036,1540831.2459646822,489429.7986227033,0.0,2030261.0445873856,-1843606.5554475435,14.866719985745963,19.588986481742594,1106.0000000000143,787.5149093988293,135.23509060115617,131.25000000000017,108188.0724809249,104999.99999999999,336,23,34,0,0.7636372398608,80,-1843.6065554475372,rolling_milp,9000035,13005.85871937126,720,41730,41730.0,41730.0,1354176.75682484,1843606.5554475435,186654.48913984216,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 21, ""Optimal"": 9}",0,21,12749.619728083257,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,124518.99931170137,107045.11106490095,2530.523170795708,24853.623753363063,14943.365076004848,12796.559834526703,2907.063918836363,9150.0,0.020322386019672328,0.8596688991769118,5021.988315630282,562514.7000000046,896164.449957089,43888.4955366094,3498.1355287647284,3409.3974026422493,1720652.9701760064,202441.85366365672,0.0,1923094.823839663,-1711917.0320887666,16.07409206323101,17.965274683807834,1355.0000000000111,522.1362435951166,143.2487931517088,139.61496325316338,114599.03452136686,111691.97060253053,302,21,15,0,0.6663626721137939,57,-1711.9170320887597,rolling_milp,9000036,11992.508694711141,720,41730,41730.0,41730.0,1509475.17842511,1711917.0320887666,211177.79175089655,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 18, ""Optimal"": 12}",0,18,11687.140972344205,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,121647.55872136065,107309.20659118767,1345.997157401336,28581.51175547251,12992.35497277135,7563.560741481625,21017.951013990885,0.0,0.011064728068110307,0.882132019081323,2173.5962580369087,484883.52000000485,985460.3769294084,43996.77470238698,3846.6979547020774,3205.125000000005,1713751.8877422516,107679.77259210689,0.0,1821431.6603343585,-1629072.2671786093,15.970222333961292,16.973675588464708,1168.0000000000118,703.227561232499,157.52243876748886,131.25000000000023,126017.95101399098,104999.99999999997,328,22,24,0,0.9469516582063204,31,-1629.0722671786032,rolling_milp,9000037,14967.60237235576,720,41730,41730.0,41730.0,1521392.4945865024,1629072.2671786093,192359.39315574907,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 23, ""Optimal"": 7}",0,23,14821.824447794817,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,128369.72617542402,121306.34721122055,0.0,17442.63934405434,7063.378964203381,8630.37702231622,8381.931208197862,430.33111354025846,0.0,0.9449762870526732,0.0,573723.4800000053,997139.2667452283,49735.60235660045,3892.2859485163845,3636.427498386144,1810656.9559609732,0.0,0.0,1810656.9559609732,-1628127.0625487366,14.9263166980721,14.9263166980721,1382.000000000013,469.6988760482044,159.38926898101496,148.91185497076762,127511.41518481179,119129.4839766139,225,25,24,0,0.7238033916659004,0,-1628.1270625487273,rolling_milp,9000038,12511.219370746054,720,41730,41730.0,41730.0,1628127.0625487366,1628127.0625487366,182529.89341223653,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 20, ""Optimal"": 10}",0,20,12205.781093104742,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,125712.08383662622,89834.39317069865,9394.087883311568,36420.16250049371,26483.602782616144,21482.830192525413,13921.080398205042,1016.2519097632555,0.07472700791055219,0.71460428010601,23306.482282264944,500658.8400000052,812662.8487139635,36832.10119998648,3172.190979155212,2747.2500000000027,1686036.6973864986,751527.0306649255,0.0,2437563.728051424,-2107600.261558036,18.76827613431728,27.133969986525006,1206.0000000000125,711.598649502231,129.90135049775645,112.50000000000014,103921.08039820504,89999.99999999999,383,17,17,0,0.6962801619103902,130,-2107.6002615580296,rolling_milp,9000039,11515.093758177944,720,41730,41730.0,41730.0,1356073.2308931104,2107600.261558036,329963.46649338823,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 18, ""Optimal"": 12}",0,18,11234.291317232884,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,128417.59580770151,97763.03502118237,13665.115766254208,23881.849506502353,16989.44502026486,8335.975604128358,13626.684223221406,1919.1896791525894,0.1064115527183439,0.7612900273228701,17812.801205748998,419291.4000000053,869010.6706255919,40082.84435868473,3392.142035913834,2976.1875000000036,1523990.2178885653,1093209.2613003359,0.0,2617199.479188901,-2427962.5058205314,15.588614015086188,26.770849315611272,1010.0000000000128,889.2166447209602,138.9083552790268,121.87500000000017,111126.68422322134,97500.0,348,19,23,0,0.761913810122345,169,-2427.9625058205233,rolling_milp,9000040,13539.324992292095,720,41730,41730.0,41730.0,1334753.2445201958,2427962.5058205314,189236.97336836957,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 22, ""Optimal"": 8}",0,22,13299.122923044953,600.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
