seed,method,comparison_scope,greedy_total_cost,method_total_cost,method_minus_greedy_total_cost,cost_improvement_vs_greedy_percent,greedy_stored_t,method_stored_t,method_minus_greedy_stored_t,greedy_vented_t,method_vented_t,method_minus_greedy_vented_t
9000031,rolling_milp,valid online paired comparison,2293017.35099732,2047400.10499098,-245617.24600634002,10.711530198387369,114469.71188364139,117762.28605284878,3292.5741692073934,6240.861480952415,2474.100065360168,-3766.761415592247
9000032,rolling_milp,valid online paired comparison,1766211.2553052178,2119138.625970045,352927.3706648273,-19.982171985640424,100608.4832397591,92181.08126023502,-8427.401979524075,1844.963500955279,6193.493365992055,4348.529865036777
9000033,rolling_milp,valid online paired comparison,2107598.694435474,2563985.1772702606,456386.48283478664,-21.65433505153271,105135.0145055005,99724.82966443239,-5410.184841068112,4789.393867697877,10661.737317657966,5872.343449960089
9000034,rolling_milp,valid online paired comparison,1935952.9860899067,1935952.9860899067,0.0,0.0,104726.69614121088,104726.69614121088,0.0,3275.0584930897367,3275.0584930897367,0.0
9000035,rolling_milp,valid online paired comparison,1885009.4324528396,2030261.0445873856,145251.61213454604,-7.705617257603832,109085.56940329901,103642.9856378551,-5442.583765443909,3536.5342797446087,6117.872482783793,2581.3382030391845
9000036,rolling_milp,valid online paired comparison,3533761.529562704,1923094.823839663,-1610666.7057230407,45.57938310914709,81137.24365784733,107045.11106490095,25907.86740705362,25697.976964565867,2530.523170795708,-23167.45379377016
9000037,rolling_milp,valid online paired comparison,2000485.9131946776,1821431.6603343585,-179054.2528603191,8.950538050746793,113556.80536003655,107309.20659118767,-6247.598768848882,4271.358815318033,1345.997157401336,-2925.3616579166965
9000038,rolling_milp,valid online paired comparison,1920295.9707264367,1810656.9559609732,-109639.01476546354,5.709485227112555,115107.19434814701,121306.34721122055,6199.152863073541,2408.9084384230837,0.0,-2408.9084384230837
9000039,rolling_milp,valid online paired comparison,2437563.728051424,2437563.728051424,0.0,0.0,89834.86331241042,89834.39317069865,-0.47014171177579556,9394.08788331157,9394.087883311568,-1.8189894035458565e-12
9000040,rolling_milp,valid online paired comparison,2617199.479188901,2617199.479188901,0.0,0.0,97763.03502118237,97763.03502118237,0.0,13665.115766254208,13665.115766254208,0.0
9000041,rolling_milp,valid online paired comparison,2085510.1991784673,2050671.2118801554,-34838.9872983119,1.6705258651832926,105778.5088564841,105778.50885648398,-1.1641532182693481e-10,4000.7591781787564,3457.02806376707,-543.7311144116866
9000042,rolling_milp,valid online paired comparison,2713194.122553258,1704683.0519553637,-1008511.0705978945,37.17061975826605,84584.10356355288,106649.33750088152,22065.233937328638,15319.326463527254,265.4174242618467,-15053.909039265407
9000043,rolling_milp,valid online paired comparison,2311477.9959102147,1848406.8849600037,-463071.11095021106,20.03355047158313,96818.52510115394,103748.14565166723,6929.620550513297,8100.662419000601,1006.1991623448037,-7094.4632566557975
9000044,rolling_milp,valid online paired comparison,1749991.6922290896,1749991.6922290896,0.0,0.0,115731.28342453578,115731.28342453578,0.0,0.0,0.0,0.0
9000045,rolling_milp,valid online paired comparison,2356429.90438643,2356014.76438643,-415.1400000001304,0.017617328621885107,99542.0035538456,99542.0035538456,0.0,8535.053965914734,8535.053965914734,0.0
9000046,rolling_milp,valid online paired comparison,1951286.679850844,1951286.679850844,0.0,0.0,124463.61990029803,124463.61990029803,0.0,2082.7015861596574,2082.7015861596574,0.0
9000047,rolling_milp,valid online paired comparison,1831302.291207332,1849746.8683753524,18444.57716802042,-1.0071836450256593,116042.59673840055,112549.07896065348,-3493.517777747067,439.94129301342485,1264.5008098593592,824.5595168459342
9000048,rolling_milp,valid online paired comparison,2588329.1383681437,2238322.68021427,-350006.4581538737,13.522486493914032,101407.28082094183,108907.28082094193,7500.000000000102,11503.626695217417,5580.633008177403,-5922.993687040014
