seed,rolling_run_status,full_run_status,rolling_total_cost,full_replay_total_cost,full_minus_rolling_total_cost,rolling_stored_t,full_stored_t,rolling_vented_t,full_vented_t,comparison_scope
9000043,completed,completed,1848406.8849600037,2311477.9959102147,463071.11095021106,103748.14565166723,96818.52510115394,1006.1991623448037,8100.662419000601,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000044,completed,completed,1749991.6922290896,1749991.6922290896,0.0,115731.28342453578,115731.28342453578,0.0,0.0,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000045,completed,completed,2356014.76438643,2356429.90438643,415.1400000001304,99542.0035538456,99542.0035538456,8535.053965914734,8535.053965914734,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000046,completed,completed,1951286.679850844,1951286.679850844,0.0,124463.61990029803,124463.61990029803,2082.7015861596574,2082.7015861596574,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000047,completed,completed,1849746.8683753524,1831302.291207332,-18444.57716802042,112549.07896065348,116042.59673840055,1264.5008098593592,439.94129301342485,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000048,completed,completed,2238322.68021427,2588329.1383681437,350006.4581538737,108907.28082094193,101407.28082094183,5580.633008177403,11503.626695217417,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000049,completed,completed,1874198.1505790306,1840479.7749794757,-33718.37559955497,100904.12579251276,102916.98012346955,2918.5525836490274,2818.852119483664,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000050,completed,completed,2309098.2174299285,2332346.0574296084,23247.83999967994,109876.14724879694,107365.83675950028,7256.604464509676,7256.604464509676,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000051,completed,completed,2062598.9039833313,1932977.2340705122,-129621.66991281905,115666.92296239448,114284.41581241634,3018.6033646635506,1396.2509259194253,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000052,completed,completed,1773739.6461533632,2247524.9646282806,473785.31847491744,116490.31829226062,101775.7064201145,0.0,7573.8620977333,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000053,completed,completed,1901437.4781864525,1896455.7981864524,-4981.680000000168,102249.04279358484,102249.04279358484,3460.7449739942763,3460.7449739942754,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000054,completed,completed,2743967.0885134107,3352607.0985221015,608640.0100086909,96219.07106492396,89317.49155332484,11377.298664477883,21960.645513193453,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000055,completed,completed,2023126.2839932581,2379682.1687872596,356555.88479400147,102154.80222506462,100570.55815212545,2939.824528323365,8271.021886458835,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000056,completed,completed,1928589.6410331812,2271381.0938170906,342791.4527839094,104785.77509508055,100265.38290205119,1004.5342257430949,6166.939933556223,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000057,completed,completed,2600976.848755597,2380858.3660164326,-220118.4827391645,94889.50370646002,100237.09981539742,13025.770739791622,9915.636471484773,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000058,completed,completed,2359117.3438523225,2172493.4818546,-186623.86199772265,99079.94210187419,101779.32948394625,9178.917749732405,6512.717756608974,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000059,completed,completed,1834132.930825844,2212831.2094909954,378698.27866515145,115085.79645024004,99249.14674811273,1012.0214824219643,7028.300603312616,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000060,completed,completed,2225062.8827922978,2521676.157625502,296613.2748332042,101221.73756620967,93721.73756620959,6853.168262166312,11435.288831900807,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
