horizon_hours,storage_target_rate,elapsed_hours,captured_t,stored_t,vented_t,in_transit_t,in_transit_growth_t,emitter_inventory_t,vessel_inventory_t,terminal_inventory_t,loss_rate,storage_rate,annual_storage_gap_t,vessel_fuel,conditioning,reconditioning,loading,unloading,operating_cost,vent_penalty,storage_shortfall_penalty,total_cost,net,cost_per_stored_t,total_cost_per_stored_t,vessel_sailing_hours,vessel_waiting_hours,vessel_loading_hours,vessel_unloading_hours,loaded_t,unloaded_t,throttle_hours,well_switch_count,berth_wait_vessel_hours,pressure_risk_hours,min_pressure_margin_fraction,longest_venting_streak_hours,total_reward,controller,seed,wall_clock_seconds,controller_decision_calls,simulator_step_calls,simulator_simulated_hours,simulator_hour_steps,episode_operating_cost,episode_total_cost,terminal_cleanup_operating_cost,terminal_cleanup_included,evaluation_role,online_comparable,run_status,error_type,error_message,executed_action_count
720.0,0.9,720.0,134043.80710806392,114469.71188364139,6240.861480952415,26015.56657680216,13333.23374347014,12567.390219370207,11864.207519387437,1583.9688380445173,0.04655837233809045,0.8539724016593903,6169.714513616142,509791.9200000052,991296.1028016104,46932.58187229298,3869.4774345292985,3507.322500000005,1793748.4325211272,499268.9184761926,0.0,2293017.35099732,-2054666.3230846303,15.670070300731384,20.03165128368782,1228.0000000000127,629.9197406007528,158.45525939923422,143.62500000000026,126764.20751938733,114899.99999999999,245,21,22,0,0.6480808993772382,54,-2054.666323084622,greedy,9000031,1.5100473589263856,720,720,720.0,720.0,1555397.4046084378,2054666.3230846303,238351.0279126895,True,online_controller,True,completed,,,720
720.0,0.9,720.0,118765.80374023803,100608.4832397591,1844.963500955279,22444.94653335727,16312.356999523665,10169.29927090446,6586.9424761883265,5688.704786264483,0.015534467353839855,0.847116594771739,6280.74012645513,523906.68000000407,872609.8901637925,41249.47812830116,3406.191419085648,3205.125000000004,1618614.1752287955,147597.08007642228,0.0,1766211.2553052178,-1591974.444787606,16.08824746290521,17.555291546302083,1262.0000000000098,627.2663219047546,139.4836780952354,131.2500000000002,111586.94247618841,105000.00000000001,356,21,20,0,0.899237357670487,32,-1591.9744447875971,greedy,9000032,0.5683065592311323,720,720,720.0,720.0,1444377.3647111836,1591974.444787606,174236.81051761188,True,online_controller,True,completed,,,720
720.0,0.9,720.0,127077.96740974124,105135.0145055005,4789.393867697877,25021.99348348125,17153.559036542803,10744.603981752318,14277.389501728929,0.0,0.03768862506476275,0.8273268501888339,9235.156163266613,533870.0400000046,932749.1859035201,43105.35594725522,3640.942314540279,3205.125000000006,1724447.1850196442,383151.50941582996,0.0,2107598.694435474,-1899722.15858115,16.402215695033018,20.04659155989566,1286.0000000000111,593.6532631228272,149.09673687716133,131.25000000000028,119277.38950172885,104999.99999999999,309,22,33,0,0.7805838019386624,77,-1899.7221585811435,greedy,9000033,1.0298470268025994,720,720,720.0,720.0,1516570.64916532,1899722.15858115,207876.53585432417,True,online_controller,True,completed,,,720
720.0,0.9,720.0,123422.0995854394,104726.69614121088,3275.0584930897367,22486.112015815197,15420.344951138795,9944.9863028194,12193.787756275597,347.3379567202031,0.02653543007362766,0.8485246685397168,6353.193485684576,508546.50000000285,916455.4202540746,42937.94541789649,3577.340371260317,3205.125000000005,1673948.3066427277,262004.67944717887,0.0,1935952.9860899067,-1736727.0104904133,15.983969401513606,18.485763968716398,1225.0000000000068,657.2577653046483,146.4922346953447,131.25000000000023,117193.78775627555,105000.0,299,15,31,0,0.8115020510007411,63,-1736.727010490411,greedy,9000034,1.051309647038579,720,720,720.0,720.0,1474722.3310432343,1736727.0104904133,199225.9755994933,True,online_controller,True,completed,,,720
720.0,0.9,720.0,116933.45658342756,109085.56940329901,3536.5342797446087,16227.208449663642,4311.352900383919,8092.8951564421295,8134.313293221513,0.0,0.030243989898831276,0.9328858702254357,0.0,484053.24000000494,884710.3299529921,44725.083455352586,3453.4249132755917,3205.125000000004,1602086.6900732708,282922.74237956875,0.0,1885009.4324528396,-1703069.945701194,14.686513521785951,17.280098942178068,1166.0000000000118,721.3321083834608,141.41789161652713,131.2500000000002,113134.31329322145,105000.0,313,24,20,0,0.7635828140231457,87,-1703.0699457011872,greedy,9000035,1.0866180039010942,720,720,720.0,720.0,1420147.2033216252,1703069.945701194,181939.4867516455,True,online_controller,True,completed,,,720
720.0,0.9,720.0,124518.9993117014,81137.24365784733,25697.976964565867,27594.037366646575,17683.77868928836,12431.188791365501,11996.951770757942,3165.8968045231336,0.20637795924008007,0.6516053301612313,30929.855722683933,508131.36000000505,717852.1628473271,33266.2698997174,2802.1019528023844,2435.8950000000013,1477923.372397434,2055838.1571652698,0.0,3533761.529562704,-3320325.946865122,18.215104504039854,43.552891006064264,1224.0000000000123,721.5038102865402,114.74618971344738,99.75000000000007,91796.95177075797,79800.00000000001,411,17,37,0,0.6666217507878639,411,-3320.325946865121,greedy,9000036,0.9837726186960936,720,720,720.0,720.0,1264487.7896998518,3320325.946865122,213435.5826975821,True,online_controller,True,completed,,,720
720.0,0.9,720.0,121647.55872136065,113556.80536003655,4271.358815318033,19408.551328706715,3819.3945460055547,4638.199083564925,13517.951013990885,1252.4012311509066,0.03511257324203092,0.9334902118351891,0.0,495677.16000000644,985460.3769294086,46558.290197615104,3846.6979547020733,3434.0625000000045,1658777.207969235,341708.7052254426,0.0,2000485.9131946776,-1876685.2928071746,14.607466304727517,17.6166096505802,1194.0000000000155,667.8525612324956,157.5224387674887,140.62500000000023,126017.95101399091,112500.0,307,25,24,0,0.946889182218631,66,-1876.6852928071698,greedy,9000037,0.38356243213638663,720,720,720.0,720.0,1534976.587581732,1876685.2928071746,123800.62038750286,True,online_controller,True,completed,,,720
720.0,0.9,720.0,128369.72617542402,115107.19434814701,2408.9084384230837,21232.88376870491,10853.62338885395,14203.136422170388,7029.747346534523,0.0,0.018765393603248658,0.8966848943094803,425.5592097346089,532209.4800000057,934722.6242499,47193.94968274025,3648.6455377529687,3434.062500000004,1727583.29565259,192712.67507384662,0.0,1920295.9707264367,-1713921.4370442457,15.008473670441786,16.68267549740126,1282.0000000000136,587.9628158168179,149.41218418316828,140.6250000000002,119529.74734653454,112500.0,251,28,15,0,0.7238653831945316,51,-1713.9214370442392,greedy,9000038,1.3666203496977687,720,720,720.0,720.0,1521208.761970399,1713921.4370442457,206374.53368219113,True,online_controller,True,completed,,,720
720.0,0.9,720.0,125712.08383662622,89834.86331241042,9394.08788331157,36419.692358781984,26483.13264090442,21482.830192525413,13921.08039820504,1015.7817680515317,0.0747270079105522,0.7146080199351292,23306.012140553168,500658.8400000053,812662.8487139633,36832.2939580883,3172.190979155211,2747.2500000000027,1686036.6973864988,751527.0306649255,0.0,2437563.728051424,-2107600.454316138,18.768177912433888,27.13382798362517,1206.000000000013,711.5986495022305,129.90135049775643,112.50000000000014,103921.08039820504,90000.00000000001,383,17,17,0,0.6962801572089734,135,-2107.60045431613,greedy,9000039,1.1793479439802468,720,720,720.0,720.0,1356073.4236512124,2107600.454316138,329963.2737352864,True,online_controller,True,completed,,,720
720.0,0.9,720.0,128417.59580770151,97763.03502118237,13665.115766254208,23881.849506502353,16989.44502026486,8335.97560412836,13626.684223221406,1919.1896791525894,0.1064115527183439,0.7612900273228701,17812.801205748998,419291.40000000526,869010.670625592,40082.84435868473,3392.142035913834,2976.1875000000036,1523990.2178885653,1093209.2613003359,0.0,2617199.479188901,-2427962.5058205314,15.588614015086188,26.770849315611272,1010.0000000000127,889.2166447209602,138.9083552790268,121.87500000000017,111126.68422322134,97500.0,348,19,24,0,0.761913810122345,169,-2427.9625058205233,greedy,9000040,0.936006756965071,720,720,720.0,720.0,1334753.2445201958,2427962.5058205314,189236.97336836957,True,online_controller,True,completed,,,720
