seed,stage,time_limit_s,wall_time_s,status,objective_value,best_bound,relative_gap,termination_reason,warm_start_requested,warm_start_accepted,total_variables,initialized_variables,missing_variable_count,bound_violation_count,integrality_violation_count,total_constraints,evaluated_constraints,partial_constraint_count,violated_constraint_count,max_constraint_violation,top_violations
9000036,weighted,18000.0,18016.100496932864,Integer Feasible,3533761.5295618232,1566358.9254,0.5567445872347181,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000036,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243942,181266,62676,1,8.634499863546807e-06,"[{""constraint"": ""_C243738"", ""residual"": 8.634499863546807e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 8.634499863546807e-06}]"
9000037,weighted,18000.0,18018.2477489491,Integer Feasible,2000485.913197879,-194285.52,1.09711916425816,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000037,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243882,181206,62676,1,1.6435074940091e-05,"[{""constraint"": ""_C243676"", ""residual"": 1.6435074940091e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 1.6435074940091e-05}]"
9000038,weighted,18000.0,18017.102349459194,Integer Feasible,1920295.970727012,-194285.52,1.101174778764153,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000038,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243822,181146,62676,2,2.9643917514476925e-05,"[{""constraint"": ""_C243616"", ""residual"": -2.9643917514476925e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 2.9643917514476925e-05}, {""constraint"": ""_C243618"", ""residual"": 7.473529876733664e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 7.473529876733664e-06}]"
9000039,weighted,18000.0,18018.04700555699,Integer Feasible,2437563.728054356,-194285.52,1.0797047961306339,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000039,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243958,181282,62676,1,7.474587619071826e-06,"[{""constraint"": ""_C243754"", ""residual"": 7.474587619071826e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 7.474587619071826e-06}]"
9000040,weighted,18000.0,18017.588138503022,Integer Feasible,2617199.4791897736,-194285.52,1.074234127564532,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000040,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243906,181230,62676,2,1.9188599253538996e-05,"[{""constraint"": ""_C243702"", ""residual"": -1.9188599253538996e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 1.9188599253538996e-05}, {""constraint"": ""_C243700"", ""residual"": 1.506023886577168e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 1.506023886577168e-05}]"
