algorithm,model_seeds,test_episodes,mean_total_cost_eur,between_model_seed_sd_total_cost_eur,mean_unit_cost_eur_per_t,mean_vented_t,mean_stored_t,mean_delta_vs_greedy_eur,hierarchical_bootstrap_95pct_ci_low_eur,hierarchical_bootstrap_95pct_ci_high_eur,wins,ties,losses,win_rate
Centralized Maskable PPO,"0,1,2",90,2187244.0760305463,26223.97188491412,20.613276301910993,3803.4731306717445,107406.23550353199,-66967.48760602013,-168907.28762272172,36304.97801106202,48,0,42,0.5333333333333333
Event-Residual PPO,"0,1,2",90,2239849.944915161,80552.67335398943,22.01413687917144,5963.221691362042,102490.02047109675,-14361.618721405333,-117625.73341651309,95347.06457458314,47,0,43,0.5222222222222223
