controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,1,9000041,8760,8928,4428,142,314.7197050419636,25293515.28282949,299298.58011224464,25592813.862941734,2103518.9476390467,1553082.0503525338,1457307.0181731426,69515.5793066083,5713.609258077394,0.9383322779645471,16.478726192948034
iterative_q_direct,1,9000042,8760,8928,4278,145,298.5275510638021,25895907.555493087,244518.62058032898,26140426.176073417,2148528.1788553493,1611198.686804746,1525233.2456377668,67741.37749781329,5567.784451875064,0.9466450401983247,16.224210204586182
iterative_q_direct,1,9000043,8760,8928,4096,142,263.59791790507734,25589895.275001995,350255.6774830079,25940150.952485003,2132067.20157411,1582146.5991907665,1491621.7343707902,67282.38409865025,5530.058967012349,0.9427835164792708,16.395541959103426
iterative_q_direct,1,9000044,8760,8928,4255,141,249.08656128076836,25592678.387062646,199400.3527600515,25792078.739822697,2119896.882725153,1586694.8664958721,1508831.6113820856,66192.50621995336,5440.479963283838,0.9509273920538085,16.255222906709893
iterative_q_direct,1,9000045,8760,8928,4120,139,287.4567631529644,27943539.537808254,235106.43801648633,28178645.97582474,2316053.0939034033,1589822.8039933285,1479063.4210802855,97712.60267763675,8031.17282281946,0.9303322466913692,17.72439413061972
