method,mean_delta_cost_vs_state_only_eur,ci95_low_eur,ci95_high_eur
structured_summary_168,-3984.2628322487644,-76368.15006282456,49290.419519666335
full_sequence_168,218451.44567488076,120524.34990859957,340734.26257902774
