"seed","representative_case","planning_horizon_h","execution_h","time_limit_s","threads","greedy_first_incumbent_time_s","greedy_first_incumbent_objective","greedy_final_status","greedy_final_incumbent","greedy_final_best_bound","greedy_final_gap","greedy_improvement_from_start_percent","none_first_incumbent_time_s","none_first_incumbent_objective","none_final_status","none_final_incumbent","none_final_best_bound","none_final_gap","none_termination_reason","ablation_conclusion"
"9000042","best_vs_greedy","168","24","300","4","0","483679.782859922","Integer Feasible","482434.362859798","414707.67908","0.140385281384859","0.257488537718013",,,"No Integer Solution",,"412465.90323",,"Time limit exceeded, no integer solution.","No warm start found no integer feasible solution within 300 s"
"9000034","typical_vs_greedy","168","24","300","4","0","516698.297068164","Integer Feasible","516283.157069561","464576.965","0.100150840409063","0.0803447584323976",,,"No Integer Solution",,"442346.63597",,"Time limit exceeded, no integer solution.","No warm start found no integer feasible solution within 300 s"
"9000047","worst_vs_greedy","168","24","300","4","0","536759.398868244","Integer Feasible","532607.998867224","431672.94473","0.18951096181788","0.773419153865473",,,"No Integer Solution",,"437536.1704",,"Time limit exceeded, no integer solution.","No warm start found no integer feasible solution within 300 s"
