controller,seed,evaluation_role,online_comparable,run_status,error_type,error_message,wall_clock_seconds,controller_decision_calls,simulator_step_calls,simulator_simulated_hours,simulator_hour_steps,solver_status,solver_is_valid,solver_validation_error,solver_incumbent_objective,solver_augmented_objective,solver_best_bound,solver_relative_gap,solver_termination_reason,solver_warm_start_accepted,solver_solve_wall_seconds,solver_time_limit_seconds,solver_threads,solver_executable,warm_start_mode,fallback_used,replay_is_executable,replay_is_exact,replay_mismatches,planning_horizon_hours,evaluation_horizon_hours,episode_operating_cost,episode_total_cost,terminal_cleanup_operating_cost,solver_terminal_cleanup_operating_cost,operating_cost,total_cost,replay_minus_solver_objective,cost_per_stored_t,total_cost_per_stored_t,vessel_fuel,conditioning,reconditioning,loading,unloading,vent_penalty,storage_shortfall_penalty,stored_t,vented_t,captured_t,in_transit_t,vessel_sailing_hours,vessel_loading_hours,vessel_unloading_hours,vessel_waiting_hours,loaded_t,unloaded_t,executed_action_count
full_milp,9000031,offline_reference,False,completed,,,7318.544977969024,1,3599,3599.0,3599.0,Integer Feasible,True,,2293017.351005838,2293017.351005838,-194285.52,1.0847291974981246,"Time limit exceeded, integer feasible",True,7220.581886320841,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1555397.4046084378,2054666.3230846303,238351.0279126895,238351.02791936113,1793748.4325211272,2293017.35099732,-8.517876267433167e-06,15.670070300731384,20.03165128368782,509791.9200000052,991296.1028016104,46932.58187229298,3869.4774345292985,3507.322500000005,499268.9184761926,0.0,114469.71188364139,6240.861480952415,134043.80710806392,26015.56657680216,1228.0000000000127,158.45525939923422,143.62500000000026,629.9197406007528,126764.20751938733,114899.99999999999,720
full_milp,9000032,offline_reference,False,completed,,,7308.134295991156,1,3599,3599.0,3599.0,Integer Feasible,True,,1766211.2553043147,1766211.2553043147,1470600.9897,0.16736971000299825,"Time limit exceeded, integer feasible",True,7215.175336968154,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1444377.3647111836,1591974.444787606,174236.81051761188,174236.81051672326,1618614.1752287955,1766211.2553052178,9.031500667333603e-07,16.08824746290521,17.555291546302083,523906.68000000407,872609.8901637925,41249.47812830116,3406.191419085648,3205.125000000004,147597.08007642228,0.0,100608.4832397591,1844.963500955279,118765.80374023803,22444.94653335727,1262.0000000000098,139.4836780952354,131.2500000000002,627.2663219047546,111586.94247618841,105000.00000000001,720
full_milp,9000033,offline_reference,False,completed,,,7305.076617244165,1,3599,3599.0,3599.0,Integer Feasible,True,,2107598.694434059,2107598.694434059,-194285.52,1.0921833556421756,"Time limit exceeded, integer feasible",True,7216.407496432774,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1516570.64916532,1899722.15858115,207876.53585432417,207876.53585318424,1724447.1850196442,2107598.694435474,1.4151446521282196e-06,16.402215695033018,20.04659155989566,533870.0400000046,932749.1859035201,43105.35594725522,3640.942314540279,3205.125000000006,383151.50941582996,0.0,105135.0145055005,4789.393867697877,127077.96740974124,25021.99348348125,1286.0000000000111,149.09673687716133,131.25000000000028,593.6532631228272,119277.38950172885,104999.99999999999,720
full_milp,9000034,offline_reference,False,completed,,,7305.688806816004,1,3599,3599.0,3599.0,Integer Feasible,True,,1935952.9860898699,1935952.9860898699,-194285.52,1.1003565279714809,"Time limit exceeded, integer feasible",True,7216.266491367947,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1474722.3310432343,1736727.0104904133,199225.9755994933,199225.97559961185,1673948.3066427277,1935952.9860899067,3.67872416973114e-08,15.983969401513606,18.485763968716398,508546.50000000285,916455.4202540746,42937.94541789649,3577.340371260317,3205.125000000005,262004.67944717887,0.0,104726.69614121088,3275.0584930897367,123422.0995854394,22486.112015815197,1225.0000000000068,146.4922346953447,131.25000000000023,657.2577653046483,117193.78775627555,105000.0,720
full_milp,9000035,offline_reference,False,completed,,,7305.108152256347,1,3599,3599.0,3599.0,Integer Feasible,True,,1885009.432451665,1885009.432451665,-194076.50992,1.1029578455040312,"Time limit exceeded, integer feasible",True,7215.715412632097,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1420147.2033216252,1703069.945701194,181939.4867516455,181939.48675031215,1602086.6900732708,1885009.4324528396,1.1746305972337723e-06,14.686513521785951,17.280098942178068,484053.24000000494,884710.3299529921,44725.083455352586,3453.4249132755917,3205.125000000004,282922.74237956875,0.0,109085.56940329901,3536.5342797446087,116933.45658342756,16227.208449663642,1166.0000000000118,141.41789161652713,131.2500000000002,721.3321083834608,113134.31329322145,105000.0,720
full_milp,9000036,offline_reference,False,completed,,,7305.712829510681,1,3599,3599.0,3599.0,Integer Feasible,True,,3533761.5295618232,3533761.5295618232,-194055.71516,1.0549147738285731,"Time limit exceeded, integer feasible",True,7216.127507776022,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1264487.7896998518,3320325.946865122,213435.5826975821,213435.58269731703,1477923.372397434,3533761.529562704,8.805654942989349e-07,18.215104504039854,43.552891006064264,508131.36000000505,717852.1628473271,33266.2698997174,2802.1019528023844,2435.8950000000013,2055838.1571652698,0.0,81137.24365784733,25697.976964565867,124518.9993117014,27594.037366646575,1224.0000000000123,114.74618971344738,99.75000000000007,721.5038102865402,91796.95177075797,79800.00000000001,720
full_milp,9000037,offline_reference,False,completed,,,7300.8342644823715,1,3599,3599.0,3599.0,Integer Feasible,True,,2000485.913197879,2000485.913197879,-194285.52,1.09711916425816,"Time limit exceeded, integer feasible",True,7216.865227196831,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1534976.587581732,1876685.2928071746,123800.62038750286,123800.62038701019,1658777.207969235,2000485.9131946776,-3.2014213502407074e-06,14.607466304727517,17.6166096505802,495677.16000000644,985460.3769294086,46558.290197615104,3846.6979547020733,3434.0625000000045,341708.7052254426,0.0,113556.80536003655,4271.358815318033,121647.55872136065,19408.551328706715,1194.0000000000155,157.5224387674887,140.62500000000023,667.8525612324956,126017.95101399091,112500.0,720
full_milp,9000038,offline_reference,False,completed,,,7304.339634810109,1,3599,3599.0,3599.0,Integer Feasible,True,,1920295.970727012,1920295.970727012,-194285.52,1.101174778764153,"Time limit exceeded, integer feasible",True,7215.636847541202,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1521208.761970399,1713921.4370442457,206374.53368219113,206374.53368284515,1727583.29565259,1920295.9707264367,-5.753245204687119e-07,15.008473670441786,16.68267549740126,532209.4800000057,934722.6242499,47193.94968274025,3648.6455377529687,3434.062500000004,192712.67507384662,0.0,115107.19434814701,2408.9084384230837,128369.72617542402,21232.88376870491,1282.0000000000136,149.41218418316828,140.6250000000002,587.9628158168179,119529.74734653454,112500.0,720
full_milp,9000039,offline_reference,False,completed,,,7310.595143636223,1,3599,3599.0,3599.0,Integer Feasible,True,,2437563.728054356,2437563.728054356,-194285.52,1.0797047961306339,"Time limit exceeded, integer feasible",True,7217.663687989116,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1356073.4236512124,2107600.454316138,329963.2737352864,329963.2737350314,1686036.6973864988,2437563.728051424,-2.9318034648895264e-06,18.768177912433888,27.13382798362517,500658.8400000053,812662.8487139633,36832.2939580883,3172.190979155211,2747.2500000000027,751527.0306649255,0.0,89834.86331241042,9394.08788331157,125712.08383662622,36419.692358781984,1206.000000000013,129.90135049775643,112.50000000000014,711.5986495022305,103921.08039820504,90000.00000000001,720
full_milp,9000040,offline_reference,False,completed,,,7312.2564329369925,1,3599,3599.0,3599.0,Integer Feasible,True,,2617199.4791897736,2617199.4791897736,-194285.52,1.074234127564532,"Time limit exceeded, integer feasible",True,7218.23770992877,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1334753.2445201958,2427962.5058205314,189236.97336836957,189236.97336851349,1523990.2178885653,2617199.479188901,-8.726492524147034e-07,15.588614015086188,26.770849315611272,419291.40000000526,869010.670625592,40082.84435868473,3392.142035913834,2976.1875000000036,1093209.2613003359,0.0,97763.03502118237,13665.115766254208,128417.59580770151,23881.849506502353,1010.0000000000127,138.9083552790268,121.87500000000017,889.2166447209602,111126.68422322134,97500.0,720
full_milp,9000041,offline_reference,False,completed,,,7312.7259627990425,1,3599,3599.0,3599.0,Integer Feasible,True,,2085510.1991774477,2085510.1991774477,-194285.52,1.093159707431126,"Time limit exceeded, integer feasible",True,7218.2465325309895,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1529447.0271625181,1849507.7614168185,236002.43776164885,236002.4377606787,1765449.464924167,2085510.1991784673,1.019565388560295e-06,16.690058160296584,19.71582150026336,548399.9400000061,930839.2864190845,43369.18863115846,3633.487112268872,3205.1250000000036,320060.7342543004,0.0,105778.5088564841,4000.7591781787564,125444.62651394652,25429.161118556698,1321.0000000000148,148.79144603885638,131.25000000000017,558.9585539611287,119033.15683108504,105000.0,720
full_milp,9000042,offline_reference,False,completed,,,7307.249700570945,1,3599,3599.0,3599.0,Integer Feasible,True,,2713194.1225553956,2713194.1225553956,-194285.52,1.071607673916459,"Time limit exceeded, integer feasible",True,7217.139794141054,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1238105.842461059,2463651.9595432403,249542.1630100177,249542.16301196095,1487648.0054710768,2713194.122553258,-2.137385308742523e-06,17.587796557462145,32.076879794732115,435481.8600000025,762450.0,34679.482461056614,2976.187500000002,2518.312500000003,1225546.1170821812,0.0,84584.10356355288,15319.326463527254,122590.33961068436,30180.804362768733,1049.0000000000061,121.8750000000001,103.12500000000016,885.9999999999936,97499.99999999999,82500.00000000001,720
full_milp,9000043,offline_reference,False,completed,,,7303.30358635867,1,3599,3599.0,3599.0,Integer Feasible,True,,2311477.995910213,2311477.995910213,-194285.52,1.0840525068132842,"Time limit exceeded, integer feasible",True,7216.705264822114,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1417339.447069313,2065392.4405893614,246085.5553208533,246085.55532084865,1663425.0023901663,2311477.9959102147,1.862645149230957e-09,17.180854600421306,23.874335965097917,539266.8600000045,832152.5362256246,39695.59529147315,3248.26805221064,2976.187500000004,648052.9935200483,0.0,96818.52510115394,8100.662419000601,122999.51700733569,27703.718947908965,1299.000000000011,133.01670975473547,121.8750000000002,606.1082902452533,106413.3678037884,97500.0,720
full_milp,9000044,offline_reference,False,completed,,,7304.165192204993,1,3599,3599.0,3599.0,Integer Feasible,True,,1749991.6922295857,1749991.6922295857,-194285.52,1.111020824191725,"Time limit exceeded, integer feasible",True,7216.344186439179,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1554534.6126225337,1554534.6126225337,195457.0796065558,195457.07960699702,1749991.6922290896,1749991.6922290896,-4.961621016263962e-07,15.121163789479587,15.121163789479587,521830.9800000049,978002.1587654875,47449.82620405974,3817.5851529816537,3434.062500000005,0.0,0.0,115731.28342453578,0.0,129859.10158151455,23904.743190000743,1257.0000000000118,156.3302683448671,140.62500000000023,606.0447316551208,125064.2146758935,112500.00000000001,720
full_milp,9000045,offline_reference,False,completed,,,7305.743513453752,1,3599,3599.0,3599.0,Integer Feasible,True,,2356429.904399175,2356429.904399175,-194285.52,1.0824490979499504,"Time limit exceeded, integer feasible",True,7215.874449620023,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1405778.9992351749,2088583.3165083542,267846.58787807595,267846.5878915654,1673625.5871132507,2356429.90438643,-1.2745149433612823e-05,16.81326000443552,23.67271925676841,469523.34000000684,888826.8168529716,40812.22145707662,3469.493425119818,3147.1275000000046,682804.3172731792,0.0,99542.0035538456,8535.053965914734,125440.6630420947,25981.151942375793,1131.0000000000166,142.0758978345544,128.87500000000023,758.0491021654287,113660.71826764355,103100.00000000003,720
full_milp,9000046,offline_reference,False,completed,,,7304.060490746051,1,3599,3599.0,3599.0,Integer Feasible,True,,1951286.679854479,1951286.679854479,-193930.71913,1.0993860723450757,"Time limit exceeded, integer feasible",True,7215.53180941334,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1592545.9797126653,1759162.1066054378,192124.57324540615,192124.57324546736,1784670.5529580715,1951286.679850844,-3.6349520087242126e-06,14.338893199375748,15.677566516335682,510207.06000000477,1023650.0659546552,51030.084159122234,3995.7695988831024,3663.000000000005,166616.12689277253,0.0,124463.61990029803,2082.7015861596574,132406.07380064274,20526.489262395968,1229.0000000000116,163.6269287011918,150.00000000000023,617.3730712987964,130901.54296095332,120000.0,720
full_milp,9000047,offline_reference,False,completed,,,7308.941206883173,1,3599,3599.0,3599.0,Integer Feasible,True,,1831302.291208976,1831302.291208976,1638151.8106,0.10547165344366129,"Time limit exceeded, integer feasible",True,7215.547464052215,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1610319.2993284855,1645514.6027695595,185787.68843777254,185787.68843920907,1796106.987766258,1831302.291207332,-1.6440171748399734e-06,15.47799720317612,15.781293616995745,550475.6400000058,1004909.5154191663,47577.4646627442,3922.616746569061,3434.062500000005,35195.30344107398,0.0,116042.59673840055,439.94129301342485,128277.74695956499,24544.461570605778,1326.000000000014,160.6313164033195,140.62500000000023,532.7436835966662,128505.05312265549,112500.0,720
full_milp,9000048,offline_reference,False,completed,,,7308.349408753682,1,3599,3599.0,3599.0,Integer Feasible,True,,2588329.138370781,2588329.138370781,-193718.79635,1.074843184925058,"Time limit exceeded, integer feasible",True,7216.784680403769,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1423829.535136592,2344119.6707539856,244209.46761415785,244209.46761438926,1668039.00275075,2588329.1383681437,-2.637505531311035e-06,16.448907704132814,25.524095680451598,496092.3000000053,879750.0000000005,41576.985136586154,3434.0625000000036,2976.1875000000036,920290.1356173938,0.0,101407.28082094183,11503.626695217417,131010.22127700872,29137.050508005894,1195.0000000000127,140.62500000000017,121.87500000000017,702.4999999999868,112499.99999999999,97500.0,720
full_milp,9000049,offline_reference,False,completed,,,7307.482336072717,1,3599,3599.0,3599.0,Integer Feasible,True,,1840479.7749805038,1840479.7749805038,-194285.52,1.105562431405723,"Time limit exceeded, integer feasible",True,7216.336819032673,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1461765.7224979086,1687273.8920566018,153205.8829228738,153205.88292388324,1614971.6054207825,1840479.7749794757,-1.0281801223754883e-06,15.691983999951226,17.88314982397901,476995.8600000061,935846.9986671886,42195.961850622494,3653.0344800915527,3073.867500000004,225508.1695586931,0.0,102916.98012346955,2818.852119483664,124881.7699196395,25442.609954559626,1149.0000000000148,149.59191155166067,125.87500000000018,735.5330884483243,119673.52924132848,100700.0,720
full_milp,9000050,offline_reference,False,completed,,,7310.867441223003,1,3599,3599.0,3599.0,Integer Feasible,True,,2332346.057429111,2332346.057429111,-194285.52,1.0833004688052836,"Time limit exceeded, integer feasible",True,7217.262717579026,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1460840.6262568932,2041368.9834176674,290977.074011941,290977.0740098918,1751817.7002688341,2332346.0574296084,4.973262548446655e-07,16.316341893678057,21.723353795063034,485713.8000000049,924220.7960372785,44019.99307139512,3607.652148214576,3278.385000000004,580528.3571607744,0.0,107365.83675950028,7256.604464509676,132171.66508378548,27237.459285825265,1170.0000000000118,147.73350320289012,134.2500000000002,708.0164967970978,118186.80256231183,107400.00000000001,720
full_milp,9000051,offline_reference,False,completed,,,7309.975458153058,1,3599,3599.0,3599.0,Integer Feasible,True,,1932977.2340721246,1932977.2340721246,1655403.5125,0.14359906401348108,"Time limit exceeded, integer feasible",True,7215.717706265859,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1589935.041555574,1701635.115629128,231342.11844138431,231342.11844034545,1821277.1599969582,1932977.2340705122,-1.6123522073030472e-06,15.936356213137216,16.913742965998566,547154.5200000071,988413.1763783398,46856.61048309065,3858.224067640521,3652.5106264958554,111700.07407355397,0.0,114284.41581241634,1396.2509259194253,128981.17360926494,26858.44853392846,1318.0000000000173,157.9944335643129,149.57045972546504,534.4351067102048,126395.54685145016,119656.36778037187,720
full_milp,9000052,offline_reference,False,completed,,,7309.153073270805,1,3599,3599.0,3599.0,Integer Feasible,True,,2247524.964631711,2247524.964631711,-193852.07307,1.0862513547660484,"Time limit exceeded, integer feasible",True,7217.5009399852715,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1416344.7462540437,2022253.714072708,225271.25055557245,225271.25055540178,1641615.9968096162,2247524.9646282806,-3.430526703596115e-06,16.129743084595034,22.08311829692287,455408.58000000555,912620.7272930671,41728.03963224693,3562.3718287238994,3025.027500000004,605908.9678186643,0.0,101775.7064201145,7573.8620977333,130292.35070980627,32349.198951539212,1097.0000000000134,145.87927226551597,123.87500000000018,793.2457277344704,116703.41781241255,99100.00000000003,720
full_milp,9000053,offline_reference,False,completed,,,7312.837042015977,1,3599,3599.0,3599.0,Integer Feasible,True,,1896455.7981853208,1896455.7981853208,-194285.52,1.1024466376626905,"Time limit exceeded, integer feasible",True,7217.0227863802575,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1398114.967093155,1674974.565012697,221481.23317375555,221481.2331725844,1619596.2002669105,1896455.7981864524,1.1315569281578064e-06,15.839719923212082,18.547418600435417,474089.8800000057,875513.9049443998,41922.10754536975,3417.527103379516,3171.547500000004,276859.5979195419,0.0,102249.04279358484,3460.7449739942754,119353.23535741051,23901.52480155495,1142.0000000000139,139.94787483126603,129.8750000000002,748.1771251687198,111958.29986501268,103900.0,720
full_milp,9000054,offline_reference,False,completed,,,7309.584075070918,1,3599,3599.0,3599.0,Integer Feasible,True,,3352607.098522702,3352607.098522702,-194285.52,1.057950578248674,"Time limit exceeded, integer feasible",True,7216.005551699083,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1326765.6054644748,3083617.246519951,268989.85200215015,268989.85200295836,1595755.457466625,3352607.0985221015,-6.007030606269836e-07,17.866102481325484,37.535840295296566,462881.1000000046,821100.0000000002,36620.17153686314,3205.1250000000014,2959.20892760699,1756851.6410554764,0.0,89317.49155332484,21960.645513193453,132093.20107071442,33998.191415089634,1115.0000000000111,131.25000000000009,121.17972676523304,792.5702732347557,105000.00000000003,96943.78141218633,720
full_milp,9000055,offline_reference,False,completed,,,7307.306919645984,1,3599,3599.0,3599.0,Integer Feasible,True,,2379682.168790795,2379682.168790795,-194285.52,1.0816434743042698,"Time limit exceeded, integer feasible",True,7216.740863204002,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1490470.5388423766,2152152.2897590837,227529.87902817575,227529.8790278779,1718000.4178705523,2379682.1687872596,-3.5353004932403564e-06,17.082538363482715,23.661817260551494,562929.8400000044,879750.0000000008,41233.92884237136,3434.0625000000045,3122.707500000005,661681.750916707,0.0,100570.55815212545,8271.021886458835,124998.78160566899,27806.323465008256,1356.0000000000107,140.62500000000023,127.87500000000023,535.4999999999889,112499.99999999999,102300.0,720
full_milp,9000056,offline_reference,False,completed,,,7306.213831957895,1,3599,3599.0,3599.0,Integer Feasible,True,,2271381.0938156573,2271381.0938156573,-194285.52,1.0855362935480029,"Time limit exceeded, integer feasible",True,7216.174580056686,7200.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,True,,,720,720,1545106.2080145902,2038461.402699088,232919.69111800278,232919.69111651424,1778025.899132593,2271381.0938170906,1.4333054423332214e-06,17.73319811554042,22.653691913150052,592404.780000005,905083.4829726038,41108.806989840996,3532.950552140504,2976.187500000004,493355.19468449784,0.0,100265.38290205119,6166.939933556223,126854.31280836993,31994.446679403984,1427.0000000000123,144.67446978462345,121.8750000000002,466.4505302153641,115739.57582769862,97499.99999999999,720
