horizon_hours,storage_target_rate,elapsed_hours,captured_t,stored_t,vented_t,in_transit_t,in_transit_growth_t,emitter_inventory_t,vessel_inventory_t,terminal_inventory_t,loss_rate,storage_rate,annual_storage_gap_t,vessel_fuel,conditioning,reconditioning,loading,unloading,operating_cost,vent_penalty,storage_shortfall_penalty,total_cost,net,cost_per_stored_t,total_cost_per_stored_t,vessel_sailing_hours,vessel_waiting_hours,vessel_loading_hours,vessel_unloading_hours,loaded_t,unloaded_t,throttle_hours,well_switch_count,berth_wait_vessel_hours,pressure_risk_hours,min_pressure_margin_fraction,longest_venting_streak_hours,total_reward,controller,seed,wall_clock_seconds,controller_decision_calls,simulator_step_calls,simulator_simulated_hours,simulator_hour_steps,episode_operating_cost,episode_total_cost,terminal_cleanup_operating_cost,terminal_cleanup_included,evaluation_role,online_comparable,run_status,error_type,error_message,solver_replan_count,solver_status_counts,solver_failure_count,solver_timeout_count,solver_solve_wall_seconds,solver_time_limit_seconds_per_replan,solver_threads,solver_executable,warm_start_mode,shifted_warm_start,fallback_used,executed_action_count
720.0,0.9,720.0,134043.80710806392,114469.71188364139,6240.861480952419,26015.56657680216,13333.23374347014,12567.390219370207,11864.207519387437,1583.9688380445173,0.04655837233809047,0.8539724016593903,6169.714513616142,510207.0600000053,991296.1028016103,46932.58187229298,3869.477434529299,3507.322500000005,1794163.5725211273,499268.9184761928,0.0,2293432.49099732,-2055081.4630846304,15.67369693692334,20.03527791987978,1229.0000000000127,628.9197406007528,158.45525939923422,143.62500000000026,126764.20751938733,114899.99999999999,245,21,18,0,0.6480808993772382,54,-2055.0814630846226,rolling_milp,9000031,5962.379583961796,720,41730,41730.0,41730.0,1555812.5446084377,2055081.4630846304,238351.0279126895,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 17, ""Optimal"": 13}",0,17,5636.253952038474,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,118765.80374023803,92181.08126023502,6193.493365992055,26523.81864784454,20391.229114010934,6306.923670675589,16100.0,4116.89497716895,0.05214879343163735,0.7761584425585286,14708.142105979205,516019.02000000665,868808.1638129952,37794.243316696324,3391.3515601523895,2899.8990601523915,1623659.1566906818,495479.4692793641,0.0,2119138.625970046,-1924392.1470293673,17.613800299293022,22.988867097225057,1243.0000000000161,659.3730294715325,138.87598526422565,118.75098526422572,111100.7882113805,95000.78821138044,386,21,21,0,0.8993216316902817,133,-1924.392147029358,rolling_milp,9000032,7475.791796146892,720,41730,41730.0,41730.0,1428912.677750003,1924392.1470293673,194746.47894067873,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 24, ""Optimal"": 6}",0,24,7313.295128054451,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,127077.96740974124,105135.0145055005,4789.393867697877,25021.993483481245,17153.5590365428,10744.603981752318,14277.389501728929,0.0,0.03768862506476275,0.8273268501888339,9235.156163266613,533870.0400000045,932749.1859035201,43105.35594725522,3640.942314540279,3205.125000000006,1736901.3850190337,383151.50941582996,0.0,2120052.8944348637,-1899722.15858115,16.52067480266683,20.165050667529474,1286.0000000000107,593.6532631228276,149.09673687716133,131.25000000000028,119277.38950172885,104999.99999999999,309,22,33,0,0.7805838019386624,77,-1899.7221585811435,rolling_milp,9000033,6560.727924305946,720,41730,41730.0,41730.0,1516570.64916532,1899722.15858115,220330.73585371373,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 20, ""Optimal"": 10}",0,20,6308.931854198687,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,123422.0995854394,104726.69614121088,3275.0584930897367,22486.112015815197,15420.344951138795,9944.9863028194,12193.787756275597,347.3379567202031,0.02653543007362766,0.8485246685397168,6353.193485684576,508546.50000000285,916455.4202540746,42937.94541789649,3577.340371260317,3205.125000000005,1673948.3066427277,262004.67944717887,0.0,1935952.9860899067,-1736727.0104904133,15.983969401513606,18.485763968716398,1225.0000000000068,657.2577653046483,146.4922346953447,131.25000000000023,117193.78775627555,105000.0,299,15,31,0,0.8115020510007411,63,-1736.727010490411,rolling_milp,9000034,6412.772568174172,720,41730,41730.0,41730.0,1474722.3310432343,1736727.0104904133,199225.9755994933,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 20, ""Optimal"": 10}",0,20,6160.875976843759,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,116933.45658342756,103642.9856378551,6117.872482783793,19088.454012068287,7172.598462788565,10457.797765699608,3188.0724809248577,5442.583765443823,0.05231926483263517,0.8863415883366946,1597.1252872297046,459144.84000000596,846030.7268008332,42493.624111520636,3302.440912480233,3205.1250000000036,1540831.2459646822,489429.7986227033,0.0,2030261.0445873856,-1843606.5554475435,14.866719985745963,19.588986481742594,1106.0000000000143,787.5149093988293,135.23509060115617,131.25000000000017,108188.0724809249,104999.99999999999,336,23,34,0,0.7636372398608,80,-1843.6065554475372,rolling_milp,9000035,6708.2900260319,720,41730,41730.0,41730.0,1354176.75682484,1843606.5554475435,186654.48913984216,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 21, ""Optimal"": 9}",0,21,6447.126245032996,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,124518.9993117014,81137.13133870196,25697.976964565867,27594.1496857919,17683.891008433686,12431.188791365501,11996.951770757942,3166.0091236684593,0.20637795924008007,0.6516044281370745,30929.9680418293,507716.2200000051,717852.1628473271,33266.22384886777,2802.1019528023844,2435.895000000002,1477508.232397434,2055838.1571652698,0.0,3533346.3895627037,-3319910.760814272,18.210013196420107,43.547834773859165,1223.0000000000123,722.5038102865402,114.74618971344738,99.7500000000001,91796.95177075797,79799.99999999999,411,17,33,0,0.6666217519110558,411,-3319.9107608142704,rolling_milp,9000036,6689.465946829878,720,41730,41730.0,41730.0,1264072.6036490023,3319910.760814272,213435.6287484317,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 20, ""Optimal"": 10}",0,20,6442.670229183044,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,121647.55872136065,113556.80536003655,4271.358815318032,19408.551328706715,3819.3945460055547,4638.199083564925,13517.951013990885,1252.4012311509066,0.03511257324203091,0.9334902118351891,0.0,495677.16000000644,985460.3769294086,46558.290197615104,3846.6979547020733,3434.0625000000045,1658777.207969235,341708.70522544254,0.0,2000485.9131946776,-1876685.2928071746,14.607466304727517,17.6166096505802,1194.0000000000155,667.8525612324956,157.5224387674887,140.62500000000023,126017.95101399091,112500.0,307,25,19,0,0.946889182218631,74,-1876.685292807169,rolling_milp,9000037,8231.327367382124,720,41730,41730.0,41730.0,1534976.587581732,1876685.2928071746,123800.62038750286,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 25, ""Optimal"": 5}",0,25,8090.291110686958,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,128369.72617542402,115107.19434814701,2408.9084384230837,21232.88376870491,10853.62338885395,14203.136422170388,7029.747346534523,0.0,0.018765393603248658,0.8966848943094803,425.5592097346089,532209.4800000057,934722.6242499,47193.94968274025,3648.6455377529687,3434.062500000004,1727583.29565259,192712.67507384662,0.0,1920295.9707264367,-1713921.4370442457,15.008473670441786,16.68267549740126,1282.0000000000136,587.9628158168179,149.41218418316828,140.6250000000002,119529.74734653454,112500.0,251,28,15,0,0.7238653831945316,51,-1713.9214370442392,rolling_milp,9000038,6407.327745250892,720,41730,41730.0,41730.0,1521208.761970399,1713921.4370442457,206374.53368219113,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 20, ""Optimal"": 10}",0,20,6104.5349017358385,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,125712.08383662622,89834.39317069865,9394.087883311568,36420.16250049371,26483.602782616144,21482.830192525413,13921.080398205042,1016.2519097632555,0.07472700791055219,0.71460428010601,23306.482282264944,500658.8400000052,812662.8487139635,36832.10119998648,3172.190979155212,2747.2500000000027,1686036.6973864986,751527.0306649255,0.0,2437563.728051424,-2107600.261558036,18.76827613431728,27.133969986525006,1206.0000000000125,711.598649502231,129.90135049775645,112.50000000000014,103921.08039820504,89999.99999999999,383,17,17,0,0.6962801619103902,130,-2107.6002615580296,rolling_milp,9000039,6074.552704548929,720,41730,41730.0,41730.0,1356073.2308931104,2107600.261558036,329963.46649338823,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 18, ""Optimal"": 12}",0,18,5792.858156148344,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,128417.59580770151,97016.1651903855,13665.115766254208,24628.71933729921,17736.314851061717,7448.233830280256,14514.425997069506,2666.05950994945,0.1064115527183439,0.7554740811038233,18559.67103654587,407252.34000000486,875952.8112970844,39776.62772805803,3419.2403535605463,2976.1875000000036,1521499.377888072,1093209.2613003359,0.0,2614708.639188408,-2422586.4681790434,15.682947010967363,26.951267699122898,981.0000000000117,917.106967503651,140.0180324963369,121.87500000000017,112014.42599706945,97500.0,351,19,24,0,0.7619212788206527,169,-2422.5864681790367,rolling_milp,9000040,6946.147263800725,720,41730,41730.0,41730.0,1329377.2068787077,2422586.4681790434,192122.17100936433,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 22, ""Optimal"": 8}",0,22,6697.016259319615,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
