"JobID","ArrayJobID","ArrayTaskID","JobName","State","ExitCode","ElapsedRaw","Elapsed","MaxRSS","AllocCPUS","ReqMem","QOS","Start","End"
"33520_3","33520","3","full_milp_formal","COMPLETED","0:0","7308","02:01:48","4361512K","4","64G","intermediate","2026-07-29T02:13:50","2026-07-29T04:15:38"
"33520_4","33520","4","full_milp_formal","COMPLETED","0:0","7306","02:01:46","4231768K","4","64G","intermediate","2026-07-29T02:13:50","2026-07-29T04:15:36"
"33520_5","33520","5","full_milp_formal","COMPLETED","0:0","7307","02:01:47","4182200K","4","64G","intermediate","2026-07-29T02:13:50","2026-07-29T04:15:37"
"33520_6","33520","6","full_milp_formal","COMPLETED","0:0","7302","02:01:42","4344668K","4","64G","intermediate","2026-07-29T02:13:50","2026-07-29T04:15:32"
"33520_7","33520","7","full_milp_formal","COMPLETED","0:0","7307","02:01:47","4377132K","4","64G","intermediate","2026-07-29T02:13:50","2026-07-29T04:15:37"
"33520_8","33520","8","full_milp_formal","COMPLETED","0:0","7313","02:01:53","4197904K","4","64G","intermediate","2026-07-29T04:15:32","2026-07-29T06:17:25"
"33520_9","33520","9","full_milp_formal","COMPLETED","0:0","7315","02:01:55","4154256K","4","64G","intermediate","2026-07-29T04:15:36","2026-07-29T06:17:31"
"33520_10","33520","10","full_milp_formal","COMPLETED","0:0","7315","02:01:55","4165200K","4","64G","intermediate","2026-07-29T04:15:37","2026-07-29T06:17:32"
"33520_11","33520","11","full_milp_formal","COMPLETED","0:0","7310","02:01:50","4411700K","4","64G","intermediate","2026-07-29T04:15:37","2026-07-29T06:17:27"
"33520_12","33520","12","full_milp_formal","COMPLETED","0:0","7306","02:01:46","4237888K","4","64G","intermediate","2026-07-29T04:15:37","2026-07-29T06:17:23"
"33520_13","33520","13","full_milp_formal","COMPLETED","0:0","7307","02:01:47","4281092K","4","64G","intermediate","2026-07-29T04:15:38","2026-07-29T06:17:25"
"33520_14","33520","14","full_milp_formal","COMPLETED","0:0","7309","02:01:49","4147420K","4","64G","intermediate","2026-07-29T04:15:39","2026-07-29T06:17:28"
"33520_15","33520","15","full_milp_formal","COMPLETED","0:0","7307","02:01:47","4348716K","4","64G","intermediate","2026-07-29T04:15:51","2026-07-29T06:17:38"
"33520_16","33520","16","full_milp_formal","COMPLETED","0:0","7312","02:01:52","4325416K","4","64G","intermediate","2026-07-29T06:17:23","2026-07-29T08:19:15"
"33520_17","33520","17","full_milp_formal","COMPLETED","0:0","7311","02:01:51","4168028K","4","64G","intermediate","2026-07-29T06:17:25","2026-07-29T08:19:16"
"33520_18","33520","18","full_milp_formal","COMPLETED","0:0","7310","02:01:50","4157220K","4","64G","intermediate","2026-07-29T06:17:25","2026-07-29T08:19:15"
"33520_19","33520","19","full_milp_formal","COMPLETED","0:0","7313","02:01:53","4202168K","4","64G","intermediate","2026-07-29T06:17:27","2026-07-29T08:19:20"
"33520_20","33520","20","full_milp_formal","COMPLETED","0:0","7312","02:01:52","4481140K","4","64G","intermediate","2026-07-29T06:17:28","2026-07-29T08:19:20"
"33520_21","33520","21","full_milp_formal","COMPLETED","0:0","7312","02:01:52","4195080K","4","64G","intermediate","2026-07-29T06:17:31","2026-07-29T08:19:23"
"33520_22","33520","22","full_milp_formal","COMPLETED","0:0","7315","02:01:55","4110772K","4","64G","intermediate","2026-07-29T06:17:32","2026-07-29T08:19:27"
"33520_23","33520","23","full_milp_formal","COMPLETED","0:0","7312","02:01:52","4141456K","4","64G","intermediate","2026-07-29T06:17:38","2026-07-29T08:19:30"
"33520_24","33520","24","full_milp_formal","COMPLETED","0:0","7310","02:01:50","4462716K","4","64G","intermediate","2026-07-29T08:19:15","2026-07-29T10:21:05"
"33520_25","33520","25","full_milp_formal","COMPLETED","0:0","7309","02:01:49","4158036K","4","64G","intermediate","2026-07-29T08:19:15","2026-07-29T10:21:04"
"33520_26","33520","26","full_milp_formal","COMPLETED","0:0","7306","02:01:46","4318220K","4","64G","intermediate","2026-07-29T08:19:16","2026-07-29T10:21:02"
"33520_27","33520","27","full_milp_formal","COMPLETED","0:0","7308","02:01:48","4480620K","4","64G","intermediate","2026-07-29T08:19:20","2026-07-29T10:21:08"
"33520_28","33520","28","full_milp_formal","COMPLETED","0:0","7306","02:01:46","4339652K","4","64G","intermediate","2026-07-29T08:19:20","2026-07-29T10:21:06"
"33520_29","33520","29","full_milp_formal","COMPLETED","0:0","7304","02:01:44","4125904K","4","64G","intermediate","2026-07-29T08:19:23","2026-07-29T10:21:07"
