seed,stage,time_limit_s,wall_time_s,status,objective_value,best_bound,relative_gap,termination_reason,warm_start_requested,warm_start_accepted,total_variables,initialized_variables,missing_variable_count,bound_violation_count,integrality_violation_count,total_constraints,evaluated_constraints,partial_constraint_count,violated_constraint_count,max_constraint_violation,top_violations
9000040,weighted,7200.0,7218.23770992877,Integer Feasible,2617199.4791897736,-194285.52,1.074234127564532,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000040,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243906,181230,62676,2,1.9188599253538996e-05,"[{""constraint"": ""_C243702"", ""residual"": -1.9188599253538996e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 1.9188599253538996e-05}, {""constraint"": ""_C243700"", ""residual"": 1.506023886577168e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 1.506023886577168e-05}]"
9000041,weighted,7200.0,7218.2465325309895,Integer Feasible,2085510.1991774477,-194285.52,1.093159707431126,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000041,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243894,181218,62676,2,3.636861492850585e-05,"[{""constraint"": ""_C243688"", ""residual"": 3.636861492850585e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 3.636861492850585e-05}, {""constraint"": ""_C243690"", ""residual"": -3.840310455416329e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 3.840310455416329e-06}]"
9000042,weighted,7200.0,7217.139794141054,Integer Feasible,2713194.1225553956,-194285.52,1.071607673916459,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000042,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243842,181166,62676,2,4.4387126308720326e-05,"[{""constraint"": ""_C243638"", ""residual"": -4.4387126308720326e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 4.4387126308720326e-05}, {""constraint"": ""_C243636"", ""residual"": -1.838160642364528e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 1.838160642364528e-05}]"
9000043,weighted,7200.0,7216.705264822114,Integer Feasible,2311477.995910213,-194285.52,1.0840525068132842,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000043,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243862,181186,62676,0,0.0,[]
9000044,weighted,7200.0,7216.344186439179,Integer Feasible,1749991.6922295857,-194285.52,1.111020824191725,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000044,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243906,181230,62676,2,3.25942637573462e-05,"[{""constraint"": ""_C243701"", ""residual"": -3.25942637573462e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 3.25942637573462e-05}, {""constraint"": ""_C243700"", ""residual"": 1.8487074157746974e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 1.8487074157746974e-05}]"
9000045,weighted,7200.0,7215.874449620023,Integer Feasible,2356429.904399175,-194285.52,1.0824490979499504,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000045,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243958,181282,62676,1,0.0004401721580507001,"[{""constraint"": ""_C243754"", ""residual"": -0.0004401721580507001, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 0.0004401721580507001}]"
9000046,weighted,7200.0,7215.53180941334,Integer Feasible,1951286.679854479,-193930.71913,1.0993860723450757,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000046,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243798,181122,62676,2,4.2484732148295734e-05,"[{""constraint"": ""_C243593"", ""residual"": -4.2484732148295734e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 4.2484732148295734e-05}, {""constraint"": ""_C243594"", ""residual"": 4.104206846022862e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 4.104206846022862e-05}]"
9000047,weighted,7200.0,7215.547464052215,Integer Feasible,1831302.291208976,1638151.8106,0.10547165344366129,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000047,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243958,181282,62676,2,2.5098193873418495e-05,"[{""constraint"": ""_C243753"", ""residual"": -2.5098193873418495e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 2.5098193873418495e-05}, {""constraint"": ""_C243754"", ""residual"": -2.2852117581351195e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 2.2852117581351195e-05}]"
9000048,weighted,7200.0,7216.784680403769,Integer Feasible,2588329.138370781,-193718.79635,1.074843184925058,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000048,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243958,181282,62676,2,4.108572284167167e-05,"[{""constraint"": ""_C243752"", ""residual"": -4.108572284167167e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 4.108572284167167e-05}, {""constraint"": ""_C243754"", ""residual"": 3.3079827971960185e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 3.3079827971960185e-05}]"
9000049,weighted,7200.0,7216.336819032673,Integer Feasible,1840479.7749805038,-194285.52,1.105562431405723,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000049,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243866,181190,62676,2,3.108899136350374e-05,"[{""constraint"": ""_C243660"", ""residual"": -3.108899136350374e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 3.108899136350374e-05}, {""constraint"": ""_C243661"", ""residual"": -2.029339839282329e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 2.029339839282329e-06}]"
9000050,weighted,7200.0,7217.262717579026,Integer Feasible,2332346.057429111,-194285.52,1.0833004688052836,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000050,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243882,181206,62676,3,3.557588570402004e-05,"[{""constraint"": ""_C243678"", ""residual"": 3.557588570402004e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 3.557588570402004e-05}, {""constraint"": ""_C243676"", ""residual"": 3.278535268691485e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 3.278535268691485e-05}, {""constraint"": ""_C243677"", ""residual"": 1.8674405737328925e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 1.8674405737328925e-06}]"
9000051,weighted,7200.0,7215.717706265859,Integer Feasible,1932977.2340721246,1655403.5125,0.14359906401348108,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000051,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243794,181118,62676,2,4.934703019898734e-05,"[{""constraint"": ""_C243589"", ""residual"": 4.934703019898734e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 4.934703019898734e-05}, {""constraint"": ""_C243590"", ""residual"": -1.2197149771964177e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 1.2197149771964177e-05}]"
9000052,weighted,7200.0,7217.5009399852715,Integer Feasible,2247524.964631711,-193852.07307,1.0862513547660484,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000052,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243958,181282,62676,1,5.16557975061005e-06,"[{""constraint"": ""_C243753"", ""residual"": 5.16557975061005e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 5.16557975061005e-06}]"
9000053,weighted,7200.0,7217.0227863802575,Integer Feasible,1896455.7981853208,-194285.52,1.1024466376626905,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000053,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243914,181238,62676,2,3.1273195418179967e-05,"[{""constraint"": ""_C243710"", ""residual"": 3.1273195418179967e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 3.1273195418179967e-05}, {""constraint"": ""_C243709"", ""residual"": 7.5708985605160706e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 7.5708985605160706e-06}]"
9000054,weighted,7200.0,7216.005551699083,Integer Feasible,3352607.098522702,-194285.52,1.057950578248674,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000054,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243894,181218,62676,1,2.7275935281068087e-05,"[{""constraint"": ""_C243690"", ""residual"": -2.7275935281068087e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 2.7275935281068087e-05}]"
9000055,weighted,7200.0,7216.740863204002,Integer Feasible,2379682.168790795,-194285.52,1.0816434743042698,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
