seed,decisions,simulated_hours,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,operating_cost_eur,vented_t,stored_t,captured_t,storage_rate,loss_rate,cost_per_stored_t_eur,unit_total_cost_eur_per_t
9000031,720,720.0,5676817.826614967,380170.4600755187,6056988.286690486,1684604.6446566433,54654.79552542309,53170.89188286137,134043.80710806395,0.39666802241744636,0.40773831111318165,113.91549158201805,113.91549158201805
9000032,720,720.0,4822816.571988727,369441.4038010408,5192257.975789768,1614307.1889864143,44724.38483504191,41593.42078239283,118765.80374023803,0.35021377764061656,0.37657628228460527,124.83363662138929,124.83363662138929
9000033,720,720.0,4802900.518711431,301231.574396305,5104132.093107736,1666057.79519865,42975.92872386363,55104.66851254193,127077.96740974122,0.43362881572433665,0.33818552184813505,92.62612825528612,92.62612825528612
9000034,720,720.0,4667264.7381652845,321725.38375085115,4988990.121916136,1668770.8170111985,41502.74131131169,54374.0340979313,123422.09958543938,0.44055346879179186,0.33626669332894693,91.7531723493355,91.7531723493355
9000035,720,720.0,5063453.935127483,395345.9793580705,5458799.914485553,1638126.6603134316,47758.41567715158,43685.56940329905,116933.45658342756,0.3735934152611923,0.40842387690025883,124.95659296759253,124.95659296759253
9000036,720,720.0,5313858.388528753,357855.46004563075,5671713.848574384,1639683.0973065975,50400.38439084733,48659.72523406843,124518.99931170137,0.39078153135700433,0.4047605961294541,116.55869040138789,116.55869040138789
9000037,720,720.0,5276625.630594883,351634.4501206189,5628260.080715502,1642261.654309318,49824.98033007731,46990.02850899623,121647.55872136065,0.3862800783090852,0.40958471221114867,119.77562600622753,119.77562600622753
9000038,720,720.0,5941826.767058382,425131.6350000001,6366958.402058382,1616850.3208810976,59376.35101471606,34372.635540558935,128369.72617542402,0.2677627861695904,0.4625416972033978,185.23334920144586,185.23334920144586
9000039,720,720.0,5396394.867727373,345124.83344331145,5741519.701170684,1662036.8121440886,50993.53611283254,44331.86268480135,125712.08383662622,0.35264599338289915,0.40563750561245226,129.51225943274193,129.51225943274193
9000040,720,720.0,4780233.648685615,437967.8733916342,5218201.522077248,1730860.3116831286,43591.76512992655,51074.86778410884,128417.59580770151,0.39772484029829314,0.3394532100974923,102.16769515947355,102.16769515947355
9000041,720,720.0,5575470.1858342225,427634.9265826637,6003105.112416886,1631133.3202138303,54649.64740253819,33378.50885648397,125444.62651394652,0.2660816153234994,0.4356475755178116,179.84940963744543,179.84940963744543
9000042,720,720.0,4965347.597242671,392737.5433256065,5358085.140568278,1640350.901346033,46471.677990278025,39667.20858638387,122590.33961068436,0.3235753217778563,0.3790810771701932,135.07593126700345,135.07593126700345
