stress_level,method,model_seeds,test_seeds,mean_total_cost_eur,total_cost_ci95_low_eur,total_cost_ci95_high_eur,mean_delta_cost_vs_greedy_eur,delta_cost_ci95_low_eur,delta_cost_ci95_high_eur,mean_vented_t,mean_stored_t,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy
low,iterative_p4,3,30,1748848.527322883,1722193.11602949,1780645.8995035866,-255763.07875908352,-335973.6587125488,-178097.90839121988,235.7806168205286,107724.31643007138,27,0,3
low,one_shot_matched,3,30,1758775.0782929747,1732947.1349901229,1785378.1082049543,-245836.5277889914,-327577.68260513246,-167315.57626268113,292.90236108351235,107482.9095129847,26,0,4
low,greedy,0,30,2004611.6060819665,1928655.4515074017,2083323.1016396035,0.0,0.0,0.0,4735.044935872408,101293.11507239248,0,30,0
medium,iterative_p4,3,30,1881692.086092781,1825476.3883635034,1957638.5738420659,-372519.47754378535,-496585.4821877955,-257130.97766828194,1113.0262533439552,110246.0049028621,28,0,2
medium,one_shot_matched,3,30,1885220.6115395052,1831577.4695531314,1949996.014425462,-368990.95209706126,-518869.1124958983,-237811.57888759978,1068.9614438619662,111038.1614003747,27,0,3
medium,greedy,0,30,2254211.563636566,2116587.879766045,2411431.8524564286,0.0,0.0,0.0,7296.773222316017,102984.17556541666,0,30,0
high,iterative_p4,3,30,2586734.5331688556,2397612.7357478146,2793622.913513891,-419725.4829324527,-621628.8718723058,-227673.8524647781,8951.23244000168,110282.59760492755,24,0,6
high,one_shot_matched,3,30,2549333.105366839,2354402.698624695,2762972.617979477,-457126.9107344699,-660659.7599024782,-268981.7737562729,8408.239608531874,110930.61257598737,27,0,3
high,greedy,0,30,3006460.016101308,2777707.346571478,3240242.067149526,0.0,0.0,0.0,15856.253476642985,103950.04692793918,0,30,0
