method,display_name,model_seeds,test_seeds,mean_total_cost_eur,total_cost_ci95_low_eur,total_cost_ci95_high_eur,mean_delta_cost_vs_greedy_eur,delta_cost_ci95_low_eur,delta_cost_ci95_high_eur,mean_vented_t,mean_stored_t,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy,controller,stress_level
iterative_q_low,Iterative Action-Q (low),3,30,1736575.3808495756,1711057.8496577502,1762764.0022282044,-268036.22523239057,-349746.8904758985,-190077.8395208492,131.26892327160465,108448.74674079665,28,0,2,iterative_action_q,low
greedy_low,Greedy (low),0,30,2004611.6060819665,1928517.1235985989,2084224.1503597265,0.0,0.0,0.0,4735.044935872408,101293.11507239248,0,30,0,greedy,low
iterative_q_medium,Iterative Action-Q (medium),3,30,1864718.4746599607,1815725.2631043317,1922983.641816489,-389493.0889766058,-535380.3446589451,-261454.54484489516,949.4621594196798,111120.75828653098,26,0,4,iterative_action_q,medium
greedy_medium,Greedy (medium),0,30,2254211.563636566,2116150.7996458476,2411045.433936285,0.0,0.0,0.0,7296.773222316017,102984.17556541666,0,30,0,greedy,medium
iterative_q_high,Iterative Action-Q (high),3,30,2527994.6346131745,2349405.3150095595,2715069.873025069,-478465.38148813345,-663341.9312311136,-303792.85101696267,8211.594744068221,111652.97237294036,26,0,4,iterative_action_q,high
greedy_high,Greedy (high),0,30,3006460.016101308,2781190.308434175,3246569.9481344554,0.0,0.0,0.0,15856.253476642985,103950.04692793918,0,30,0,greedy,high
