controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,2,9000031,8760,8928,4404,145,376.3007564959116,26682162.20355968,344245.9692266527,27026408.172786333,2221348.616941342,1569787.9989018934,1453257.0929728332,87268.08082273862,7172.718971731941,0.9257664690960967,17.216597522526605
iterative_q_direct,2,9000032,8760,8928,4267,141,316.88501724181697,25170175.088302117,237693.54960771778,25407868.637909833,2088317.970239164,1587320.758303226,1504102.008839263,59633.7143692641,4901.401181035406,0.9475728210390697,16.006763916493913
iterative_q_direct,2,9000033,8760,8928,4158,143,333.14470023382455,29047552.61681194,264744.8695411126,29312297.48635305,2409229.9303851826,1611713.8568818646,1481281.7072285104,110464.28689726388,9079.25645730936,0.9190723904889063,18.187035720511016
iterative_q_direct,2,9000034,8760,8928,4233,140,335.54538740962744,25991124.23392384,156395.01529276447,26147519.249216605,2149111.171168488,1591021.0156239818,1503685.6876257567,71229.15697457649,5854.451258184368,0.9451073699589234,16.43442732210663
iterative_q_direct,2,9000035,8760,8928,4173,140,360.29006587620825,26286663.341890983,225673.52709446865,26512336.86898545,2179096.181012503,1588969.2418607417,1499207.1265020433,75976.62159118989,6244.653829412868,0.9435092178036224,16.68524233857323
