controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_receding,1,9000046,8760,8928,4090,145,257.09138277871534,28726965.298749253,241554.8392982304,28968520.138047483,2380974.257921711,1585781.4742947912,1466599.9954133516,109064.53556825283,8964.208402870096,0.9248436932746735,18.26766210075067
iterative_q_receding,1,9000047,8760,8928,4224,141,311.6506014536135,26933755.40778744,211910.6741733846,27145666.081960823,2231150.636873492,1594467.8944917,1497920.7937141412,84213.6050833178,6921.666171231601,0.9394487019079573,17.024906036514825
iterative_q_receding,1,9000048,8760,8928,4433,142,290.0270825987682,26108350.630146723,239544.05354625554,26347894.68369298,2165580.384961067,1582400.7805992449,1493007.4345465417,76215.27466185352,6264.26915028933,0.9435077717676236,16.650582460983877
iterative_q_receding,1,9000049,8760,8928,4298,141,312.96819775458425,24440284.303502657,226698.99238100133,24666983.29588366,2027423.2845931775,1589194.9178221277,1515402.92576955,52046.20541341606,4277.770307952005,0.9535664308858324,15.521685237760455
iterative_q_receding,1,9000050,8760,8928,3771,143,318.2856511580758,26564165.023053024,215044.3517698036,26779209.37482283,2201030.9075196846,1591981.4895955909,1493715.4383311905,78414.1823104766,6445.001285792597,0.9382743757345051,16.821307000011362
