#{"t_start": 1785272199.3090603, "env_id": "None"}
r,l,t
-8.939544,720,8.878624
-6.937138,720,17.059155
-6.517434,720,26.149287
-6.001354,720,35.223916
-6.205913,720,45.121018
-5.765986,720,53.526932
-6.156186,720,62.28063
-5.396505,720,71.896626
-6.414871,720,80.303713
-8.178297,720,88.523065
-6.408374,720,95.774558
-6.663708,720,104.430086
-7.387715,720,112.558809
-7.254707,720,120.682053
-6.898065,720,128.965985
-7.823477,720,135.807194
-7.182719,720,144.078009
-8.365895,720,152.355158
-7.243712,720,160.677797
-7.455729,720,169.275066
-7.96494,720,177.61823
-6.697861,720,184.810131
-7.422892,720,193.005224
-6.615962,720,201.448712
-7.989838,720,209.713399
-7.915296,720,217.92839
-6.231856,720,224.894934
-6.984077,720,233.173112
-6.618587,720,241.440086
-6.8547,720,249.961853
-7.68431,720,258.663943
-7.233946,720,265.580763
-8.33252,720,273.746233
-7.817796,720,282.098958
-8.387938,720,290.262062
-7.277172,720,298.447975
-7.33838,720,306.821857
-5.969304,720,313.65256
-7.084947,720,322.069815
-6.091643,720,330.709327
-8.469154,720,338.927011
-7.181325,720,347.556386
-7.043372,720,354.554759
-6.971179,720,362.879445
-7.584393,720,371.434199
-6.214971,720,380.132006
-6.748016,720,388.688267
-6.483629,720,395.899556
-6.953052,720,404.374338
-6.860078,720,412.703895
-7.611525,720,421.101964
-6.632278,720,429.718671
-6.055717,720,438.205714
-6.019496,720,445.314952
-6.838493,720,454.025659
-6.490181,720,462.189847
-7.280715,720,470.486628
-7.762368,720,478.968146
-6.287122,720,485.993926
-7.352883,720,494.247839
-7.166544,720,502.46531
-7.49744,720,510.73544
-6.300954,720,518.97104
-7.905501,720,525.976954
-6.763664,720,534.213287
-8.849007,720,542.471478
-7.602459,720,551.07647
-7.221429,720,559.503257
-7.497298,720,567.950332
-8.095772,720,574.846125
-7.009715,720,583.143656
-6.824321,720,591.623025
-7.32321,720,599.921431
-6.918098,720,608.250191
-7.60532,720,615.14931
-7.774457,720,623.397712
-7.262194,720,632.0025
-6.49989,720,640.553412
-7.645182,720,649.006067
-7.077098,720,656.023741
-7.477804,720,664.372688
-6.872329,720,672.83281
-6.860404,720,681.26033
-8.126664,720,689.566573
-8.11285,720,697.731227
-6.85698,720,704.722493
-8.048647,720,712.995962
-7.953697,720,721.150615
-6.866185,720,729.402201
-6.964131,720,737.545373
-8.293973,720,744.238724
-8.054042,720,752.462879
-7.95179,720,760.574381
-6.743663,720,768.795326
-8.732591,720,776.904909
-6.350971,720,783.678358
-7.283825,720,791.895021
-7.453956,720,800.081867
-7.479764,720,808.320428
-6.262191,720,816.73093
-7.868508,720,825.020597
-7.105401,720,831.853249
-7.466906,720,839.974677
-7.811815,720,848.208717
-7.336847,720,856.377543
-7.598164,720,864.452043
-7.342071,720,871.202739
-8.45034,720,879.259655
-6.427064,720,887.315474
-8.032632,720,895.420181
-6.187461,720,903.593695
-7.761756,720,910.723883
-8.515887,720,919.140526
-6.938457,720,927.344709
-7.785105,720,935.633096
-7.224787,720,943.818344
-7.79933,720,951.994081
-8.050668,720,958.697132
-7.091754,720,966.870535
-8.369098,720,975.071435
-6.818953,720,983.618209
-7.595643,720,991.789387
-7.037964,720,998.769804
-7.759031,720,1007.208607
-8.378978,720,1015.473438
-7.604868,720,1023.671568
-7.044578,720,1031.773691
-7.498897,720,1038.521207
-7.040902,720,1046.846136
-7.518547,720,1055.136225
-7.308043,720,1063.418278
-7.381837,720,1071.683245
-7.920944,720,1080.239143
-7.120583,720,1087.11559
-7.148355,720,1095.389965
-6.585408,720,1103.486229
-6.845965,720,1111.756238
-6.567081,720,1120.284812
-7.275424,720,1127.315942
-6.980442,720,1135.466352
-6.535808,720,1143.717733
-5.836135,720,1152.299447
-6.420021,720,1160.705217
-6.11795,720,1168.192083
-5.613611,720,1176.794933
-5.489903,720,1185.572469
-5.149428,720,1194.287416
-6.8438,720,1202.873009
-7.817858,720,1211.208589
-7.066108,720,1218.227899
-6.053811,720,1226.973149
-4.997895,720,1235.98065
-5.596566,720,1244.317488
-7.209093,720,1252.834734
-6.459814,720,1260.047051
-4.812717,720,1268.845029
-5.841311,720,1277.738028
-6.257268,720,1286.317955
-6.485017,720,1295.002105
-5.816797,720,1302.010249
-5.519864,720,1311.176586
-5.811309,720,1319.935881
-5.428365,720,1328.784813
-6.392197,720,1337.20741
-5.436258,720,1346.257546
-5.115734,720,1396.335608
-5.487306,720,1405.44141
-5.136259,720,1414.01457
-5.951293,720,1422.787652
-5.56811,720,1431.628905
-5.84371,720,1438.726666
-5.094282,720,1447.552815
-5.685786,720,1456.224491
-5.643393,720,1465.159862
-5.727743,720,1474.345254
-6.454053,720,1481.462027
-7.228968,720,1489.738199
-6.935602,720,1498.041041
-7.407417,720,1506.208949
-7.555488,720,1514.40842
-6.14624,720,1522.926438
-6.239132,720,1530.03632
