#{"t_start": 1785272198.5962398, "env_id": "None"}
r,l,t
-7.056352,720,1982.221476
-6.432107,720,1990.709595
-6.33206,720,1999.373032
-7.958371,720,2007.790517
-6.336219,720,2014.943979
-7.015962,720,2023.433383
-6.787085,720,2031.840784
-7.440418,720,2040.211143
-7.487523,720,2048.509828
-5.456788,720,2057.054684
-5.660179,720,2064.236451
-6.434301,720,2072.61512
-6.311196,720,2081.386289
-7.879164,720,2089.918386
-5.878096,720,2098.651013
-6.569465,720,2106.020921
-6.223444,720,2114.312006
-6.290884,720,2122.798826
-6.822183,720,2131.209732
-6.827414,720,2140.219114
-6.519362,720,2147.422181
-6.837479,720,2155.741943
-7.665322,720,2164.28387
-6.733668,720,2172.74999
-8.21965,720,2181.273056
-6.385519,720,2189.898922
-6.686014,720,2196.772124
-4.952048,720,2205.407354
-6.085305,720,2214.171791
-6.41925,720,2223.030802
-5.805156,720,2231.807312
-5.472123,720,2238.994358
-6.064494,720,2247.743125
-5.055366,720,2256.20402
-5.027342,720,2264.899103
-4.987147,720,2274.090251
-5.519652,720,2281.415234
-5.356044,720,2290.622155
-5.404991,720,2299.698517
-5.26984,720,2308.596643
-5.310544,720,2317.335618
-5.284236,720,2325.988953
-5.190303,720,2333.274827
-4.908831,720,2342.378165
-5.283984,720,2351.256001
-4.897013,720,2360.35533
-4.952638,720,2369.22966
-4.502441,720,2377.054885
-4.906399,720,2385.860653
-5.333893,720,2394.692584
-5.852399,720,2403.750131
-5.394394,720,2412.54486
-5.23015,720,2419.877263
-3.927649,720,2428.575951
-5.301628,720,2437.264189
-6.382436,720,2445.823849
-5.320966,720,2454.480208
-5.221261,720,2463.066903
-7.170904,720,2470.074808
-5.39403,720,2478.706618
-4.644737,720,2487.229589
-6.825743,720,2496.017915
-5.137842,720,2505.12715
-5.648834,720,2512.16512
-6.71531,720,2520.61022
-4.825552,720,2529.375105
-5.75025,720,2538.068823
-5.634159,720,2546.664416
-5.075705,720,2553.869548
-5.891444,720,2562.921184
-5.525253,720,2571.566311
-4.802114,720,2580.290229
-5.114828,720,2588.716628
-6.134427,720,2597.358824
-6.134569,720,2604.743565
-6.431924,720,2613.404285
-6.490787,720,2622.5089
-5.365733,720,2631.393838
-6.237121,720,2640.213646
-5.604648,720,2647.542789
-5.220956,720,2656.416094
-6.008699,720,2664.898181
-6.888466,720,2673.664969
-5.04154,720,2682.342197
-6.271116,720,2689.497327
-6.379167,720,2698.003395
-5.466385,720,2706.61007
-5.099654,720,2715.277261
-5.692926,720,2724.401847
-5.056372,720,2732.824314
-6.274688,720,2740.038827
-6.684841,720,2748.804922
-6.051401,720,2757.255538
-6.517456,720,2765.932322
-6.283915,720,2774.41038
-6.625027,720,2820.861574
-6.492633,720,2829.376106
-5.878138,720,2838.100713
-5.533779,720,2846.800657
-6.111472,720,2855.652408
-6.000533,720,2862.847682
-6.092596,720,2871.120837
-6.25632,720,2879.840796
-5.684594,720,2888.50678
-5.996492,720,2897.084835
-8.036871,720,2905.526627
-5.560612,720,2912.823172
-6.4819,720,2921.194468
-6.446872,720,2929.722477
-5.524092,720,2938.421619
-6.979061,720,2946.900173
-6.231954,720,2954.065789
-6.474318,720,2962.482382
-7.230903,720,2970.737083
-6.979529,720,2979.222005
-5.966755,720,2987.451452
-7.188897,720,2994.245462
-6.410145,720,3002.659647
-5.943063,720,3011.091428
-6.954328,720,3019.333957
-7.49066,720,3027.499497
-6.73675,720,3035.775356
-6.405956,720,3042.920069
-6.681904,720,3051.217501
-6.470083,720,3059.942307
-6.847274,720,3068.41646
-5.866585,720,3076.898755
-6.056357,720,3083.864394
-7.665059,720,3092.279716
-5.673081,720,3100.593398
-6.285385,720,3108.878824
-7.373763,720,3117.351426
-6.762385,720,3124.243126
-6.349162,720,3132.746414
-7.540086,720,3141.156389
-6.325654,720,3149.970596
-6.643778,720,3158.449136
-6.104855,720,3166.971268
-5.788662,720,3174.110438
-6.755565,720,3182.603327
-6.280689,720,3190.952493
-5.981595,720,3199.25411
-7.221206,720,3207.682639
-7.498637,720,3215.073705
-7.123263,720,3223.371135
-6.305571,720,3231.810758
-6.869199,720,3240.022727
-7.415592,720,3248.351799
-7.63982,720,3255.242836
-6.923062,720,3263.839205
-6.301375,720,3272.492457
-6.520123,720,3281.127754
-6.251495,720,3289.918372
-8.192171,720,3298.171288
-6.683836,720,3305.226192
-6.244621,720,3313.830623
-5.29211,720,3322.591168
-5.679126,720,3331.036527
-5.180226,720,3339.92583
-5.821782,720,3347.293645
-5.961505,720,3355.896499
-5.712072,720,3364.477645
-7.451032,720,3373.153075
-6.01478,720,3381.812584
-6.733607,720,3389.027941
-6.562849,720,3397.321557
-6.399692,720,3405.688484
-6.011443,720,3413.938584
-6.266712,720,3422.486159
-5.853021,720,3431.682075
-5.061775,720,3438.913005
-5.567275,720,3447.699122
-6.68857,720,3456.479165
-5.11781,720,3464.856514
-7.383304,720,3473.16725
-4.522317,720,3480.234548
-5.156483,720,3488.917513
-5.132157,720,3497.491291
-4.895518,720,3505.948217
-6.864393,720,3514.402581
-5.902297,720,3521.437658
-5.158444,720,3529.992182
-6.815601,720,3538.468018
-5.85454,720,3547.77322
-6.365748,720,3556.635679
-5.914599,720,3565.039463
-6.664981,720,3572.450494
-5.654074,720,3580.941545
-5.819306,720,3589.463259
-5.565933,720,3598.235374
-5.600774,720,3607.142578
-6.388404,720,3614.347735
-7.208504,720,3622.896442
-5.667521,720,3631.42837
-6.887908,720,3639.838818
-6.623105,720,3648.398686
-6.065811,720,3655.487499
-6.610023,720,3663.72964
-6.006585,720,3672.323239
-7.5226,720,3680.522361
-6.619556,720,3688.893289
-7.383379,720,3697.181778
-6.097458,720,3704.030111
-6.921215,720,3712.284548
-8.196203,720,3720.39243
-7.547089,720,3728.599838
-7.586355,720,3736.902149
-8.310469,720,3743.748285
-8.070946,720,3752.085868
-7.177416,720,3760.482641
-6.953771,720,3768.712579
-7.869515,720,3776.931339
-7.281292,720,3783.832684
-6.346608,720,3792.127157
-7.829037,720,3800.353173
-7.001464,720,3808.634381
-8.434932,720,3816.935178
-6.768709,720,3825.047877
-8.056872,720,3831.951936
-6.090186,720,3840.126979
-7.498646,720,3848.335638
-7.688699,720,3856.610898
-7.065048,720,3864.927733
-6.583165,720,3871.809683
-7.999566,720,3880.306966
-7.507231,720,3888.44382
-6.151985,720,3896.917925
-7.743973,720,3905.158089
-7.217794,720,3911.993232
-6.749463,720,3920.294898
-7.1496,720,3928.69624
-7.336966,720,3937.139504
-6.5761,720,3945.54294
-5.7362,720,3954.001926
-6.593296,720,3961.289761
-5.894095,720,3970.053764
-6.961686,720,3978.660197
-5.504971,720,3987.603511
-5.247148,720,3996.440767
-6.034863,720,4003.816383
-6.685889,720,4012.206937
-6.896356,720,4020.474352
-6.824489,720,4028.842143
-7.219244,720,4037.121493
-7.849511,720,4043.942788
-7.608251,720,4052.14837
-7.507997,720,4060.397768
-7.890366,720,4068.47589
-7.981786,720,4076.671863
-7.567185,720,4084.938124
-8.12223,720,4091.710391
-7.608456,720,4099.952233
-7.336454,720,4108.091783
-7.58448,720,4116.408634
-6.792732,720,4124.692608
-7.125405,720,4131.414231
-8.654746,720,4139.516746
-8.355117,720,4147.596795
-8.048081,720,4155.855724
-6.879329,720,4164.272114
-7.248784,720,4207.77062
-7.678795,720,4216.160499
-7.126778,720,4224.320789
-8.272413,720,4232.563269
-9.071111,720,4240.629674
-5.78823,720,4248.917139
-6.552479,720,4255.790196
-7.729579,720,4264.005995
-7.424098,720,4272.199976
-8.302784,720,4280.326399
-7.483365,720,4288.543631
-8.03134,720,4295.750116
