algorithm,algorithm_display_name,method_class,model_seed,test_seed,episode_hours,decision_count,mean_decision_interval_h,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,total_cost_eur,captured_t,stored_t,vented_t,storage_rate,loss_rate,unit_total_cost_eur_per_t,greedy_total_cost_eur,delta_total_cost_vs_greedy_eur,paired_outcome_vs_greedy,hard_violations,override_events,proposed_override_events,selected_interventions,effective_intervention_rate,solver_replan_count,solver_failure_count,solver_timeout_count,fallback_used,wall_clock_seconds,source_file
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000031,720,720,1,459975.1200000063,879046.7151458119,41032.20741193757,3431.317260847294,3019.681777066625,1386505.0415956695,1452991.4675429284,0,2839496.509138598,248621.21417665802,1635126.2557723275,3088117.723315256,134043.80710806392,100078.55466326229,18162.393344286593,0.7466108045005063,0.1354959526749667,30.856937669673098,2293017.35099732,795100.3723179363,loss,,,,,,,,,,1.8723104999999123,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000031/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000032,720,720,1,479486.7000000068,797192.0279517364,35957.121113878355,3111.8013623052098,2747.4145443624016,1318495.0649722891,683888.104591084,0,2002383.169563373,244538.9140093341,1563033.9789816232,2246922.083572707,118765.80374023803,87700.29539970335,8548.60130738855,0.7384305299825151,0.07197864232103261,25.620461976007295,1766211.2553052178,480710.8282674893,loss,,,,,,,,,,0.5816963999996005,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000032/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000033,720,720,1,459144.8400000073,836766.46640011,36485.95472548253,3266.278310340583,2712.3025065985116,1338375.841942539,1229036.2485423828,0,2567412.090484922,241531.2547378595,1579907.0966803986,2808943.3452227814,127077.96740974124,88990.13347678664,15362.953106779782,0.7002797990138852,0.12089391591576658,31.564660434580688,2107598.694435474,701344.6507873074,loss,,,,,,,,,,1.2635651999999027,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000033/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000034,720,720,1,461635.6800000064,845017.144627291,37143.79971360513,3298.4844424230214,3015.844647793694,1350110.9534311194,583067.6885024135,0,1933178.641933533,271051.40494777146,1621162.358378891,2204230.046881304,123422.09958543938,90594.63344781741,7288.346106280168,0.7340227864548922,0.05905219673592398,24.330691156788472,1935952.9860899067,268277.06079139747,loss,,,,,,,,,,1.3920325999997658,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000034/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000035,720,720,1,498583.1400000036,811375.2868496476,42062.19095852063,3167.1650423382944,3121.5661348579247,1358309.348985368,187433.60822643925,0,1545742.9572118071,289375.6959073701,1647685.044892738,1835118.653119177,116933.45658342756,102590.70965492842,2342.9201028304915,0.8773426584010527,0.02003635376295327,17.88776643900541,1885009.4324528396,-49890.779333662475,win,,,,,,,,,,1.508543899999495,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000035/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000036,720,720,1,503149.6800000059,803943.7942386947,35460.22280684711,3138.1565625493845,2502.5984695300695,1348194.4520776272,1270560.398284329,0,2618754.8503619563,237682.59486170983,1585877.046939337,2856437.4452236663,124518.99931170137,86488.34830938328,15882.004978554121,0.6945795323401363,0.12754684077405407,33.02684698065585,3533761.529562704,-677324.0843390375,win,,,,,,,,,,1.6579960999997638,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000036/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000037,720,720,1,471183.9000000066,847703.6059508157,41070.82374800184,3308.970917090617,2987.2843832131584,1366254.5849991278,922041.0613591636,0,2288295.6463582916,240680.8657030752,1606935.450702203,2528976.512061367,121647.55872136065,100172.74084878479,11525.51326698954,0.8234669228195124,0.09474512590416434,25.24615469870161,2000485.9131946776,528490.5988666893,loss,,,,,,,,,,0.5177434000006542,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000037/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000038,720,720,1,496507.44000000623,794929.1500239924,38926.09782676716,3102.9683253813814,2995.5017965811167,1336461.1579727284,1325196.5702358342,0,2661657.7282085624,281641.2901936705,1618102.4481663988,2943299.018402233,128369.72617542402,94941.70201650522,16564.957127947913,0.7395957352652008,0.12904099448892664,31.00111916985175,1920295.9707264367,1023003.0476757961,loss,,,,,,,,,,1.504507999999987,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000038/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000039,720,720,1,488619.7800000068,813109.8286096256,39020.12967403593,3173.935744029264,3095.440066825517,1347019.114094523,1000545.3158464533,0,2347564.429940976,296189.05512502376,1643208.1692195467,2643753.485066,125712.08383662622,95171.04798545351,12506.816448080672,0.757055686938867,0.09948778245004965,27.77896787970735,2437563.728051424,206189.75701457588,loss,,,,,,,,,,1.6597770000007586,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000039/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000040,720,720,1,434236.44000000687,810350.3859584086,38787.98084230854,3163.1643902020983,2821.200067147813,1289359.171258074,1091068.4931737867,0,2380427.6644318607,274291.21182529704,1563650.383083371,2654718.876257158,128417.59580770151,94604.83132270379,13638.35616467234,0.7366967955417065,0.1062031731624617,28.061134290295637,2617199.479188901,37519.39706825698,loss,,,,,,,,,,1.4332663000004686,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000040/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000041,720,720,1,498583.1400000075,813274.2165727669,37112.72221338872,3174.577424665433,2739.323445359954,1354883.9796561885,1340565.4494576016,0,2695449.4291137904,255815.7700190592,1610699.7496752478,2951265.1991328495,125444.62651394652,90518.83466680175,16757.068118220024,0.7215839943270759,0.13358139430832477,32.603879733940516,2085510.1991784673,865754.9999543822,loss,,,,,,,,,,1.5855994000003193,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000041/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000042,720,720,1,467447.6400000053,816335.2905753113,38688.55988525967,3186.526182200947,2957.5886822009516,1328615.6053249782,428083.4644064504,0,1756699.0697314288,303535.7942291116,1632151.3995540899,2060234.8639605404,122590.33961068436,94362.34118356016,5351.0433050806305,0.7697371708344302,0.043649795914377745,21.833231754528313,2713194.122553258,-652959.2585927178,win,,,,,,,,,,1.3371562000002086,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000042/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000043,720,720,1,479486.70000000496,773475.8374980036,33889.82071132445,3019.226334990607,2561.3513349906125,1292432.9358793143,1008127.6178226701,0,2300560.5537019847,312087.32760283083,1604520.263482145,2612647.8813048154,122999.51700733569,82658.09929591329,12601.595222783373,0.672019706313022,0.10245239598812257,31.607887231372473,2311477.9959102147,301169.8853946007,loss,,,,,,,,,,0.8922400999999809,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000043/per_controller.csv
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,9000044,720,720,1,483222.96000000485,827630.0395757259,41232.80420419069,3230.61470051778,2971.197630375608,1358287.616110815,1245575.9812795906,0,2603863.597390406,241857.91687385365,1600145.5329846686,2845721.5142642595,129859.10158151455,100567.81513217227,15569.69976599487,0.7744379401011358,0.1198968695792303,28.296543089101032,1749991.6922290896,1095729.82203517,loss,,,,,,,,,,0.5270052000005307,formal_fixed_assignment_seeds_9000031-9000060_run01/seed_9000044/per_controller.csv
