controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_receding,2,9000046,2160,8928,1201,34,19.104622470680624,5320884.134623938,260972.45043623628,5581856.585060175,1860618.861686725,381721.6934856551,361360.36820276297,5076.634374485569,1692.2114581618566,0.9466592398850464,14.62284350174072
iterative_q_receding,2,9000047,2160,8928,1120,33,21.366299855988473,5317658.059115177,225623.94479541373,5543282.003910591,1847760.667970197,377318.0752541105,352884.3472219061,5515.683704472728,1838.5612348242428,0.9352436852760125,14.691270753931905
iterative_q_receding,2,9000048,2160,8928,1040,33,18.8852273770608,7281018.543938573,191303.48008586618,7472322.02402444,2490774.0080081467,392705.3888261524,345656.61920008605,29098.226905482617,9699.408968494206,0.8801932161748498,19.027806178978558
iterative_q_receding,2,9000049,2160,8928,1237,34,21.89008504943922,5547684.832811523,290469.0816233385,5838153.914434861,1946051.3048116204,391117.69548405823,358872.311114483,9629.992553187949,3209.9975177293163,0.9175558029158781,14.926846782550706
iterative_q_receding,2,9000050,2160,8928,997,36,20.150405519641936,6864556.463919502,291165.762335044,7155722.226254546,2385240.7420848487,390501.10058907396,340026.52495180676,25796.032563557455,8598.677521185818,0.8707440886565341,18.324461097446544
