seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_operating_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,133,5.413533834586466,11,0.08270676691729323,11,11,0.08270676691729323,31,8750.394732843135,9642.630458246858,467237.57837685023,0.4672375783768502,134043.80710806392,109721.18512150914,9411.99861144346,0.8185472159340694,1607311.6100329962,260608.6459899324,1867920.2560229285,2360271.4989484735,2620880.144938406,23.886728365501614,0,2.995231428183615
9000032,106,6.7924528301886795,12,0.11320754716981132,12,12,0.11320754716981132,33,5978.077485021682,7550.693149363797,321990.67945968034,0.3219906794596802,118765.80374023803,95250.98854906714,2570.5238223668675,0.8020068533986267,1479625.970721145,239663.52760253244,1719289.4983236773,1685267.8765104944,1924931.4041130268,20.20904384757568,0,1.0763322007842362
9000033,110,6.545454545454546,12,0.10909090909090909,12,12,0.10909090909090909,38,12828.557070330637,13200.8738978115,792889.5175151262,0.792889517515126,127077.96740974122,102191.00737459814,2534.3960364491445,0.8041599142446202,1530813.0294628215,282489.11532890203,1813302.1447917237,1733564.712378753,2016053.8277076553,19.728289988545416,0,2.1106236688792706
9000034,118,6.101694915254237,9,0.07627118644067797,9,9,0.07627118644067797,23,5976.775233974607,10587.28059945286,350957.096415536,0.3509570964155361,123422.09958543938,101181.91404727027,1311.570872305562,0.8198038632232693,1513300.0825982522,235047.19808307127,1748347.2806813235,1618225.752382697,1853272.9504657683,18.316247205997254,0,2.157059050165117
9000035,95,7.578947368421052,9,0.09473684210526316,9,9,0.09473684210526316,24,2342.9201028304915,3757.4685889249668,98264.82050804817,0.09826482050804813,116933.45658342756,106348.17824385338,0.0,0.9094760503207909,1511886.2835219493,224967.5490891797,1736853.832611129,1511886.2835219493,1736853.832611129,16.331768548292118,0,2.3530322113074362
9000036,108,6.666666666666667,9,0.08333333333333333,9,9,0.08333333333333333,30,8087.055876984234,6212.21673458282,487338.0655363536,0.4873380655363536,124518.99931170137,92700.5650439661,7794.949101569888,0.7444692420946463,1514439.6967078045,231063.75485391723,1745503.4515617217,2138035.6248333952,2369099.3796873125,25.5564718355675,0,2.5457849940285087
9000037,111,6.486486486486487,10,0.09009009009009009,10,10,0.09009009009009009,41,10218.338572528362,14933.866656979968,655115.1497802255,0.6551151497802257,121647.55872136065,115106.60750576475,1307.1746944611755,0.9462303125163551,1600969.2602192226,168318.1265050247,1769287.3867242474,1705543.2357761166,1873861.3622811413,16.27935531144287,0,1.058610166888684
9000038,121,5.950413223140496,16,0.1322314049586777,16,16,0.1322314049586777,48,10053.943992898716,12463.107666158248,563204.5670819802,0.5632045670819801,128369.72617542402,107404.80968266347,6511.013135049195,0.8366833277800182,1572297.1558019912,286916.244714326,1859213.4005163172,2093178.2066059266,2380094.4513202524,22.160036020290352,0,2.547693036030978
9000039,97,7.422680412371134,9,0.09278350515463918,9,9,0.09278350515463918,27,4041.2126597080187,3197.9712040869344,200120.87655418232,0.20012087655418245,125712.08383662622,98369.01918954044,8465.603788372653,0.7824945398039821,1458901.1282086237,307483.1772333821,1766384.3054420059,2136149.431278436,2443632.608511818,24.841485954061937,0,2.5125904851593077
9000040,107,6.728971962616822,10,0.09345794392523364,10,10,0.09345794392523364,35,9894.949025959642,8776.198099124536,589165.804955805,0.589165804955805,128417.59580770151,103381.02942182832,3743.407138712696,0.8050378826328122,1520298.747741498,245781.7524628389,1766080.5002043368,1819771.318838514,2065553.0713013527,19.980001000698323,0,2.345445137936622
9000041,107,6.728971962616822,12,0.11214953271028037,12,12,0.11214953271028037,32,7503.076978064776,1706.2319696806517,426780.2518533962,0.4267802518533961,125444.62651394652,92225.0666364824,9253.991140155247,0.7351854694726929,1515809.7039011403,268355.9521658943,1784165.6560670347,2256128.995113559,2524484.9472794533,27.373088893825937,0,2.5889351940713823
9000042,99,7.2727272727272725,5,0.050505050505050504,5,5,0.050505050505050504,14,3745.1346731908216,6563.303515133317,193419.33502366545,0.1934193350236654,122590.33961068436,100925.64469869348,1605.9086318898082,0.8232756758746862,1477274.9508003495,261067.88758534082,1738342.8383856902,1605747.641351534,1866815.5289368748,18.496939350847086,0,2.1399402818642557
9000043,120,6.0,17,0.14166666666666666,17,17,0.14166666666666666,61,2458.1637404198063,12014.727432169137,-8464.959233331407,-0.00846495923333139,122999.51700733569,94672.82672808242,10143.431482363567,0.7697008007148202,1608290.1747809171,201348.14716814415,1809638.3219490612,2419764.693370003,2621112.840538147,27.686010137486015,0,1.3925716350786388
9000044,103,6.990291262135922,9,0.08737864077669903,9,9,0.08737864077669903,33,8865.28533865277,7499.999999999927,556428.5630868664,0.5564285630868664,129859.10158151455,108067.8151321722,6704.4144273421,0.8321928445218479,1452620.7724186631,300319.0245713619,1752939.796990025,1988973.9266060311,2289292.951177393,21.183855233655613,0,1.131854775827378
9000045,98,7.346938775510204,7,0.07142857142857142,7,7,0.07142857142857142,20,7500.000000000009,9026.575586891166,477206.6850003372,0.47720668500033725,125440.6630420947,105075.72737772821,2130.0464508349282,0.8376528378398914,1460672.4853141198,262736.2193704684,1723408.7046845881,1631076.201380914,1893812.4207513826,18.02331012131346,0,2.2467043679207563
9000046,112,6.428571428571429,9,0.08035714285714286,9,9,0.08035714285714286,28,5722.79076729284,4690.8339838212705,316138.5369789281,0.316138536978928,132406.07380064274,113370.47080095152,6142.247252366754,0.856233158696691,1547899.9056507957,283649.91121153365,1831549.8168623294,2039279.685840136,2322929.5970516694,20.48972347596684,0,1.7115832860581577
9000047,105,6.857142857142857,10,0.09523809523809523,10,10,0.09523809523809523,22,6211.45713995984,8242.722621718116,366955.6094762701,0.36695560947627004,128277.74695956499,108497.78805779899,5214.670903707337,0.845803661425384,1492769.3017892214,286582.8640412513,1779352.1658304727,1909942.9740858083,2196525.8381270594,20.244890494513356,0,2.7179925115779042
9000048,112,6.428571428571429,9,0.08035714285714286,9,9,0.08035714285714286,30,5919.284975208642,10111.813442334023,321095.8503259245,0.32109585032592447,131010.22127700872,101571.83037442378,12819.876108436163,0.7752969912145996,1487162.758965277,268351.33408673975,1755514.0930520168,2512752.8476401703,2781104.18172691,27.380664220334893,0,2.1988413487561047
9000049,106,6.7924528301886795,5,0.04716981132075472,5,5,0.04716981132075472,14,5667.021914522489,7500.000000000029,315875.6711173436,0.3158756711173435,124881.76991963951,106913.69630834638,497.7617836848734,0.8561193229175447,1460426.3047349795,238551.41671549148,1698977.721450471,1500247.2474297695,1738798.664145261,16.26357262151378,0,2.4223626810126007
9000050,119,6.050420168067227,13,0.1092436974789916,13,13,0.1092436974789916,31,12613.258730237,10511.925810607892,752957.4396217414,0.7529574396217413,132171.66508378548,111049.77195757283,3612.8980762934175,0.8401934853977727,1582070.1524893239,301666.99962933204,1883737.1521186559,1871101.9985927972,2172768.9982221294,19.56572228759054,0,3.0994270350784063
9000051,120,6.0,15,0.125,15,15,0.125,53,3359.3362627179376,-8373.169965909488,89368.37609007774,0.08936837609007774,128981.17360926494,95246.67291798517,10175.945663538458,0.7384540724255236,1538580.697053725,329879.0348941516,1868459.7319478765,2352656.3501368025,2682535.385030954,28.164084926523646,0,3.1351481787860394
9000052,109,6.605504587155964,11,0.10091743119266056,11,11,0.10091743119266056,41,10166.059062955315,7029.351784222337,619815.6010430777,0.6198156010430775,130292.35070980627,108234.28194862914,1537.3587494572423,0.8307032712127055,1522082.598098945,290803.2297945434,1812885.8278934886,1645071.2980555245,1935874.527850068,17.88596452987867,0,1.8662380310706794
9000053,89,8.089887640449438,4,0.0449438202247191,4,4,0.0449438202247191,22,5277.376598056978,7171.422794952421,335675.71460082085,0.33567571460082085,119353.23535741051,104264.4416838243,0.0,0.8735786790496136,1390257.5861273133,278373.6837557945,1668631.2698831079,1390257.5861273133,1668631.2698831079,16.003838345417247,0,3.1472172671929
9000054,94,7.659574468085107,6,0.06382978723404255,6,6,0.06382978723404255,9,-2232.560769018106,-7488.725711606719,-249349.6885604705,-0.24934968856047057,132093.20107071442,87605.18411513502,20207.67925789816,0.6632073672606109,1447222.2407221391,285118.30762688216,1732340.5483490212,3063836.5813539904,3348954.8889808725,38.227816342232806,0,3.1014869371429086
9000055,109,6.605504587155964,10,0.09174311926605505,10,10,0.09174311926605505,27,13217.388487291862,12249.076200939671,817866.2301646733,0.8178662301646732,124998.78160566899,104530.70104191874,4910.223853914651,0.8362537594300682,1576859.9292895992,254523.87311800363,1831383.8024076028,1969677.837602771,2224201.7107207747,21.277975643048915,0,2.7313638301566243
9000056,112,6.428571428571429,13,0.11607142857142858,13,13,0.11607142857142858,39,15375.722446397162,18772.57336529129,1004188.7321389129,1.0041887321389122,126854.31280836993,104837.16075328244,709.0488930001774,0.8264374969391283,1586958.395743296,270775.77089844155,1857734.1666417376,1643682.3071833102,1914458.0780817517,18.261254543006213,0,2.754392344970256
9000057,96,7.5,5,0.052083333333333336,5,5,0.052083333333333336,14,2359.217781779399,7500.000000000015,59164.9299521753,0.05916492995217531,122972.65226763315,107175.37235904485,3771.3371267048024,0.8715382679214914,1540478.8053831337,226764.73599701584,1767243.5413801495,1842185.775519518,2068950.5115165338,19.304346380858913,0,1.5969293960370123
9000058,93,7.741935483870968,6,0.06451612903225806,6,6,0.06451612903225806,9,-742.8639545140986,2243.958265497058,-140864.53417121337,-0.14086453417121336,126103.88537882672,100768.11059873305,5939.008770838967,0.7990880716800846,1469038.716700888,249464.99451347144,1718503.7112143594,1944159.4183680052,2193624.412881477,21.76903387239908,0,2.2219989141449332
9000059,109,6.605504587155964,9,0.08256880733944955,9,9,0.08256880733944955,15,3867.631807580945,4282.6409168814425,166501.43589790683,0.16650143589790684,125978.9416694392,103017.69520894473,5187.023030011227,0.8177374237613193,1511180.8247270363,275873.3409238563,1787054.1656508925,1926142.6671279345,2202016.0080517908,21.375123988025273,0,2.483815725892782
9000060,104,6.923076923076923,13,0.125,13,13,0.125,26,4842.242509211312,11161.298117307451,276658.3259806528,0.27665832598065293,126857.6135473692,100394.76265483469,9534.105584722864,0.7913972196658645,1426518.0973319463,264180.7191007257,1690698.816432672,2189246.5441097766,2453427.2632105025,24.43780131883556,0,1.8858474530279636
