controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,0,9000036,8760,8928,4325,141,335.08946541696787,25263878.0615993,239781.49992567438,25503659.561524972,2096191.196837669,1603817.1227270185,1525262.2888411395,59689.863414185456,4906.016171028941,0.9510200802992365,15.901850154935577
iterative_q_direct,0,9000037,8760,8928,4638,133,251.42834357731044,25243987.483125336,214433.36384193553,25458420.846967272,2092472.9463260772,1622585.343824184,1551422.9734325258,58914.844329999134,4842.315972328696,0.9561426025062327,15.690035007320903
iterative_q_direct,0,9000038,8760,8928,4344,141,320.8889038092457,24592593.133010123,205269.13386746534,24797862.266877588,2038180.4602913086,1591884.2620774736,1528197.7847808837,53540.63639234397,4400.600251425532,0.9599930228511233,15.57767914265034
iterative_q_direct,0,9000039,8760,8928,4456,141,325.63347632298246,25669628.510442056,337731.78377006867,26007360.294212125,2137591.2570585306,1589645.7676406705,1492463.7644972096,70506.98546523758,5795.094695772952,0.9388656233220455,16.360475285517147
iterative_q_direct,0,9000040,8760,8928,4476,137,306.1498111211695,24583835.96522115,214162.4736518911,24797998.43887304,2038191.652510113,1570525.792653128,1494626.3224974126,55725.86235688207,4580.2078649492105,0.951672573280381,15.789615525499373
