model_seed,episodes,mean_total_cost_eur,mean_greedy_total_cost_eur,mean_delta_vs_greedy_eur,mean_vented_t,mean_stored_t,mean_unit_cost_eur_per_t,wins,ties,losses,detailed_episode_cost_fields
0,30,1870036.7188192115,2254211.563636566,-384174.844817355,864.6797832445591,110449.80231936554,16.979758805266034,27,0,3,true
1,30,1868639.4133966758,2254211.563636566,-385572.1502398905,935.3130944017174,110019.70664487529,17.028414047998655,28,0,2,true
2,30,1906400.1260624561,2254211.563636566,-347811.43757411034,1539.0858823855888,110268.50574434543,17.40597344237161,28,0,2,true
