controller,total_cost_eur,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,vented_t,stored_t,captured_t,unit_cost_eur_per_captured_t,unit_cost_eur_per_stored_t
greedy,2293017.35099732,2054666.3230846303,238351.0279126895,6240.861480952415,114469.71188364139,134043.80710806392,17.106477355934295,20.03165128368782
iterative_q,1937237.667108162,1696196.7770891036,241040.8900190584,0.0,120730.14993312865,134043.80710806392,14.452272797253459,16.046013925942948
