algorithm,algorithm_display_name,method_class,model_instances,trained_model_seed_count,episode_records,mean_episode_vessel_fuel_eur,mean_episode_conditioning_eur,mean_episode_reconditioning_eur,mean_episode_loading_eur,mean_episode_unloading_eur,mean_episode_operating_cost_eur,mean_episode_vent_penalty_eur,mean_episode_storage_shortfall_penalty_eur,mean_episode_total_cost_eur,mean_terminal_cleanup_operating_cost_eur,mean_operating_cost_eur,mean_total_cost_eur,mean_captured_t,mean_stored_t,mean_vented_t,mean_storage_rate,mean_loss_rate,mean_unit_total_cost_eur_per_t,mean_delta_total_cost_vs_greedy_eur,pooled_episode_sd_total_cost_eur,between_model_seed_sd_mean_total_cost_eur,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy
fixed_assignment,Fixed-Assignment Heuristic,heuristic,1,0,30,472415.4820000063,834409.5516765106,39187.27326411642,3257.0782052334384,2901.565396449609,1352170.9505423168,969639.6363492763,0.0,2321810.586891593,265131.2570975244,1617302.2076398407,2586941.8439891175,126282.56570334815,95578.71527833273,12120.495454365957,0.7572657683380343,0.09526068855981773,27.227657813858496,332730.2803525508,373637.28190331085,,6,0,24
greedy,Greedy,heuristic,1,0,30,503371.08800000505,898962.8045508272,42223.51198182082,3509.0587735184167,3129.1179018034313,1451195.5812079757,583741.8577852814,0.0,2034937.4389932568,219274.1246433097,1670469.705851285,2254211.563636566,126282.56570334815,102984.17556541666,7296.773222316017,0.8157191077817246,0.05767828848964209,22.396848358833356,0.0,419091.8801098633,,0,30,0
ppo_hourly,Hourly Centralized Maskable PPO,reinforcement_learning,3,3,90,801155.6226666765,459694.4616572212,18074.00405563593,1794.3955808294995,1302.3681181648847,1282020.852078528,3980540.542454172,0.0,5262561.3945327,397070.8010921918,1679091.6531707195,5659632.195624893,126282.56570334817,44082.93672106332,49756.756780677155,0.34938405151073015,0.3933687871242782,136.05162720037183,3405420.631988325,630826.3786435501,255170.65111236952,0,0,90
ppo_high_level,High-level Centralized Maskable PPO,reinforcement_learning,3,3,90,674030.5293333408,934638.055269948,44036.556556448115,3648.3154267410723,3297.875045835463,1659651.331632313,304277.8504537396,0.0,1963929.1820860528,223314.89394449332,1882966.2255768068,2187244.076030546,126282.56570334817,107406.235503532,3803.4731306717445,0.8508373338992328,0.029788823101249327,20.613276301910993,-66967.48760602012,356778.2904609783,26223.971884913848,48,0,42
ppo_event_residual,Event-Residual PPO,reinforcement_learning,3,3,90,565180.821333339,882872.1568947935,42020.90839314967,3446.2496917152935,3128.0803552995767,1496648.216668297,477057.7353089634,0.0,1973705.9519772602,266143.9929379005,1762792.209606198,2239849.944915161,126282.56570334817,102490.02047109674,5963.221691362042,0.8120614512450774,0.046687985550697,22.014136879171442,-14361.618721405333,358280.85744675953,80552.67335398936,47,0,43
iterative_action_q_g60_p4,Iterative Action-Q G60-P4 (no hour),reinforcement_learning,3,3,90,564922.5120000053,960712.2761154006,45559.5108974777,3750.094914120541,3384.550838125661,1578328.9447651296,75956.97275357439,0.0,1654285.9175187044,210432.5571412565,1788761.5019063863,1864718.4746599607,,111120.75828653098,949.4621594196798,,,16.83557143163787,-389493.0889766058,154938.47849597584,20220.292827899848,81,0,9
rolling_milp,Rolling MILP H168-R24-T600s CPLEX 22.2,optimization,1,0,30,518163.91000000533,924957.261163675,43422.94168238794,3610.526904989923,3238.2279783667836,1493392.867729425,373054.82870027894,0.0,1866447.6964297039,223280.764778077,1716673.6325075019,2089728.4612077808,126282.56570334815,105909.61385948276,4663.185358753486,0.8384806760699326,0.03696745949024473,19.989454902370174,-164483.10242878558,289555.43478900957,,16,5,9
