controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,2,9000031,8760,8928,5601,12,320.93859150027856,28429987.892567456,235470.13361477535,28665458.02618223,2356065.043247855,1569787.9989018934,1429731.9438509452,121020.3995136039,9946.88215180306,0.910780274056802,18.260719311292
iterative_q_direct,2,9000032,8760,8928,5786,12,261.1580350273289,27019067.8568006,184133.1364873537,27203200.993287954,2235879.5336949006,1587320.758303226,1471580.5909433644,98697.40970122672,8112.115865854251,0.9270845752161758,17.137809639916096
iterative_q_direct,2,9000033,8760,8928,5316,12,298.9220327339135,29432623.289759904,229869.9306873364,29662493.220447242,2438013.1414066227,1611713.8568818646,1466215.64145744,126555.81764888954,10401.848025936126,0.9097245365216903,18.404317300984427
iterative_q_direct,2,9000034,8760,8928,5685,11,289.35370183410123,29050425.167092636,148730.9759587389,29199156.143051375,2399930.6418946334,1591021.0156239818,1446135.244390863,125907.68809008528,10348.577103294681,0.9089353504382869,18.35246414491877
iterative_q_direct,2,9000035,8760,8928,5855,11,289.32601197995245,30090813.55918593,267531.7031107513,30358345.26229668,2495206.4599147956,1588969.2418607417,1430775.0490014737,142196.00917546422,11687.34321990117,0.9004422560917436,19.105684655510345
