controller,total_cost_eur,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,vented_t,stored_t,unit_cost_eur_per_stored_t
greedy,2271381.0938170906,2038461.402699088,232919.69111800278,6166.939933556223,100265.38290205119,22.653691913150052
iterative_q,1912474.3282112405,1646736.4479130376,265737.88029820274,860.8512848724498,108453.56588629827,17.634038240994872
