controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,1,9000036,2160,8928,1377,11,23.05213807011023,6910687.951996945,270720.3815550648,7181408.333552009,2393802.77785067,396325.8342308667,351143.25689061056,27730.593051310323,9243.531017103442,0.8859963862110072,18.119960177435
iterative_q_direct,1,9000037,2160,8928,1296,11,15.166970313992351,6282868.0561724445,182687.60181609454,6465555.657988539,2155185.219329513,385282.2620700704,357998.578435325,19128.526262258496,6376.175420752832,0.9291852070008263,16.781347844175247
iterative_q_direct,1,9000038,2160,8928,1321,12,22.2001120201312,6411930.466881434,225645.05109696582,6637575.5179784,2212525.172659467,393886.8201610175,356245.5724584257,20577.14218277308,6859.047394257694,0.9044363868605597,16.851479100684347
iterative_q_direct,1,9000039,2160,8928,1399,12,22.89887135801837,5840364.288414314,188849.4587035792,6029213.747117894,2009737.9157059647,386774.6349545641,362989.81790486985,13509.063414538703,4503.021138179568,0.9385047133391042,15.588441439098426
iterative_q_direct,1,9000040,2160,8928,1367,12,20.909706711769104,6923936.335355882,235030.84290277612,7158967.178258657,2386322.392752886,387992.79601956235,340068.6879934965,28411.287274172657,9470.429091390886,0.8764819643103643,18.451288920059504
