algorithm,model_seed,test_seed,episode_hours,decision_count,episode_wall_time_s,total_cost_eur,vented_t,stored_t
greedy,,9000031,720,720,1.5868148119188845,2293017.35099732,6240.861480952415,114469.71188364139
greedy,,9000032,720,720,0.5814233110286295,1766211.2553052178,1844.963500955279,100608.4832397591
greedy,,9000033,720,720,1.056163557805121,2107598.694435474,4789.393867697877,105135.0145055005
greedy,,9000034,720,720,1.0602516899816692,1935952.9860899067,3275.0584930897367,104726.69614121088
greedy,,9000035,720,720,1.1158833452500403,1885009.4324528396,3536.5342797446087,109085.56940329901
greedy,,9000036,720,720,1.0255453791469336,3533761.529562704,25697.976964565867,81137.24365784733
greedy,,9000037,720,720,0.3874132209457457,2000485.9131946776,4271.358815318033,113556.80536003655
greedy,,9000038,720,720,1.3294469430111349,1920295.9707264367,2408.9084384230837,115107.19434814701
greedy,,9000039,720,720,1.230465356260538,2437563.728051424,9394.08788331157,89834.86331241042
greedy,,9000040,720,720,0.9481480536051095,2617199.479188901,13665.115766254208,97763.03502118237
greedy,,9000041,720,720,1.3883978500962257,2085510.1991784673,4000.7591781787564,105778.5088564841
greedy,,9000042,720,720,0.7634872207418084,2713194.122553258,15319.326463527254,84584.10356355288
greedy,,9000043,720,720,0.6817220379598439,2311477.9959102147,8100.662419000601,96818.52510115394
greedy,,9000044,720,720,0.627920201048255,1749991.6922290896,0.0,115731.28342453578
greedy,,9000045,720,720,0.9886820549145341,2356429.90438643,8535.053965914734,99542.0035538456
greedy,,9000046,720,720,0.8736896961927414,1951286.679850844,2082.7015861596574,124463.61990029803
greedy,,9000047,720,720,1.5083307512104511,1831302.291207332,439.94129301342485,116042.59673840055
greedy,,9000048,720,720,1.0202420852147043,2588329.1383681437,11503.626695217417,101407.28082094183
greedy,,9000049,720,720,1.1801712438464165,1840479.7749794757,2818.852119483664,102916.98012346955
greedy,,9000050,720,720,1.487170341424644,2332346.0574296084,7256.604464509676,107365.83675950028
greedy,,9000051,720,720,1.6904737381264567,1932977.2340705122,1396.2509259194253,114284.41581241634
greedy,,9000052,720,720,0.8619330553337932,2247524.9646282806,7573.8620977333,101775.7064201145
greedy,,9000053,720,720,1.5299170091748238,1896455.7981864524,3460.7449739942754,102249.04279358484
greedy,,9000054,720,720,1.4320257208310068,3352607.0985221015,21960.645513193453,89317.49155332484
greedy,,9000055,720,720,1.3033797820098698,2379682.1687872596,8271.021886458835,100570.55815212545
greedy,,9000056,720,720,1.312053405214101,2271381.0938170906,6166.939933556223,100265.38290205119
greedy,,9000057,720,720,0.6566083370707929,2380858.3660164326,9915.636471484773,100237.09981539742
greedy,,9000058,720,720,1.038756881840527,2172908.6218546,6512.717756608974,101779.32948394625
greedy,,9000059,720,720,1.1401858050376177,2212831.2094909954,7028.300603312616,99249.14674811273
greedy,,9000060,720,720,0.7479744129814208,2521676.157625502,11435.288831900807,93721.73756620959
