seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_operating_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,208,3.4615384615384617,-2.2060381291189386,134043.80710806392,113653.68072168586,2393.811400071094,0.8478846070826691,1762692.018801228,251841.19831202264,2014533.2171132506,1954196.9308069155,2206038.129118938,19.41017761247051,0,1.9140760409645736
9000032,181,3.977900552486188,-1.8385748798610395,118765.80374023803,99529.19377536101,0.0,0.8380290507952027,1627064.1994479063,211510.6804131337,1838574.87986104,1627064.1994479063,1838574.87986104,18.47271951193268,0,0.8076594900339842
9000033,162,4.444444444444445,-1.9335334090440137,127077.96740974124,112635.01450550064,0.0,0.8863457356248723,1749396.5349834585,184136.87406055565,1933533.409044014,1749396.5349834585,1933533.409044014,17.16636178840806,0,1.376185161061585
9000034,161,4.472049689440993,-1.8812727403627145,123422.09958543938,106215.58660934669,0.0,0.8605880710676015,1699953.989998004,181318.75036471026,1881272.7403627143,1699953.989998004,1881272.7403627143,17.7118330785283,0,1.2204326339997351
9000035,199,3.6180904522613067,-1.9328896811738345,116933.45658342756,102156.34565900681,1031.7357674337866,0.8736280329327488,1619876.6321997298,230474.1875794017,1850350.8197791316,1702415.4935944327,1932889.6811738345,18.920896873364395,0,1.3562544803135097
9000036,148,4.864864864864865,-1.8998020043099346,124518.99931170137,113040.42685728424,0.0,0.9078166985129437,1713129.3610382234,186672.64327171163,1899802.004309935,1713129.3610382234,1899802.004309935,16.80639446548156,0,1.6069143409840763
9000037,155,4.645161290322581,-3.519531819462394,121647.55872136065,80574.04677383623,23880.17788558827,0.6623564633828354,1240339.8641772757,368777.7244380574,1609117.5886153332,3150754.095024337,3519531.8194623943,43.680713087942436,0,0.4775272710248828
9000038,176,4.090909090909091,-2.7721527521914293,128369.72617542402,101793.53238192074,11208.400014657118,0.7929714849030253,1631156.4768106306,244324.2742082293,1875480.75101886,2527828.4779832,2772152.7521914295,27.233093177182873,0,1.42078493302688
9000039,153,4.705882352941177,-2.014090842649774,125712.08383662622,109075.95303428562,1879.2406376007893,0.8676648235028805,1644478.8432440644,219272.74839764595,1863751.5916417104,1794818.0942521275,2014090.8426497735,18.465030894726066,0,1.6010250793769956
9000040,193,3.7305699481865284,-2.3745401751732773,128417.59580770151,99682.22470033483,5759.775581860223,0.7762349394050613,1645903.9021271456,267854.2264973146,1913758.1286244602,2106685.9486759636,2374540.175173278,23.821099321485168,0,1.26205425709486
9000041,142,5.070422535211268,-2.2274393866305147,125444.62651394652,105253.4270692301,4602.160641354115,0.8390429306872572,1645845.0372851652,213421.49803702117,1859266.5353221863,2014017.888593494,2227439.386630515,21.162630506704772,0,1.4481099811382592
9000042,209,3.444976076555024,-2.174895272548774,122590.33961068436,102928.98719036025,4171.179544540938,0.8396174406338742,1612156.4626880502,229044.44629744938,1841200.9089854995,1945850.8262513252,2174895.2725487747,21.130056089315755,0,1.1956344489008188
9000043,189,3.8095238095238093,-2.1211713745672,122999.51700733569,108108.87624527465,3107.9358298633424,0.8789374045983208,1705234.0226307123,167302.48554741958,1872536.508178132,1953868.8890197796,2121171.374567199,19.620695804429044,0,0.9566398221068084
9000044,192,3.75,-2.2573381619892454,129859.10158151455,108231.28342453578,4562.550556949024,0.8334516572686848,1672963.3912040682,219370.72622925448,1892334.1174333226,2037967.4357599902,2257338.1619892446,20.856614562490822,0,0.7815371169708669
9000045,199,3.6180904522613067,-1.9237306263115879,125440.6630420947,108916.15629962356,0.0,0.86826834025163,1682810.5265828539,240920.0997287341,1923730.6263115879,1682810.5265828539,1923730.6263115879,17.66249096249311,0,1.3836974818259478
9000046,183,3.9344262295081966,-1.9812788159431567,132406.07380064274,124033.73545424963,0.0,0.9367677168722719,1787177.1376685668,194101.67827459137,1981278.8159431582,1787177.1376685668,1981278.8159431582,15.973709158134332,0,1.0197858782485127
9000047,178,4.044943820224719,-2.329890904363075,128277.74695956499,107124.97841286559,5239.2938585329775,0.8351018080059742,1641603.243649282,269144.1520311553,1910747.3956804373,2060746.75233192,2329890.9043630753,21.749277702381857,0,1.4992752908729017
9000048,180,4.0,-2.3116671648914897,131010.22127700872,108907.2808209419,4941.9303731144955,0.8312884274171842,1659607.6015452142,256705.1334971161,1916312.7350423303,2054962.0313943736,2311667.16489149,21.226011222263267,0,1.3566493280231953
9000049,216,3.3333333333333335,-1.8920782401979357,124881.76991963951,106297.77169240497,336.95892788139264,0.8511872610454416,1608075.5725188376,257045.9534485867,1865121.5259674243,1635032.286749349,1892078.2401979356,17.79979213179617,0,1.4784011249430478
9000050,179,4.022346368715084,-2.092518917739471,132171.66508378548,112378.89979324843,2019.0724732101617,0.8502495578156624,1700813.5156004815,230179.60428217676,1930993.1198826584,1862339.3134572944,2092518.9177394712,18.620211815467396,0,1.7191541157662868
9000051,154,4.675324675324675,-1.951168446234449,128981.17360926494,122614.19562112987,0.0,0.9506363773102021,1708733.0489605882,242435.39727386102,1951168.4462344493,1708733.0489605882,1951168.4462344493,15.913071372775113,0,2.015863062813878
9000052,182,3.956043956043956,-2.462074645869235,130292.35070980627,110407.70287899612,6988.065781388737,0.8473843804146396,1672643.480366789,230385.90299134958,1903029.3833581386,2231688.7428778876,2462074.6458692374,22.299844862886108,0,1.1148261222988367
9000053,212,3.3962264150943398,-2.0310451062104975,119353.23535741051,99591.80237630247,2315.6470193406803,0.8344290129887872,1594274.2089742923,251519.13568895037,1845793.3446632426,1779525.9705215467,2031045.106210497,20.393697651301643,0,1.6956720110028982
9000054,173,4.161849710982659,-2.6553428490779427,132093.2010707144,104539.91851042147,8948.82802814287,0.7914102895762014,1686246.4315892812,253190.17523723256,1939436.6068265138,2402152.6738407104,2655342.849077943,25.400276630340347,0,1.853382215835154
9000055,196,3.673469387755102,-2.9478074685331217,124998.78160566899,90884.40146060749,14555.323633285303,0.727082298668467,1542458.3795988576,240923.19827143915,1783381.5778702968,2706884.2702616826,2947807.4685331215,32.43469089479348,0,1.484133280813694
9000056,173,4.161849710982659,-2.286309766830801,126854.31280836993,107489.79637075293,5170.963183306518,0.847348379342296,1641408.2379070984,231224.47425918048,1872632.7121662789,2055085.29257162,2286309.7668308006,21.270016727400613,0,1.5108060520142317
9000057,187,3.8502673796791442,-1.8960697860675144,122972.65226763315,108462.5630671906,0.0,0.8820055603187014,1642521.2822543387,253548.50381317604,1896069.7860675147,1642521.2822543387,1896069.7860675147,17.481329340271387,0,0.9588226759806275
9000058,209,3.444976076555024,-2.075437777909407,126103.88537882672,97746.93513003839,1662.5524153711372,0.7751302415179226,1675078.1109033234,267355.4737763936,1942433.584679717,1808082.3041330143,2075437.7779094079,21.232765765477282,0,1.2027737419120967
9000059,191,3.769633507853403,-1.9409024129414354,125978.9416694392,106749.14674811265,0.0,0.8473570688362796,1724274.6613441247,216627.75159731114,1940902.4129414358,1724274.6613441247,1940902.4129414358,18.181900952531514,0,1.412505448795855
9000060,199,3.6180904522613067,-2.5144311487274273,126857.6135473692,101221.73756620956,8775.413197185533,0.7979161418515327,1633559.1224021534,178838.97055043126,1812398.0929525846,2335592.1781769963,2514431.1487274277,24.840821835158952,0,1.0731856669299304
