seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,173,4.161849710982659,-3.0656094762266695,134043.80710806392,99219.35595694103,14843.896739802149,0.7402009693514002,675432.7800000074,938400.0,40679.93594234579,3663.000000000003,3025.0275000000047,1661200.743442353,1187511.7391841705,0.0,216896.9936001467,1878097.7370424997,2848712.482626524,3065609.4762266707,30.897292636701618,0,1.4641146529465914
9000032,250,2.88,-1.836914319872318,118765.80374023803,100224.12866529285,0.0,0.8438803553630714,682075.0200000072,852532.711114255,41091.89275277008,3327.821100609035,3098.287500000004,1582125.7324676416,0.0,0.0,254788.58740467587,1836914.3198723174,1582125.7324676416,1836914.3198723174,18.328064751820907,0,0.7758620758540928
9000033,194,3.711340206185567,-2.0561662530812264,127077.96740974124,112635.01450550061,2040.1334009002321,0.8863457356248721,690377.8200000084,966899.5158568359,46180.35594725525,3774.246511704595,3434.0625000000036,1710666.000815804,163210.67207201858,0.0,182289.5801934045,1892955.5810092085,1873876.6728878224,2056166.253081227,18.255124857118144,0,1.2392484648153186
9000034,261,2.7586206896551726,-2.2706411007951255,123422.09958543938,102166.58036834125,5539.838756993525,0.8277819021999061,671281.380000007,852308.5001038177,41888.2979510199,3326.945903538239,3205.125000000004,1572010.2489583828,443187.1005594818,0.0,255443.7512772612,1827454.000235644,2015197.3495178646,2270641.100795126,22.224890885148373,0,1.1364062069915235
9000035,219,3.287671232876712,-1.824863512611527,116933.45658342756,108895.76410321072,0.0,0.9312626795182245,666714.8400000078,943504.9524856406,44647.26328231645,3682.9269404890288,3205.125000000003,1661755.107708454,0.0,0.0,163108.40490307315,1824863.512611527,1661755.107708454,1824863.512611527,16.75789253732526,0,1.3767158179543912
9000036,174,4.137931034482759,-1.9584818461314766,124518.99931170137,108249.20535117111,1101.9782303621541,0.8693388635432011,687886.9800000079,938400.0,44382.17419398016,3663.000000000005,3229.545000000004,1677561.699193988,88158.25842897235,0.0,192761.88850851735,1870323.5877025053,1765719.9576229604,1958481.8461314777,18.09234386319945,0,1.4942719913087785
9000037,210,3.4285714285714284,-1.9054975174746636,121647.55872136065,114809.20659118792,0.0,0.9437855374817978,684981.0000000081,1004634.3268999065,47071.77470238698,3921.542561204563,3434.0625000000073,1744042.706663506,0.0,0.0,161454.81081115638,1905497.5174746625,1744042.706663506,1905497.5174746625,16.597079398516787,0,0.7075869059190154
9000038,196,3.673469387755102,-1.9289718559610278,128369.72617542402,121218.15276726666,0.0,0.944289252448943,684565.8600000092,994273.9200621349,49699.44263457928,3881.1012033116,3663.000000000005,1736083.3239000351,0.0,0.0,192888.53206099302,1928971.855961028,1736083.3239000351,1928971.855961028,15.91322596430393,0,1.5477874707430601
9000039,216,3.3333333333333335,-1.9137890897297691,125712.08383662622,113350.64508046194,0.0,0.9016686512632386,675432.7800000082,1010865.0017526482,46473.76448298939,3945.863705690488,3434.0625000000036,1740151.4724413361,0.0,0.0,173637.61728843307,1913789.0897297692,1740151.4724413361,1913789.0897297692,16.883795309424716,0,1.5630633342079818
9000040,227,3.171806167400881,-2.2729469385747616,128417.59580770151,107182.22470033498,5130.36744541261,0.8346381508405953,667545.1200000071,912684.9854672325,43944.712127137354,3562.6226574664083,3205.125000000004,1630942.5652518435,410429.3956330089,0.0,231574.97768990984,1862517.5429417533,2041371.9608848523,2272946.938574762,21.206379555281412,0,1.428788324818015
