controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_receding,2,9000036,4320,8928,2130,67,91.36694691609591,13009403.066425055,200082.6085188233,13209485.67494388,2201580.94582398,788628.397114808,734469.2292539503,38270.714994138085,6378.452499023015,0.9313248571076078,16.74994930853454
iterative_q_receding,2,9000037,4320,8928,2149,69,63.64379161596298,11547868.892233409,198783.83876603993,11746652.73099945,1957775.455166575,778737.5047453273,748896.394875949,18956.44123283615,3159.4068721393583,0.9616801429396452,15.084226275760264
iterative_q_receding,2,9000038,4320,8928,2156,70,88.51646757964045,11859832.32918522,283300.9606482976,12143133.289833518,2023855.548305586,795614.9476565759,749091.1104752519,22700.276050789806,3783.3793417983006,0.941524681859791,15.262575603437574
iterative_q_receding,2,9000039,4320,8928,2293,72,90.53088223095983,11648617.737026826,245199.8415273789,11893817.578554204,1982302.929759034,786484.477925006,747860.0189723746,20357.30199394677,3392.883665657795,0.9508897377675719,15.122762002797366
iterative_q_receding,2,9000040,4320,8928,2132,70,82.61932447412983,11323414.339863284,280775.51556676265,11604189.855430046,1934031.6425716744,776219.7221167715,735623.6345244909,16284.097593592218,2714.0162655987033,0.9477002626504079,14.949619965575103
