algorithm,algorithm_display_name,cost_records,mean_total_cost_eur,mean_cost_reduction_vs_fixed_percent,cost_reduction_95pct_ci_low_percent,cost_reduction_95pct_ci_high_percent,timing_records,mean_episode_wall_time_s,median_episode_wall_time_s,p95_episode_wall_time_s
fixed_assignment,Fixed-Assignment Heuristic,30,2586941.8439891175,0.0,0.0,0.0,30,0.9814445358856271,1.0314669767394662,1.4420903308084234
greedy,Greedy,30,2254211.563636566,11.7623433977496,5.722796285055794,17.479855647828487,30,1.085155909974128,1.058207623893395,1.561210800684057
ppo_hourly,Hourly Centralized Maskable PPO,90,5659632.195624893,-121.73551534879203,-135.13524387402603,-109.00329830969301,90,1.2919535652786078,1.2668618911411613,1.5809749726438895
ppo_high_level,High-level Centralized Maskable PPO,90,2187244.076030546,14.682248770447925,10.902381390796625,18.158355924952936,90,1.3246915872312255,1.3700407035648823,1.8024483299581333
ppo_event_residual,Event-Residual PPO,90,2239849.944915161,12.977023534437606,8.619915603882552,17.087767881820817,90,2.265362191070906,2.345660229213536,3.1414982684422283
iterative_action_q_g60_p4,Iterative Action-Q G60-P4 (no hour),90,1864718.4746599607,26.882217618967122,23.710245889701312,29.869608083945877,90,2.750629135645512,2.7671210078988224,3.3151665677782147
rolling_milp,Rolling MILP H168-R24-T600s CPLEX 22.2,30,2089728.4612077808,17.663027157695947,11.814045282469616,23.095578223783445,30,12312.734374695505,12263.061084777117,14869.391305602738
