#{"t_start": 1785272198.7970018, "env_id": "None"}
r,l,t
-8.897524,720,10.958494
-7.822651,720,19.873405
-6.929278,720,29.461328
-7.231477,720,39.184263
-6.201575,720,49.116559
-5.660181,720,56.776309
-5.926907,720,66.219378
-4.368695,720,76.322223
-4.537903,720,86.139786
-5.312561,720,95.746225
-6.096031,720,103.69992
-8.09277,720,112.422224
-5.876593,720,121.25529
-5.423101,720,130.399741
-4.977099,720,139.646177
-6.56998,720,147.206285
-6.118596,720,156.042016
-6.697024,720,165.02474
-6.349871,720,174.15117
-5.936787,720,183.389175
-5.135927,720,192.641543
-6.930623,720,200.218227
-6.97759,720,209.200914
-7.027849,720,218.16112
-7.430202,720,227.068863
-7.269756,720,235.814542
-7.15565,720,243.161893
-7.006667,720,251.871984
-7.444794,720,260.856344
-8.74949,720,269.665961
-8.37089,720,278.421953
-8.344891,720,285.560636
-6.900948,720,294.30576
-8.290591,720,302.898689
-8.205347,720,311.502118
-8.775461,720,320.228723
-7.832203,720,329.103377
-8.335886,720,336.137608
-8.226457,720,344.825846
-6.484997,720,353.513881
-6.409527,720,362.57611
-6.550923,720,371.514728
-6.974724,720,378.794155
-6.868954,720,387.495115
-7.210015,720,396.219246
-8.356388,720,404.791458
-5.798694,720,413.609702
-8.013154,720,420.94426
-5.707822,720,429.804311
-7.447605,720,438.595454
-7.965667,720,447.174699
-6.860894,720,455.849578
-7.624107,720,464.618455
-6.948815,720,471.732287
-8.365972,720,480.501473
-7.691722,720,489.061453
-7.622984,720,497.719469
-7.908836,720,506.303578
-7.844786,720,513.375213
-8.937381,720,521.895856
-7.567395,720,530.477311
-8.03114,720,539.08034
-7.160154,720,547.678387
-7.149407,720,554.675815
-8.868035,720,563.340674
-7.057317,720,571.922956
-7.498568,720,580.478999
-7.694761,720,589.025112
-7.638086,720,597.675594
-7.824921,720,604.737264
-7.462478,720,613.506675
-6.392331,720,622.288274
-5.567452,720,631.064307
-7.453235,720,639.925203
-7.98644,720,647.022661
-8.85014,720,655.601893
-7.556184,720,664.307533
-8.755962,720,672.958129
-7.961301,720,681.580498
-7.406327,720,688.657868
-7.588712,720,697.387285
-8.136033,720,706.002283
-7.910567,720,714.568871
-7.735574,720,723.210865
-7.472613,720,731.738551
-8.570269,720,738.729667
-8.169318,720,747.365101
-7.28302,720,755.980381
-8.354833,720,764.550028
-8.247201,720,773.098381
-7.379546,720,780.110302
-8.254805,720,788.703005
-8.258995,720,797.332196
-8.561381,720,805.897649
-7.894513,720,814.53913
-6.969621,720,821.583471
-8.52114,720,830.251935
-8.047686,720,839.100466
-7.821752,720,847.697514
-7.548504,720,856.65586
-7.760635,720,865.714253
-7.674917,720,872.895871
-7.104068,720,881.677452
-8.663343,720,890.364381
-8.244799,720,899.114329
-7.335838,720,907.803444
-7.132695,720,914.866424
-7.678209,720,923.461735
-7.636326,720,932.055509
-8.213901,720,940.700773
-7.563463,720,949.314874
-8.580468,720,956.498679
-8.029396,720,965.114113
-7.679569,720,973.852183
-7.73775,720,982.509188
-7.212715,720,991.218146
-7.2988,720,999.894468
-8.015465,720,1007.031134
-7.837639,720,1015.840368
-6.657404,720,1024.507785
-7.643489,720,1033.275551
-7.250142,720,1041.866405
-7.728392,720,1048.949246
-7.613112,720,1057.583436
-8.433389,720,1066.157316
-6.956845,720,1074.728884
-6.328691,720,1083.532224
-8.214696,720,1090.905672
-6.40837,720,1099.930019
-7.146598,720,1108.831678
-7.063199,720,1117.546314
-6.821124,720,1126.369229
-6.775267,720,1135.213545
-7.386919,720,1142.289943
-7.275353,720,1150.937733
-7.354472,720,1159.575688
-7.878676,720,1168.217888
-8.327181,720,1176.793962
-7.604375,720,1183.829086
-8.274521,720,1192.410235
-8.179675,720,1200.971597
-8.392436,720,1209.550422
-7.151249,720,1218.119189
-7.71471,720,1225.180665
-7.626239,720,1233.842682
-7.403173,720,1242.608061
-8.573743,720,1251.224626
-6.77754,720,1260.009122
-7.685968,720,1268.749197
-6.982339,720,1275.991436
-7.376754,720,1284.776452
-7.482775,720,1293.490039
-8.114096,720,1302.106499
-7.768361,720,1310.701867
-8.066342,720,1317.978496
-6.935004,720,1326.725358
-6.648037,720,1335.363397
-7.328627,720,1344.029549
-8.209071,720,1352.909608
-8.298127,720,1360.087477
-6.48769,720,1368.983585
-5.55576,720,1377.926961
-5.8958,720,1386.967674
-5.031723,720,1395.995258
-5.568513,720,1405.480105
-5.829383,720,1454.973864
-5.390459,720,1464.212456
-6.405628,720,1473.157246
-6.458563,720,1481.980728
-6.524083,720,1490.899585
-6.652908,720,1498.273526
-6.893865,720,1507.298688
-7.648928,720,1515.975788
-5.752297,720,1524.869182
-6.993908,720,1534.370858
-4.678943,720,1542.213339
-4.546168,720,1551.321156
-5.400945,720,1560.759975
-5.94008,720,1569.709725
-4.547439,720,1578.690956
-4.885948,720,1588.266626
-6.233808,720,1595.859962
-5.735271,720,1604.781812
-5.333869,720,1613.612741
-6.348278,720,1622.485316
-6.698923,720,1631.220386
-6.722742,720,1638.389096
-6.957719,720,1647.34323
-7.186544,720,1656.248487
-5.730903,720,1664.925859
-6.556127,720,1673.816089
-5.654321,720,1681.211097
-6.380425,720,1690.383402
-7.274542,720,1699.304204
-6.958454,720,1708.334229
-7.316634,720,1717.340743
-6.383308,720,1726.107692
-8.372913,720,1733.48065
-6.15245,720,1742.252803
-6.962234,720,1751.080827
-6.945718,720,1759.954295
-5.943616,720,1769.23194
-7.418365,720,1776.729078
-6.252714,720,1785.760883
-5.559835,720,1794.980675
-5.605765,720,1804.411425
-6.399432,720,1813.820541
-6.360679,720,1821.26133
-6.487111,720,1830.473983
-7.997679,720,1839.335459
-6.298896,720,1848.58788
-5.761431,720,1857.706725
-5.401007,720,1866.735604
-6.698291,720,1874.080188
-6.226048,720,1883.044011
-6.815954,720,1891.806659
-6.180949,720,1901.158368
-6.804036,720,1910.352534
-5.998165,720,1918.066952
-6.43291,720,1926.947779
-5.547668,720,1936.1778
-6.361424,720,1944.918062
-5.983984,720,1954.23193
-5.760472,720,1961.891173
-5.618967,720,1971.091615
-6.26718,720,1980.366273
-4.85139,720,1989.522512
-5.565499,720,1998.833494
-5.842634,720,2008.021404
-5.126525,720,2015.596188
-6.506257,720,2025.092311
-4.861822,720,2034.440354
-7.11148,720,2043.421546
-5.898007,720,2052.206619
-5.319816,720,2059.411106
-5.83092,720,2068.25304
-4.558994,720,2077.392557
-5.70487,720,2086.859627
-5.11392,720,2096.289266
-6.197873,720,2104.005787
-4.588865,720,2113.753891
-5.247263,720,2122.850327
-5.135822,720,2131.993634
-5.428704,720,2141.327987
-6.741845,720,2150.354858
-7.015523,720,2157.589617
-7.140516,720,2166.543107
-5.379892,720,2175.733525
-5.340661,720,2184.70939
-6.738865,720,2193.908844
-5.484455,720,2201.878952
-6.227342,720,2210.792122
-5.69609,720,2219.766125
-7.413766,720,2228.669998
-6.537383,720,2237.714166
-6.855755,720,2244.909398
-6.928916,720,2253.604008
-7.461552,720,2262.442861
-7.169406,720,2271.388466
-6.637223,720,2280.217513
-5.19111,720,2289.332034
-6.436375,720,2296.56093
-4.967749,720,2305.380913
-6.08267,720,2314.386062
-5.723033,720,2323.542622
-6.454453,720,2332.412623
-5.743159,720,2340.223784
-5.774054,720,2349.388241
-5.699784,720,2358.290451
-6.783781,720,2367.312841
-6.369536,720,2376.525303
-7.10521,720,2383.907381
-6.545849,720,2393.189741
-5.628393,720,2402.449519
-6.242355,720,2411.672385
-6.582482,720,2420.896377
-5.095846,720,2429.958841
-6.120731,720,2437.670426
-6.032821,720,2446.885579
-6.173578,720,2455.721134
-6.694062,720,2464.70262
-6.601382,720,2473.61031
-6.003579,720,2481.058408
-5.849968,720,2489.860354
-5.881378,720,2498.975217
-6.098592,720,2508.446632
-5.224666,720,2517.699686
-4.71929,720,2525.611402
-5.827113,720,2534.956868
-5.65096,720,2544.204467
-5.849143,720,2553.521626
-4.73157,720,2562.860169
-6.283658,720,2572.258925
-5.35909,720,2579.972198
-4.742194,720,2589.46958
-4.850379,720,2598.767501
-5.79846,720,2608.301238
-6.531421,720,2617.548728
-4.487274,720,2625.186732
-7.159108,720,2634.078293
-7.324796,720,2643.412889
-6.96743,720,2652.871985
-5.67844,720,2662.125486
-5.184664,720,2669.58751
-5.654351,720,2678.928223
-5.199729,720,2688.034325
-5.784424,720,2697.312281
-7.195717,720,2706.386534
-5.083833,720,2715.370251
-7.114703,720,2722.793483
-5.390705,720,2731.868939
-5.760466,720,2741.221012
-5.450343,720,2750.649242
-5.26588,720,2759.676681
-7.069486,720,2766.822304
-6.526497,720,2775.586467
-5.467448,720,2784.557569
-6.328005,720,2793.915646
-5.977737,720,2803.03992
-6.335641,720,2810.209646
-8.159599,720,2819.563448
-5.886119,720,2828.738938
-5.396944,720,2837.669834
-7.643849,720,2846.664727
-5.793349,720,2855.698509
-6.077187,720,2863.421128
-6.038953,720,2872.345588
-5.942623,720,2881.403139
-6.37309,720,2890.567447
-6.314325,720,2899.858622
-5.186262,720,2950.427838
-5.370887,720,2959.478337
-5.640804,720,2968.661394
-5.95881,720,2978.00585
-6.124224,720,2987.257649
-6.629337,720,2994.773402
-5.526023,720,3003.606818
-6.454165,720,3012.725837
-5.742446,720,3021.957312
-6.036935,720,3031.265689
-6.579114,720,3040.448076
-5.353666,720,3048.284471
-6.163523,720,3057.699458
-5.285855,720,3067.160419
-6.880373,720,3076.370821
-5.999447,720,3085.53285
-5.503926,720,3093.160825
-5.37312,720,3102.504171
-5.719584,720,3111.39988
-6.768153,720,3120.767763
-6.078944,720,3130.028828
-5.081446,720,3137.608832
-6.794033,720,3146.612795
-6.782046,720,3155.527957
-6.206922,720,3164.66587
-5.525474,720,3173.628123
-6.470138,720,3182.479086
-7.473651,720,3190.002176
-5.443505,720,3198.962466
-6.365731,720,3208.146144
-7.446303,720,3217.254319
-5.976256,720,3226.414001
-5.796668,720,3233.561702
-5.789411,720,3242.619063
-6.255574,720,3251.384017
-6.77915,720,3260.14061
-6.93513,720,3269.055069
-4.588706,720,3276.321527
-6.005575,720,3285.436915
-6.260223,720,3294.232862
-6.870934,720,3303.202015
-7.214077,720,3311.982341
-6.54754,720,3320.986012
-6.43418,720,3328.590958
-5.096649,720,3337.704203
-6.143397,720,3346.624701
-5.020825,720,3355.927274
-4.791717,720,3365.236859
-6.85966,720,3372.983068
-5.52007,720,3381.945014
-6.368209,720,3391.37805
-6.496911,720,3400.515529
-6.371589,720,3409.50773
-5.758332,720,3416.68295
-6.077035,720,3425.507277
-5.99229,720,3434.52667
-6.340686,720,3443.533761
-6.06079,720,3452.596421
-5.675884,720,3461.459524
-6.207248,720,3468.87028
-5.836648,720,3478.383778
-7.136348,720,3487.534328
-6.269201,720,3496.752126
-5.78187,720,3505.847475
-6.770667,720,3513.090763
-6.563484,720,3522.005247
-6.892699,720,3530.878848
-6.827581,720,3540.014329
-7.364835,720,3549.135907
-7.327414,720,3556.523216
-7.235821,720,3565.517091
-6.682519,720,3574.465074
-6.981595,720,3583.393486
-6.411206,720,3592.375549
-6.819986,720,3601.525594
-5.991769,720,3609.021052
-5.916526,720,3617.97622
-5.973962,720,3627.177634
-7.233723,720,3636.078803
-6.390524,720,3645.057828
-6.306766,720,3652.451019
-5.759989,720,3661.716027
-6.960286,720,3670.815775
-4.959099,720,3679.792572
-6.715816,720,3688.993433
-4.89599,720,3696.435499
-6.817049,720,3705.759198
-6.992064,720,3714.942527
-5.139343,720,3724.008877
-5.998952,720,3733.395028
-5.87926,720,3742.285035
-6.533003,720,3749.897239
-7.703489,720,3759.048167
-6.040724,720,3768.28706
-6.52067,720,3777.588706
-5.590255,720,3786.825105
-6.902336,720,3794.232646
-6.791231,720,3803.183807
-7.211998,720,3812.059766
-7.498469,720,3821.085705
-7.740342,720,3829.909894
-4.384318,720,3837.333941
-5.378628,720,3846.235317
-7.512811,720,3855.274951
-7.572855,720,3864.176877
-5.6316,720,3873.196132
-6.599534,720,3882.110582
-5.881725,720,3889.388048
-6.063772,720,3898.222916
-5.262474,720,3906.990751
-5.264325,720,3916.26875
-4.83003,720,3925.373533
-5.747543,720,3933.171361
-5.419243,720,3942.625935
-4.135014,720,3951.91076
-7.049629,720,3960.986858
-6.225659,720,3969.802776
-6.976995,720,3977.296053
-6.973942,720,3986.360831
-6.830496,720,3995.403313
-6.382344,720,4004.470641
-5.753648,720,4013.723245
-6.450568,720,4023.094014
-6.236194,720,4030.883017
-5.024079,720,4040.157003
-4.78055,720,4049.306695
-6.165187,720,4058.244536
-6.328838,720,4067.278086
-5.706426,720,4074.812825
-6.416541,720,4083.706038
-6.747337,720,4092.890291
-7.194062,720,4102.028703
-7.416409,720,4110.859733
-6.583569,720,4118.126752
-7.813259,720,4126.952645
-7.028033,720,4135.797005
-7.221403,720,4144.767566
-4.897881,720,4153.790771
-6.243767,720,4162.732039
-5.159242,720,4170.077574
-5.955182,720,4179.138507
-4.962292,720,4188.167566
-4.922489,720,4197.57253
-4.243008,720,4207.154929
-5.920234,720,4214.892369
-6.325661,720,4223.739837
-4.810201,720,4232.867027
-5.555681,720,4242.295484
-5.965282,720,4251.444125
-6.330684,720,4258.911016
-5.885711,720,4268.442403
-5.444634,720,4277.647271
-4.941287,720,4287.069436
-4.864564,720,4296.492581
-5.386346,720,4305.784186
-5.915012,720,4313.298998
-5.974129,720,4322.487468
-6.466933,720,4331.697925
-5.213965,720,4341.085663
-5.564694,720,4350.434399
-5.44479,720,4358.257357
-4.864004,720,4367.605113
-5.56545,720,4376.964516
-6.425727,720,4386.168962
-4.856789,720,4395.682993
-5.851422,720,4444.995749
-5.860389,720,4453.853014
-7.142826,720,4462.683419
-7.620825,720,4471.755085
-7.68277,720,4480.495524
-6.930515,720,4489.720348
-6.470775,720,4497.044977
-7.091113,720,4506.069677
-7.297296,720,4514.777613
