stress_level,method,model_seeds,test_seeds,mean_total_cost_eur,total_cost_ci95_low_eur,total_cost_ci95_high_eur,mean_delta_cost_vs_greedy_eur,delta_cost_ci95_low_eur,delta_cost_ci95_high_eur,mean_vented_t,mean_stored_t,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy
low,iterative_p4,3,30,1736575.3808495756,1711057.8496577502,1762764.0022282044,-268036.22523239057,-349746.8904758985,-190077.8395208492,131.26892327160465,108448.74674079665,28,0,2
low,one_shot_matched,3,30,1757087.010297221,1731013.9922558672,1787677.4787534236,-247524.59578474524,-331686.5304455299,-165189.42045676542,237.7783168852601,107825.26455606332,27,0,3
low,greedy,0,30,2004611.6060819665,1928655.4515074017,2083323.1016396035,0.0,0.0,0.0,4735.044935872408,101293.11507239248,0,30,0
medium,iterative_p4,3,30,1864718.4746599607,1816234.0728095146,1922581.1565447957,-389493.0889766058,-534028.8685450038,-260025.9514684167,949.4621594196798,111120.75828653098,26,0,4
medium,one_shot_matched,3,30,1931634.3175963534,1870774.2156173475,2006776.5499151002,-322577.2460402132,-463856.2717248388,-197538.40049441086,1633.4266055533396,109831.58771332967,26,0,4
medium,greedy,0,30,2254211.563636566,2116587.879766045,2411431.8524564286,0.0,0.0,0.0,7296.773222316017,102984.17556541666,0,30,0
high,iterative_p4,3,30,2527994.6346131745,2345467.116561583,2719827.2255895594,-478465.38148813345,-664835.4881485096,-305753.43103429355,8211.594744068221,111652.97237294036,26,0,4
high,one_shot_matched,3,30,2555817.8831945835,2384715.02604627,2734451.6479993938,-450642.1329067253,-638525.4640517071,-267818.52290583664,8516.167881935766,110929.78640076183,24,0,6
high,greedy,0,30,3006460.016101308,2777707.346571478,3240242.067149526,0.0,0.0,0.0,15856.253476642985,103950.04692793918,0,30,0
