controller,stress_level,mean_total_cost_eur,ci95_low_eur,ci95_high_eur
iterative_action_q,low,1748848.527322883,1722193.11602949,1780645.8995035866
greedy,low,2004611.6060819665,1928517.1235985989,2084224.1503597265
iterative_action_q,medium,1881692.086092781,1825098.105643301,1956178.0604648176
greedy,medium,2254211.563636566,2116150.7996458476,2411045.433936285
iterative_action_q,high,2586734.5331688556,2399524.9422554886,2794120.8912469423
greedy,high,3006460.016101308,2781190.308434175,3246569.9481344554
